,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,placeLabel,ao_link,ao_description,address,url,description,fetched_coordinates
205,http://www.wikidata.org/entity/Q3585996,,"https://en.wikipedia.org/wiki/Church_of_the_Lord_Jesus,_Kolkata",Point(88.3577435 22.5585114),1.694,22.5585114,88.3577435,3.0,http://www.wikidata.org/entity/Q16970,Church of the Lord Jesus,church building,C,yellow,,,,,,,
207,http://www.wikidata.org/entity/Q4600674,,https://en.wikipedia.org/wiki/2002_attack_on_American_cultural_centre_in_Kolkata,Point(88.3493367 22.5512931),2.806,22.5512931,88.3493367,3.0,http://www.wikidata.org/entity/Q1190554,2002 attack on American cultural centre in Kolkata,occurrence,C,yellow,,,,,,,
208,http://www.wikidata.org/entity/Q4607142,,https://en.wikipedia.org/wiki/2006_West_Bengal_train_explosion,Point(88.369 22.569),0.663,22.569,88.369,3.0,http://www.wikidata.org/entity/Q1078765,2006 West Bengal train explosion,train wreck,C,yellow,,,,,,,
210,http://www.wikidata.org/entity/Q4852149,,https://en.wikipedia.org/wiki/Ballygunge_Government_High_School,Point(88.3549 22.53),4.831,22.530000000512,88.354900000084,3.0,http://www.wikidata.org/entity/Q1713379,Ballygunge Government High School,boys' school,C,yellow,,,,,,,
215,http://www.wikidata.org/entity/Q4890913,,https://en.wikipedia.org/wiki/Bepin_Behari_Ganguly_Street,Point(88.357922222 22.569775),0.691,22.569775,88.357922222222,3.0,http://www.wikidata.org/entity/Q79007,Bepin Behari Ganguly Street,street,C,yellow,,,,,,,
217,http://www.wikidata.org/entity/Q4916519,,https://en.wikipedia.org/wiki/Birla_Institute_of_Liberal_Arts_and_Management_Sciences,Point(88.351591666 22.540225),3.82,22.540225,88.351591666667,3.0,http://www.wikidata.org/entity/Q1664720,Birla Institute of Liberal Arts and Management Sciences,institute,C,yellow,,,,,,,
218,http://www.wikidata.org/entity/Q5018918,,https://en.wikipedia.org/wiki/Calcutta_Boys%27_School,Point(88.3671 22.562789),1.144,22.562789,88.3671,3.0,http://www.wikidata.org/entity/Q67388747,Calcutta Boys' School,urban school,C,yellow,,,,,,,
220,http://www.wikidata.org/entity/Q5018937,,https://en.wikipedia.org/wiki/Calcutta_Jain_Temple,Point(88.377842 22.591621),2.55,22.591621,88.377842,3.0,http://www.wikidata.org/entity/Q58621988,Calcutta Jain Temple,temple complex,C,yellow,,,,,,,
225,http://www.wikidata.org/entity/Q5073228,,https://en.wikipedia.org/wiki/Chaplin_Cinema_(Kolkata),Point(88.3508 22.5615),1.829,22.5615,88.3508,3.0,http://www.wikidata.org/entity/Q41253,Chaplin Cinema,movie theater,C,yellow,,,,,,,
234,http://www.wikidata.org/entity/Q5416955,,https://en.wikipedia.org/wiki/Everest_House_(Kolkata),Point(88.34606667 22.54657778),3.428,22.54657778,88.34606667,3.0,http://www.wikidata.org/entity/Q41176,Everest House,building,C,yellow,,,,,,,
