,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,placeLabel,ao_link,ao_description,address,url,description,fetched_coordinates
439,http://www.wikidata.org/entity/Q61417193,,,Point(88.361677 22.546414),2.926,22.546414,88.361677,2.0,http://www.wikidata.org/entity/Q27968055,Wikisammelan 2019,recurrent event edition,C,yellow,,,,,,,
442,http://www.wikidata.org/entity/Q67590242,,https://en.wikipedia.org/wiki/Bhot_Bagan_Moth,Point(88.357765 22.614695),4.718,22.614695,88.357765,2.0,http://www.wikidata.org/entity/Q844619,Bhot Bagan Math,vihara,C,yellow,,,,,,,
443,http://www.wikidata.org/entity/Q68023417,,,Point(88.3743365 22.581858),1.483,22.581858,88.3743365,2.0,http://www.wikidata.org/entity/Q7075,Rammohun Library and Free Reading Room,library,C,yellow,,,,,,,
444,http://www.wikidata.org/entity/Q68472164,,,Point(88.352694444 22.564833333),1.441,22.564833333333,88.352694444444,2.0,http://www.wikidata.org/entity/Q16970,Church of the Sacred Heart of Jesus,church building,C,yellow,,,,,,,
445,http://www.wikidata.org/entity/Q79326864,,,Point(88.387361111 22.593222222),3.322,22.593222222222,88.387361111111,2.0,http://www.wikidata.org/entity/Q55426935,Commons Meetup Kolkata 2019,Wikimedia meetups in Kolkata,C,yellow,,,,,,,
446,http://www.wikidata.org/entity/Q86824380,,,Point(88.3404329 22.5683853),2.455,22.5683853,88.3404329,2.0,http://www.wikidata.org/entity/Q863454,Chandpal Ferry Ghat,pier,C,yellow,,,,,,,
448,http://www.wikidata.org/entity/Q90092840,,https://en.wikipedia.org/wiki/Baker_Hostel,Point(88.3589861 22.5588543),1.614,22.5588543,88.3589861,2.0,http://www.wikidata.org/entity/Q3661265,Baker Hostel,university dormitory,C,yellow,,,,,,,
449,http://www.wikidata.org/entity/Q97144282,,"https://en.wikipedia.org/wiki/Electric_Loco_Shed,_Howrah",Point(88.33524 22.604813),4.631,22.604813,88.33524,2.0,http://www.wikidata.org/entity/Q10283556,"Electric Loco Shed, Howrah",motive power depot,C,yellow,,,,,,,
450,http://www.wikidata.org/entity/Q97609952,,https://en.wikipedia.org/wiki/College_Square_Swimming_Pool,Point(88.363539 22.574683),0.229,22.574683,88.363539,2.0,http://www.wikidata.org/entity/Q1501,College Square Swimming Pool,swimming pool,C,yellow,,,,,,,
453,http://www.wikidata.org/entity/Q110984229,,https://en.wikipedia.org/wiki/Nahoum_%26_Sons,Point(88.3530294 22.5602866),1.77,22.5602866,88.3530294,2.0,http://www.wikidata.org/entity/Q274393,Nahoum & Sons,bakery,C,yellow,,,,,,,
455,http://www.wikidata.org/entity/Q112205690,,"https://en.wikipedia.org/wiki/Chandni_Chowk,_Kolkata",Point(88.356666666 22.565555555),1.083,22.565555555556,88.356666666667,2.0,http://www.wikidata.org/entity/Q56061,Chandni Chowk,administrative territorial entity,C,yellow,,,,,,,
456,http://www.wikidata.org/entity/Q4808698,,https://en.wikipedia.org/wiki/Assembly_of_God_Church_School,Point(88.3607142 22.54751),2.814,22.5518798,88.3573435,1.0,http://www.wikidata.org/entity/Q67388747,Assembly of God Church School,urban school,D,blue,,,,,,,
462,http://www.wikidata.org/entity/Q4916516,,https://en.wikipedia.org/wiki/Birla_High_School,Point(88.352131 22.54345),3.464,22.54345,88.352131,1.0,http://www.wikidata.org/entity/Q159334,Birla High School,secondary school,D,blue,,,,,,,
467,http://www.wikidata.org/entity/Q5570972,,https://en.wikipedia.org/wiki/Globe_Cinema_(Kolkata),Point(88.3501 22.5591),2.068,22.5591,88.3501,1.0,http://www.wikidata.org/entity/Q41253,Globe Cinema,movie theater,D,blue,,,,,,,
470,http://www.wikidata.org/entity/Q6546328,,https://en.wikipedia.org/wiki/Lighthouse_Cinema_(Kolkata),Point(88.3495 22.5597),2.063,22.5597,88.3495,1.0,http://www.wikidata.org/entity/Q41253,Lighthouse Cinema,movie theater,D,blue,,,,,,,
472,http://www.wikidata.org/entity/Q6802836,,https://en.wikipedia.org/wiki/Md_Jan_Higher_Secondary_School,Point(88.356999999 22.5767),0.839,22.576700000414,88.356999999809,1.0,http://www.wikidata.org/entity/Q64062731,Md Jan Higher Secondary School,higher secondary school,D,blue,,,,,,,
475,http://www.wikidata.org/entity/Q6966016,,https://en.wikipedia.org/wiki/Narkeldanga_High_School,Point(88.3830524 22.5718104),1.969,22.5718104,88.3830524,1.0,http://www.wikidata.org/entity/Q159334,Narkeldanga High School,secondary school,D,blue,,,,,,,
477,http://www.wikidata.org/entity/Q7134255,,https://en.wikipedia.org/wiki/Paradise_Cinema_(Kolkata),Point(88.3496 22.5668),1.605,22.5668,88.3496,1.0,http://www.wikidata.org/entity/Q41253,Paradise Cinema,movie theater,D,blue,,,,,,,
481,http://www.wikidata.org/entity/Q7404946,,https://en.wikipedia.org/wiki/Salkia_Vikram_Vidyalaya,Point(88.339949999 22.60137),4.03,22.601370000043,88.339949999971,1.0,http://www.wikidata.org/entity/Q64062731,Salkia Vikram Vidyalaya,higher secondary school,D,blue,,,,,,,
486,http://www.wikidata.org/entity/Q7588662,,https://en.wikipedia.org/wiki/St._John%27s_Diocesan_Girls%27_Higher_Secondary_School,Point(88.3542 22.5375),4.033,22.5375,88.3542,1.0,http://www.wikidata.org/entity/Q22713629,St. John's Diocesan Girls' Higher Secondary School,girls' school,D,blue,,,,,,,
493,http://www.wikidata.org/entity/Q15958190,,,Point(88.346297 22.569911),1.832,22.569911,88.346297,1.0,http://www.wikidata.org/entity/Q16970,St. Francis Xavier's Church,church building,D,blue,,,,,,,
494,http://www.wikidata.org/entity/Q16255382,,https://en.wikipedia.org/wiki/Brahmo_Balika_Shikshalaya,Point(88.374 22.579499999),1.287,22.57949999971,88.374000000317,1.0,http://www.wikidata.org/entity/Q22713629,Brahmo Balika Shikshalaya,girls' school,D,blue,,,,,,,
497,http://www.wikidata.org/entity/Q16345573,,,Point(88.363611111 22.573055555),0.054,22.573055555556,88.363611111111,1.0,http://www.wikidata.org/entity/Q44539,Dayamoyee Kalibari,temple,D,blue,,,,,,,
499,http://www.wikidata.org/entity/Q16979533,,"https://en.wikipedia.org/wiki/Ling_Liang_Chinese_Church_Trust,_Calcutta_India",Point(88.356666666 22.572222222),0.744,22.572222222222,88.356666666667,1.0,http://www.wikidata.org/entity/Q16970,Ling Liang Chinese Church Trust,church building,D,blue,,,,,,,
501,http://www.wikidata.org/entity/Q17125179,,https://en.wikipedia.org/wiki/J._D._Birla_Institute,Point(88.3573 22.5388),3.824,22.5388,88.3573,1.0,http://www.wikidata.org/entity/Q4671277,J.D. Birla Institute,academic institution,D,blue,,,,,,,
502,http://www.wikidata.org/entity/Q17509694,,https://en.wikipedia.org/wiki/Bhagini_Nivedita_College,Point(88.3639 22.5726),0.005,22.5726,88.3639,1.0,http://www.wikidata.org/entity/Q4671277,Bhagini Nivedita College,academic institution,D,blue,,,,,,,
503,http://www.wikidata.org/entity/Q19572137,,https://en.wikipedia.org/wiki/Howrah_Ramkrishnapur_High_School,Point(88.328449999 22.57826),3.692,22.578260000239,88.328449999469,1.0,http://www.wikidata.org/entity/Q159334,Howrah Ramkrishnapur High School,secondary school,D,blue,,,,,,,
506,http://www.wikidata.org/entity/Q19600018,,https://en.wikipedia.org/wiki/Taltala_High_School,Point(88.362899999 22.560599999),1.343,22.560599999298,88.362899999848,1.0,http://www.wikidata.org/entity/Q64062731,Taltala High School,higher secondary school,D,blue,,,,,,,
509,http://www.wikidata.org/entity/Q19895602,,https://en.wikipedia.org/wiki/Raghumal_Arya_Vidyalaya,Point(88.3738 22.584199999),1.638,22.584199999585,88.3738000003,1.0,http://www.wikidata.org/entity/Q1713379,Raghumal Arya Vidyalaya,boys' school,D,blue,,,,,,,
513,http://www.wikidata.org/entity/Q23013455,,https://en.wikipedia.org/wiki/Ashok_Hall_Girls%27_Higher_Secondary_School,Point(88.3537765 22.5400433),3.771,22.534061,88.3697818,1.0,http://www.wikidata.org/entity/Q22713629,Ashok Hall Girls' Higher Secondary School,girls' school,D,blue,,,,,,,
525,http://www.wikidata.org/entity/Q23013854,,https://en.wikipedia.org/wiki/Sakhawat_Memorial_Govt._Girls%27_High_School,Point(88.348999999 22.5448),3.453,22.544800000215,88.348999999147,1.0,http://www.wikidata.org/entity/Q22713629,Sakhawat Memorial Govt. Girls' High School,girls' school,D,blue,,,,,,,
528,http://www.wikidata.org/entity/Q23134182,,https://en.wikipedia.org/wiki/Brahmo_Boys_School,Point(88.368199999 22.579899999),0.92,22.579899999941,88.368199999837,1.0,http://www.wikidata.org/entity/Q1713379,Brahmo Boy's School,boys' school,D,blue,,,,,,,
531,http://www.wikidata.org/entity/Q24944119,,https://en.wikipedia.org/wiki/Maheshwari_Girls%27_School,Point(88.3577987 22.5873564),1.751,22.5873564,88.3577987,1.0,http://www.wikidata.org/entity/Q22713629,Maheshwari Girls' School,girls' school,D,blue,,,,,,,
534,http://www.wikidata.org/entity/Q24945327,,https://en.wikipedia.org/wiki/Cathedral_Mission_High_School,Point(88.353099999 22.5376),4.051,22.537600000288,88.353099999936,1.0,http://www.wikidata.org/entity/Q1713379,Cathedral Mission High School,boys' school,D,blue,,,,,,,
537,http://www.wikidata.org/entity/Q24949563,,https://en.wikipedia.org/wiki/Momin_High_School,Point(88.378399999 22.574899999),1.51,22.574899999855,88.378399999782,1.0,http://www.wikidata.org/entity/Q64062731,Momin High School,higher secondary school,D,blue,,,,,,,
540,http://www.wikidata.org/entity/Q28007387,,"https://en.wikipedia.org/wiki/Fatima_Church,_Kolkata",Point(88.371855555 22.554275),2.2,22.554275,88.371855555556,1.0,http://www.wikidata.org/entity/Q16970,Fatima Church,church building,D,blue,,,,,,,
542,http://www.wikidata.org/entity/Q28172494,,https://en.wikipedia.org/wiki/Howrah_Shiksha_Sadan_Boys%27_School,Point(88.33006 22.580589999),3.584,22.580589999352,88.330060000545,1.0,http://www.wikidata.org/entity/Q159334,Howrah Shiksha Sadan Boys' School,secondary school,D,blue,,,,,,,
545,http://www.wikidata.org/entity/Q28172492,,https://en.wikipedia.org/wiki/Howrah_Sangha_Adarsha_Balika_Vidyalaya,Point(88.330719999 22.58672),3.748,22.586720000021,88.330719999971,1.0,http://www.wikidata.org/entity/Q22713629,Howrah Sangha Adarsha Balika Vidyalaya,girls' school,D,blue,,,,,,,
548,http://www.wikidata.org/entity/Q29916985,,,Point(88.3729734 22.5748692),0.964,22.5748692,88.3729734,1.0,http://www.wikidata.org/entity/Q39614,"Brahmo Cemetery, Nabodebalay",cemetery,D,blue,,,,,,,
550,http://www.wikidata.org/entity/Q39046565,,"https://en.wikipedia.org/wiki/National_Institute_of_Technical_Teachers%27_Training_and_Research,_Kolkata",Point(88.4077 22.5815),4.604,22.5815,88.4077,1.0,http://www.wikidata.org/entity/Q4671277,"National Institute of Technical Teachers' Training and Research, Kolkata",academic institution,D,blue,,,,,,,
553,http://www.wikidata.org/entity/Q44143387,,,Point(88.3457724 22.5709157),1.871,22.5709157,88.3457724,1.0,http://www.wikidata.org/entity/Q162875,Job Charnock's Mausoleum,mausoleum,D,blue,,,,,,,
554,http://www.wikidata.org/entity/Q48724925,,,Point(88.31906 22.568059999),4.632,22.568059999671,88.319060000534,1.0,http://www.wikidata.org/entity/Q22713629,Sibpur Hindu Girls High School,girls' school,D,blue,,,,,,,
558,http://www.wikidata.org/entity/Q48731146,,https://en.wikipedia.org/wiki/Shiraz_Golden_Restaurant,Point(88.35986111 22.54643889),2.943,22.54643889,88.35986111,1.0,http://www.wikidata.org/entity/Q11707,Shiraz Golden Restaurant,restaurant,D,blue,,,,,,,
559,http://www.wikidata.org/entity/Q48733888,,https://en.wikipedia.org/wiki/Stephen_Court_fire,Point(88.3522 22.5524),2.551,22.5524,88.3522,1.0,http://www.wikidata.org/entity/Q7625093,Stephen Court Fire,structure fire,D,blue,,,,,,,
560,http://www.wikidata.org/entity/Q48774272,,,Point(88.3686664 22.5668696),0.808,22.5668696,88.3686664,1.0,http://www.wikidata.org/entity/Q16970,Church of our Lady of Dolours,church building,D,blue,,,,,,,
561,http://www.wikidata.org/entity/Q52635401,,https://en.wikipedia.org/wiki/Vidhyanjali_High_School,Point(88.3504493 22.534184),4.494,22.534184,88.3504493,1.0,http://www.wikidata.org/entity/Q64062731,Vidhyanjali High School,higher secondary school,D,blue,,,,,,,
563,http://www.wikidata.org/entity/Q55593163,,,Point(88.3469 22.5851),2.228,22.5851,88.3469,1.0,http://www.wikidata.org/entity/Q2104072,Old Howrah Bridge,pontoon bridge,D,blue,,,,,,,
564,http://www.wikidata.org/entity/Q56244717,,,Point(88.35113525 22.55491257),2.367,22.55491257,88.35113525,1.0,http://www.wikidata.org/entity/Q41176,Asiatic Society building,building,D,blue,,,,,,,
565,http://www.wikidata.org/entity/Q56424794,,,Point(88.3455889 22.5710371),1.888,22.5710371,88.3455889,1.0,http://www.wikidata.org/entity/Q381885,Tomb of Frances Johnson,tomb,D,blue,,,,,,,
566,http://www.wikidata.org/entity/Q56682342,,,Point(88.3562697 22.5335133),4.421,22.5335133,88.3562697,1.0,http://www.wikidata.org/entity/Q33506,Azad Memorabilia Museum,museum,D,blue,,,,,,,
567,http://www.wikidata.org/entity/Q56682413,,,Point(88.374083333 22.583055555),1.56,22.583055555556,88.374083333333,1.0,http://www.wikidata.org/entity/Q7209480,Calcutta Police Museum,police museum,D,blue,,,,,,,
568,http://www.wikidata.org/entity/Q56682452,,,Point(88.34995 22.56525),1.651,22.56525,88.34995,1.0,http://www.wikidata.org/entity/Q33506,Smaranika Tram Museum,museum,D,blue,,,,,,,
569,http://www.wikidata.org/entity/Q56682483,,,Point(88.3690305 22.5829921),1.265,22.5829921,88.3690305,1.0,http://www.wikidata.org/entity/Q33506,Raja Rammohun Roy Memorial Museum,museum,D,blue,,,,,,,
570,http://www.wikidata.org/entity/Q56682945,,,Point(88.3733867 22.5795949),1.244,22.5795949,88.3733867,1.0,http://www.wikidata.org/entity/Q33506,Jagadish Chandra Bose Science Heritage Museum,museum,D,blue,,,,,,,
571,http://www.wikidata.org/entity/Q56683351,,,Point(88.367012 22.603238),3.417,22.603238,88.367012,1.0,http://www.wikidata.org/entity/Q33506,Sri Chaitanya Mahaprabhu Museum,museum,D,blue,,,,,,,
572,http://www.wikidata.org/entity/Q56683358,,,Point(88.3592008 22.5849231),1.448,22.5849231,88.3592008,1.0,http://www.wikidata.org/entity/Q33506,Rabindra Bharati Museum,museum,D,blue,,,,,,,
573,http://www.wikidata.org/entity/Q56683537,,,Point(88.3563618 22.5785127),1.012,22.5785127,88.3563618,1.0,http://www.wikidata.org/entity/Q32815,Hafiz Jamaluddin Masjid,mosque,D,blue,,,,,,,
574,http://www.wikidata.org/entity/Q56761726,,,Point(88.3456747 22.5703959),1.887,22.5703959,88.3456747,1.0,http://www.wikidata.org/entity/Q575759,Second Rohilla War Memorial,war memorial,D,blue,,,,,,,
575,http://www.wikidata.org/entity/Q59645204,,,Point(88.3536717 22.580913),1.395,22.580913,88.3536717,1.0,http://www.wikidata.org/entity/Q337986,Gurdwara Bara Sikh Sangat,gurdwara,D,blue,,,,,,,
576,http://www.wikidata.org/entity/Q64213508,,,Point(88.337136111 22.581555555),2.92,22.581555555556,88.337136111111,1.0,http://www.wikidata.org/entity/Q61443591,Howrah head post office,head post office,D,blue,,,,,,,
581,http://www.wikidata.org/entity/Q65954427,,,Point(88.347943 22.574009),1.645,22.574009,88.347943,1.0,http://www.wikidata.org/entity/Q65954225,Reserve Bank of India Kolkata,Reserve Bank of India branch,D,blue,,,,,,,
582,http://www.wikidata.org/entity/Q66313056,,,Point(88.35512 22.57125),0.914,22.57125,88.35512,1.0,http://www.wikidata.org/entity/Q56242063,Carey Baptist Church,Protestant church building,D,blue,,,,,,,
583,http://www.wikidata.org/entity/Q66980144,,,Point(88.3512596 22.5666996),1.456,22.5666996,88.3512596,1.0,http://www.wikidata.org/entity/Q41176,Aayakar Bhawan,building,D,blue,,,,,,,
584,http://www.wikidata.org/entity/Q66980266,,,Point(88.3437708 22.5649357),2.237,22.5649357,88.3437708,1.0,http://www.wikidata.org/entity/Q41176,Akashvani Bhavan,building,D,blue,,,,,,,
585,http://www.wikidata.org/entity/Q67591916,,,Point(88.333302777 22.581488888),3.291,22.581488888889,88.333302777778,1.0,http://www.wikidata.org/entity/Q41176,"4, Nityadhan Mukherjee Road",building,D,blue,,,,,,,
586,http://www.wikidata.org/entity/Q67633318,,,Point(88.386972222 22.606361111),4.435,22.606361111111,88.386972222222,1.0,http://www.wikidata.org/entity/Q41176,Dhurjoti Bhawan,building,D,blue,,,,,,,
587,http://www.wikidata.org/entity/Q67642356,,,Point(88.3673038 22.6080598),3.953,22.6080598,88.3673038,1.0,http://www.wikidata.org/entity/Q950431,Swing Bridge over Circular Canal,swing bridge,D,blue,,,,,,,
589,http://www.wikidata.org/entity/Q67642423,,,Point(88.374029 22.605409),3.789,22.605409,88.374029,1.0,http://www.wikidata.org/entity/Q12280,Barrackpore bridge,bridge,D,blue,,,,,,,
590,http://www.wikidata.org/entity/Q67642936,,,Point(88.369033 22.605858),3.73,22.605858,88.369033,1.0,http://www.wikidata.org/entity/Q44539,Dochala Shiva temple of Jagatram Haldar,temple,D,blue,,,,,,,
591,http://www.wikidata.org/entity/Q67645656,,,Point(88.373277777 22.604527777),3.673,22.604527777778,88.373277777778,1.0,http://www.wikidata.org/entity/Q32815,Begum Mosque,mosque,D,blue,,,,,,,
592,http://www.wikidata.org/entity/Q67648685,,,Point(88.367758 22.603062),3.405,22.603062,88.367758,1.0,http://www.wikidata.org/entity/Q41176,House of Girish Chandra Ghosh,building,D,blue,,,,,,,
594,http://www.wikidata.org/entity/Q67651735,,,Point(88.359166666 22.600555555),3.141,22.600555555556,88.359166666667,1.0,http://www.wikidata.org/entity/Q1010155,Champatala Ghat,ghat,D,blue,,,,,,,
595,http://www.wikidata.org/entity/Q67842608,,,Point(88.3715 22.5967),2.786,22.596700000015,88.371500000559,1.0,http://www.wikidata.org/entity/Q64062731,Town School,higher secondary school,D,blue,,,,,,,
599,http://www.wikidata.org/entity/Q67862438,,,Point(88.377638 22.591649),2.541,22.591649,88.377638,1.0,http://www.wikidata.org/entity/Q2613100,Sri Sri Shitalnath Swami Garden Temple,Jain temple,D,blue,,,,,,,
600,http://www.wikidata.org/entity/Q67862554,,,Point(88.378747 22.591312),2.575,22.591312,88.378747,1.0,http://www.wikidata.org/entity/Q2613100,Jain Swetamber Dadaji's Temple,Jain temple,D,blue,,,,,,,
601,http://www.wikidata.org/entity/Q67868120,,,Point(88.369111111 22.589055555),1.902,22.589055555556,88.369111111111,1.0,http://www.wikidata.org/entity/Q41176,"55, Avedananda Road",building,D,blue,,,,,,,
602,http://www.wikidata.org/entity/Q67868299,,,Point(88.371638888 22.588277777),1.911,22.588277777778,88.371638888889,1.0,http://www.wikidata.org/entity/Q41176,"34, Avedananda Road",building,D,blue,,,,,,,
603,http://www.wikidata.org/entity/Q67868339,,,Point(88.371166666 22.588388888),1.903,22.588388888889,88.371166666667,1.0,http://www.wikidata.org/entity/Q41176,"37, Avedananda Road",building,D,blue,,,,,,,
605,http://www.wikidata.org/entity/Q67869944,,,Point(88.370771 22.592583),2.326,22.592583,88.370771,1.0,http://www.wikidata.org/entity/Q861951,"1, Raja Rajkrishna street",police station,D,blue,,,,,,,
607,http://www.wikidata.org/entity/Q67871358,,,Point(88.364388888 22.590305555),1.964,22.590305555556,88.364388888889,1.0,http://www.wikidata.org/entity/Q41176,Residence of Ramdulal Sarkar,building,D,blue,,,,,,,
608,http://www.wikidata.org/entity/Q67871483,,,Point(88.364583333 22.590277777),1.962,22.590277777778,88.364583333333,1.0,http://www.wikidata.org/entity/Q41176,Deb Houses,building,D,blue,,,,,,,
609,http://www.wikidata.org/entity/Q67872010,,,Point(88.367555555 22.592944444),2.288,22.592944444444,88.367555555556,1.0,http://www.wikidata.org/entity/Q44539,Bhar's thakurbari,temple,D,blue,,,,,,,
610,http://www.wikidata.org/entity/Q67872429,,,Point(88.368666666 22.590916666),2.09,22.590916666667,88.368666666667,1.0,http://www.wikidata.org/entity/Q41176,House of Hemendra Mohan Bose,building,D,blue,,,,,,,
611,http://www.wikidata.org/entity/Q67875662,,,Point(88.35336 22.596292),2.843,22.596292,88.35336,1.0,http://www.wikidata.org/entity/Q1010155,Ahiritola Ghat,ghat,D,blue,,,,,,,
612,http://www.wikidata.org/entity/Q67882136,,,Point(88.360180555 22.5971),2.746,22.5971,88.360180555556,1.0,http://www.wikidata.org/entity/Q41176,House of Butto Kristo Paul,building,D,blue,,,,,,,
613,http://www.wikidata.org/entity/Q67886466,,,Point(88.353138888 22.593863888),2.605,22.593863888889,88.353138888889,1.0,http://www.wikidata.org/entity/Q44539,Durgeshwar Shiva temple,temple,D,blue,,,,,,,
614,http://www.wikidata.org/entity/Q67903771,,,Point(88.349823 22.587706),2.212,22.587706,88.349823,1.0,http://www.wikidata.org/entity/Q1010155,Jagannath ghat,ghat,D,blue,,,,,,,
615,http://www.wikidata.org/entity/Q67916413,,,Point(88.364263888 22.589838888),1.912,22.589838888889,88.364263888889,1.0,http://www.wikidata.org/entity/Q61443650,Beadon Street sub post office,sub post office,D,blue,,,,,,,
616,http://www.wikidata.org/entity/Q68006298,,,Point(88.368926 22.58803),1.787,22.58803,88.368926,1.0,http://www.wikidata.org/entity/Q3253281,Azad Hind Bag,artificial pond,D,blue,,,,,,,
618,http://www.wikidata.org/entity/Q68006990,,,Point(88.3695 22.587555555),1.755,22.587555555556,88.3695,1.0,http://www.wikidata.org/entity/Q41176,"2, Urquhart Square",building,D,blue,,,,,,,
619,http://www.wikidata.org/entity/Q68007159,,,Point(88.368166666 22.585972222),1.545,22.585972222222,88.368166666667,1.0,http://www.wikidata.org/entity/Q41176,YMCA Vivekananda Road,building,D,blue,,,,,,,
621,http://www.wikidata.org/entity/Q68007706,,,Point(88.370972222 22.585722222),1.625,22.585722222222,88.370972222222,1.0,http://www.wikidata.org/entity/Q41176,House of Janardan Saha,building,D,blue,,,,,,,
622,http://www.wikidata.org/entity/Q68008553,,,Point(88.370083333 22.585972222),1.612,22.585972222222,88.370083333333,1.0,http://www.wikidata.org/entity/Q44539,Sri Sri Jagat Janani temple,temple,D,blue,,,,,,,
623,http://www.wikidata.org/entity/Q68011169,,,Point(88.3695 22.584805555),1.469,22.584805555556,88.3695,1.0,http://www.wikidata.org/entity/Q41176,"16, D. L. Roy street",building,D,blue,,,,,,,
624,http://www.wikidata.org/entity/Q68011455,,,Point(88.369916666 22.586555555),1.666,22.586555555556,88.369916666667,1.0,http://www.wikidata.org/entity/Q16970,Duff Church,church building,D,blue,,,,,,,
625,http://www.wikidata.org/entity/Q68015182,,,Point(88.370083333 22.584833333),1.497,22.584833333333,88.370083333333,1.0,http://www.wikidata.org/entity/Q44539,Thakurbari of Bankubihari Saha,temple,D,blue,,,,,,,
626,http://www.wikidata.org/entity/Q68015336,,,Point(88.36925 22.586638888),1.65,22.586638888889,88.36925,1.0,http://www.wikidata.org/entity/Q41176,"71, Sisir Bhadury Sarani",building,D,blue,,,,,,,
627,http://www.wikidata.org/entity/Q68015418,,,Point(88.370472222 22.587666666),1.801,22.587666666667,88.370472222222,1.0,http://www.wikidata.org/entity/Q41176,"14/1, Duff Street",building,D,blue,,,,,,,
628,http://www.wikidata.org/entity/Q68015417,,,Point(88.37 22.586944444),1.709,22.586944444444,88.37,1.0,http://www.wikidata.org/entity/Q423208,St. Margaret's School,private school,D,blue,,,,,,,
629,http://www.wikidata.org/entity/Q68015770,,,Point(88.372111111 22.587472222),1.852,22.587472222222,88.372111111111,1.0,http://www.wikidata.org/entity/Q41176,"18, Dr. Dhiren Sen Sarani",building,D,blue,,,,,,,
630,http://www.wikidata.org/entity/Q68015980,,,Point(88.368972222 22.584861111),1.455,22.584861111111,88.368972222222,1.0,http://www.wikidata.org/entity/Q41176,House of Dwijendralal Roy,building,D,blue,,,,,,,
631,http://www.wikidata.org/entity/Q68016138,,,Point(88.371305555 22.586666666),1.735,22.586666666667,88.371305555556,1.0,http://www.wikidata.org/entity/Q41176,"25, Rammohan Saha lane",building,D,blue,,,,,,,
633,http://www.wikidata.org/entity/Q68016742,,,Point(88.370111111 22.585611111),1.577,22.585611111111,88.370111111111,1.0,http://www.wikidata.org/entity/Q41176,Saha House,building,D,blue,,,,,,,
634,http://www.wikidata.org/entity/Q68016817,,,Point(88.369638888 22.584722222),1.467,22.584722222222,88.369638888889,1.0,http://www.wikidata.org/entity/Q41176,"15, D. L. Roy street",building,D,blue,,,,,,,
635,http://www.wikidata.org/entity/Q68018111,,,Point(88.3752 22.580499999),1.452,22.580499999769,88.375200000416,1.0,http://www.wikidata.org/entity/Q67383935,Athenaeum Institution,co-educational school,D,blue,,,,,,,
638,http://www.wikidata.org/entity/Q68061808,,,Point(88.372379 22.572338),0.872,22.572338,88.372379,1.0,http://www.wikidata.org/entity/Q16560,Cossimbazar Rajbati,palace,D,blue,,,,,,,
639,http://www.wikidata.org/entity/Q68074254,,,Point(88.364033 22.57782),0.575,22.57782,88.364033,1.0,http://www.wikidata.org/entity/Q132510,College Street Market,market,D,blue,,,,,,,
640,http://www.wikidata.org/entity/Q68074746,,,Point(88.363802 22.574655),0.224,22.574655,88.363802,1.0,http://www.wikidata.org/entity/Q174782,College Square,square,D,blue,,,,,,,
642,http://www.wikidata.org/entity/Q68156673,,,Point(88.368805555 22.588888888),1.875,22.588888888889,88.368805555556,1.0,http://www.wikidata.org/entity/Q179700,Statue of Butto Kristo Paul,statue,D,blue,,,,,,,
643,http://www.wikidata.org/entity/Q68159840,,,Point(88.362616 22.574916),0.285,22.574916,88.362616,1.0,http://www.wikidata.org/entity/Q30785519,Ashutosh Shiksha Prangan,university campus,D,blue,,,,,,,
644,http://www.wikidata.org/entity/Q68272414,,,Point(88.3475105 22.570580305),1.698,22.570580305556,88.3475105,1.0,http://www.wikidata.org/entity/Q41176,Old Reserve Bank of India Central Office building,building,D,blue,,,,,,,
645,http://www.wikidata.org/entity/Q68292112,,,Point(88.346375 22.574513888),1.811,22.574513888889,88.346375,1.0,http://www.wikidata.org/entity/Q41176,Customs House,building,D,blue,,,,,,,
646,http://www.wikidata.org/entity/Q68455460,,,Point(88.347797425 22.571324726),1.659,22.571324726784,88.347797425377,1.0,http://www.wikidata.org/entity/Q179700,Statue of Maharaja Lakshmishwar Singh of Darbhanga,statue,D,blue,,,,,,,
647,http://www.wikidata.org/entity/Q68482484,,,Point(88.349936 22.559887),2.017,22.559887,88.349936,1.0,http://www.wikidata.org/entity/Q3253281,Manohar Das Tarag,artificial pond,D,blue,,,,,,,
648,http://www.wikidata.org/entity/Q68597114,,,Point(88.366676 22.559764),1.461,22.559764,88.366676,1.0,http://www.wikidata.org/entity/Q41176,House of Henry Louis Vivian Derozio,building,D,blue,,,,,,,
649,http://www.wikidata.org/entity/Q68647037,,,Point(88.365653 22.546386),2.925,22.546386,88.365653,1.0,http://www.wikidata.org/entity/Q157570,Gas Crematorium,crematorium,D,blue,,,,,,,
650,http://www.wikidata.org/entity/Q68708889,,,Point(88.351507 22.553666),2.464,22.553666,88.351507,1.0,http://www.wikidata.org/entity/Q41176,Queen's Mansion,building,D,blue,,,,,,,
652,http://www.wikidata.org/entity/Q69265409,,,Point(88.337205 22.535694),4.939,22.535694,88.337205,1.0,http://www.wikidata.org/entity/Q14750991,Bhowanipore Cemetery,Commonwealth War Graves Commission maintained cemetery,D,blue,,,,,,,
653,http://www.wikidata.org/entity/Q74549430,,,Point(88.34238 22.599159999),3.684,22.599159999605,88.342380000307,1.0,http://www.wikidata.org/entity/Q22713629,Salkia Shri Vikram Balika Vidyalaya,girls' school,D,blue,,,,,,,
