,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
0,http://www.wikidata.org/entity/Q158467,https://de.wikipedia.org/wiki/Gwalior,https://en.wikipedia.org/wiki/Gwalior,Point(78.1775 26.2125),2.233,26.2125,78.1775,86,http://www.wikidata.org/entity/Q1549591,Gwalior,big city,S,orange
2,http://www.wikidata.org/entity/Q2487545,,https://en.wikipedia.org/wiki/Gwalior_Fort,Point(78.1689 26.2303),3.171,26.2303,78.1689,19,http://www.wikidata.org/entity/Q57831,Gwalior Fort,fortress,A,green
3,http://www.wikidata.org/entity/Q1308627,https://de.wikipedia.org/wiki/Madhya_Bharat,https://en.wikipedia.org/wiki/Madhya_Bharat,Point(78.17 26.22),2.205,26.22,78.17,17,http://www.wikidata.org/entity/Q12443800,Madhya Bharat,state of India,A,green
4,http://www.wikidata.org/entity/Q2247561,https://de.wikipedia.org/wiki/Flughafen_Gwalior,https://en.wikipedia.org/wiki/Gwalior_Airport,Point(78.227777777 26.293333333),12.189,26.293333333333,78.227777777778,15,http://www.wikidata.org/entity/Q1248784,Gwalior Airport,airport,A,green
6,http://www.wikidata.org/entity/Q2725698,,https://en.wikipedia.org/wiki/Morar_Cantonment,Point(78.224722222 26.226388888),7.176,26.226388888889,78.224722222222,13,http://www.wikidata.org/entity/Q57178953,Morar Cantonment,cantonment town,A,green
10,http://www.wikidata.org/entity/Q1557788,https://de.wikipedia.org/wiki/Gwalior_(Division),https://en.wikipedia.org/wiki/Gwalior_division,Point(78.16666667 26.23333333),3.42,26.23333333,78.16666667,12,http://www.wikidata.org/entity/Q124669069,Gwalior division,division of Madhya Pradesh,A,green
11,http://www.wikidata.org/entity/Q869350,https://de.wikipedia.org/wiki/Bistum_Gwalior,https://en.wikipedia.org/wiki/Roman_Catholic_Diocese_of_Gwalior,Point(78.158225 26.205425),0.208,26.205425,78.158225,11,http://www.wikidata.org/entity/Q3146899,Roman Catholic Diocese of Gwalior,diocese of the Catholic Church,A,green
12,http://www.wikidata.org/entity/Q1053874,https://de.wikipedia.org/wiki/Central_India_Agency,https://en.wikipedia.org/wiki/Central_India_Agency,Point(78.17 26.22),2.205,26.22,78.17,9,http://www.wikidata.org/entity/Q4691986,Central India Agency,agency of British India,B,violet
13,http://www.wikidata.org/entity/Q1800304,https://de.wikipedia.org/wiki/Teli-ka-Mandir,https://en.wikipedia.org/wiki/Teli_ka_Mandir,Point(78.165888888 26.220305555),2.03,26.220305555556,78.165888888889,9,http://www.wikidata.org/entity/Q842402,Teli ka Temple,Hindu temple,B,violet
14,http://www.wikidata.org/entity/Q6123487,,https://en.wikipedia.org/wiki/Jai_Vilas_Mahal,Point(78.16859 26.20472),1.126,26.20472,78.16859,9,http://www.wikidata.org/entity/Q33506,Jai Vilas Mahal,museum,B,violet
15,http://www.wikidata.org/entity/Q12424488,,https://en.wikipedia.org/wiki/Gopachal_rock-cut_Jain_monuments,Point(78.1675 26.214777777),1.592,26.214777777778,78.1675,7,http://www.wikidata.org/entity/Q811979,Gopachal rock-cut Jain monuments,architectural structure,B,violet
17,http://www.wikidata.org/entity/Q3634648,,"https://en.wikipedia.org/wiki/Gird,_India",Point(78.2 26.2),4.274,26.2,78.2,6,http://www.wikidata.org/entity/Q26280629,Gird,region of India,B,violet
18,http://www.wikidata.org/entity/Q3515393,,https://en.wikipedia.org/wiki/Captain_Roop_Singh_Stadium,Point(78.183581 26.210683),2.728,26.210683,78.183581,5,http://www.wikidata.org/entity/Q483110,Roop Singh Stadium,stadium,B,violet
20,http://www.wikidata.org/entity/Q7424948,,"https://en.wikipedia.org/wiki/Sasbahu_Temple,_Gwalior",Point(78.17025 26.22394444),2.59,26.22394444,78.17025,5,http://www.wikidata.org/entity/Q842402,Sasbahu Temple,Hindu temple,B,violet
21,http://www.wikidata.org/entity/Q24748068,,https://en.wikipedia.org/wiki/Shrimant_Madhavrao_Scindia_Cricket_Stadium,Point(78.125 26.234),4.664,26.234,78.125,5,http://www.wikidata.org/entity/Q682943,Gwalior International Cricket Stadium,cricket field,B,violet
22,http://www.wikidata.org/entity/Q40888544,,https://en.wikipedia.org/wiki/Gujari_Mahal_Archaeological_Museum,Point(78.168627 26.230047),3.135,26.230047,78.168627,5,http://www.wikidata.org/entity/Q3329412,Gujari Mahal Archaeological Museum,archaeological museum,B,violet
23,http://www.wikidata.org/entity/Q6020617,,https://en.wikipedia.org/wiki/Atal_Bihari_Vajpayee_Indian_Institute_of_Information_Technology_and_Management,Point(78.174592 26.248468),5.263,26.248468,78.174592,4,http://www.wikidata.org/entity/Q4671277,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",academic institution,C,yellow
25,http://www.wikidata.org/entity/Q6203498,,https://en.wikipedia.org/wiki/Jiwaji_University,Point(78.194916666 26.20085),3.76,26.20085,78.194916666667,4,http://www.wikidata.org/entity/Q3918,"Jiwaji University, Gwalior",university,C,yellow
26,http://www.wikidata.org/entity/Q13185359,,https://en.wikipedia.org/wiki/Raja_Mansingh_Tomar_Music_%26_Arts_University,Point(78.179022222 26.190925),2.587,26.190925,78.179022222222,4,http://www.wikidata.org/entity/Q4671277,Raja Mansingh Tomar Music & Arts University,academic institution,C,yellow
27,http://www.wikidata.org/entity/Q4854568,,https://en.wikipedia.org/wiki/Bandholi,Point(78.285 26.185),12.904,26.185,78.285,3,http://www.wikidata.org/entity/Q56436498,Bandholi,Village in India,C,yellow
28,http://www.wikidata.org/entity/Q5517565,,https://en.wikipedia.org/wiki/Gajara_Raja_Medical_College,Point(78.162004 26.194172),1.159,26.194172,78.162004,3,http://www.wikidata.org/entity/Q3918,Gajara Raja Medical College,university,C,yellow
