,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,item,articleDE,articleEN,location,distance,sitelinks,thing,to_drop_key
142,https://www.atlasobscura.com/places/sasbahu-temples,26.223256,78.167927,"
Sasbahu Temples
","
A pair of nearly 1,000-year-old temples profusely covered in meticulous stone carvings.
35,,26.14,78.1,Adhyatma Niketan,,C,yellow,,,ashram,,,http://www.wikidata.org/entity/Q4682567,,https://en.wikipedia.org/wiki/Adhyatma_Niketan,Point(78.1 26.14),9.109,2.0,http://www.wikidata.org/entity/Q466449,"('26.14', '78.1')"
40,,26.2094,78.1785,Scindia Kanya Vidyalaya,,C,yellow,,,boarding school,,,http://www.wikidata.org/entity/Q7433922,,https://en.wikipedia.org/wiki/Scindia_Kanya_Vidyalaya,Point(78.1785 26.2094),2.201,2.0,http://www.wikidata.org/entity/Q269770,"('26.2094', '78.1785')"
41,,26.2175,78.1672,Scindia School,,C,yellow,,,boarding school,,,http://www.wikidata.org/entity/Q12068524,,https://en.wikipedia.org/wiki/Scindia_School,Point(78.1672 26.2175),1.819,2.0,http://www.wikidata.org/entity/Q269770,"('26.2175', '78.1672')"
43,,26.204,78.166,Usha Kiran Palace,,C,yellow,,,building,,,http://www.wikidata.org/entity/Q17141350,,https://en.wikipedia.org/wiki/Usha_Kiran_Palace,Point(78.166 26.204),0.862,2.0,http://www.wikidata.org/entity/Q41176,"('26.204', '78.166')"
44,,26.220397222222,78.193241666667,Lakshmibai National University of Physical Education,,C,yellow,,,university,,,http://www.wikidata.org/entity/Q18127108,,https://en.wikipedia.org/wiki/Lakshmibai_National_Institute_of_Physical_Education,Point(78.193241666 26.220397222),4.031,2.0,http://www.wikidata.org/entity/Q3918,"('26.220397222222', '78.193241666667')"
46,,26.239,78.0766,Gwalior West,,C,yellow,,,suburb,,,http://www.wikidata.org/entity/Q30624894,,https://en.wikipedia.org/wiki/Gwalior_West,Point(78.23055556 26.2375),8.21,2.0,http://www.wikidata.org/entity/Q188509,"('26.239', '78.0766')"
52,,26.22,78.166666666667,Q11920883,,D,blue,,,artificial pond,,,http://www.wikidata.org/entity/Q11920883,,,Point(78.166666666 26.22),2.034,1.0,http://www.wikidata.org/entity/Q3253281,"('26.22', '78.166666666667')"
53,,26.225,78.163333333333,Q11920888,,D,blue,,,artificial pond,,,http://www.wikidata.org/entity/Q11920888,,,Point(78.163333333 26.225),2.439,1.0,http://www.wikidata.org/entity/Q3253281,"('26.225', '78.163333333333')"
54,,26.213055555556,78.163611111111,Q11920889,,D,blue,,,artificial pond,,,http://www.wikidata.org/entity/Q11920889,,,Point(78.163611111 26.213055555),1.21,1.0,http://www.wikidata.org/entity/Q3253281,"('26.213055555556', '78.163611111111')"
55,,26.1,78.1,Q11934867,,D,blue,,,locality,,,http://www.wikidata.org/entity/Q11934867,,,Point(78.1 26.1),12.876,1.0,http://www.wikidata.org/entity/Q3257686,"('26.1', '78.1')"
56,,26.1994,78.1487,"Maharaj Bada, Gwalior",,D,blue,,,human-geographic territorial entity,,,http://www.wikidata.org/entity/Q18351583,,"https://en.wikipedia.org/wiki/Maharaj_Bada,_Gwalior",Point(78.1487 26.1994),0.989,1.0,http://www.wikidata.org/entity/Q15642541,"('26.1994', '78.1487')"
57,,26.2341,78.1706,Q19368127,,D,blue,,,palace,,,http://www.wikidata.org/entity/Q19368127,,,Point(78.1706 26.2341),3.626,1.0,http://www.wikidata.org/entity/Q16560,"('26.2341', '78.1706')"
58,,26.2375,78.2306,"Morar, Gwalior district",,D,blue,,,human-geographic territorial entity,,,http://www.wikidata.org/entity/Q19894143,,,Point(78.2306 26.2375),8.214,1.0,http://www.wikidata.org/entity/Q15642541,"('26.2375', '78.2306')"
