item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel
http://www.wikidata.org/entity/Q158467,https://de.wikipedia.org/wiki/Gwalior,https://en.wikipedia.org/wiki/Gwalior,Point(78.1775 26.2125),2.233,26.2125,78.1775,86,http://www.wikidata.org/entity/Q1549591,Gwalior,big city
http://www.wikidata.org/entity/Q158467,https://de.wikipedia.org/wiki/Gwalior,https://en.wikipedia.org/wiki/Gwalior,Point(78.1775 26.2125),2.233,26.2125,78.1775,86,http://www.wikidata.org/entity/Q515,Gwalior,city
http://www.wikidata.org/entity/Q2487545,,https://en.wikipedia.org/wiki/Gwalior_Fort,Point(78.1689 26.2303),3.171,26.2303,78.1689,19,http://www.wikidata.org/entity/Q57831,Gwalior Fort,fortress
http://www.wikidata.org/entity/Q1308627,https://de.wikipedia.org/wiki/Madhya_Bharat,https://en.wikipedia.org/wiki/Madhya_Bharat,Point(78.17 26.22),2.205,26.22,78.17,17,http://www.wikidata.org/entity/Q12443800,Madhya Bharat,state of India
http://www.wikidata.org/entity/Q2247561,https://de.wikipedia.org/wiki/Flughafen_Gwalior,https://en.wikipedia.org/wiki/Gwalior_Airport,Point(78.227777777 26.293333333),12.189,26.293333333333,78.227777777778,15,http://www.wikidata.org/entity/Q1248784,Gwalior Airport,airport
http://www.wikidata.org/entity/Q2247561,https://de.wikipedia.org/wiki/Flughafen_Gwalior,https://en.wikipedia.org/wiki/Gwalior_Airport,Point(78.227777777 26.293333333),12.189,26.293333333333,78.227777777778,15,http://www.wikidata.org/entity/Q94993988,Gwalior Airport,commercial traffic aerodrome
http://www.wikidata.org/entity/Q2725698,,https://en.wikipedia.org/wiki/Morar_Cantonment,Point(78.224722222 26.226388888),7.176,26.226388888889,78.224722222222,13,http://www.wikidata.org/entity/Q57178953,Morar Cantonment,cantonment town
http://www.wikidata.org/entity/Q2725698,,https://en.wikipedia.org/wiki/Morar_Cantonment,Point(78.230555555 26.2375),8.21,26.226388888889,78.224722222222,13,http://www.wikidata.org/entity/Q57178953,Morar Cantonment,cantonment town
http://www.wikidata.org/entity/Q2725698,,https://en.wikipedia.org/wiki/Morar_Cantonment,Point(78.224722222 26.226388888),7.176,26.2375,78.230555555556,13,http://www.wikidata.org/entity/Q57178953,Morar Cantonment,cantonment town
http://www.wikidata.org/entity/Q2725698,,https://en.wikipedia.org/wiki/Morar_Cantonment,Point(78.230555555 26.2375),8.21,26.2375,78.230555555556,13,http://www.wikidata.org/entity/Q57178953,Morar Cantonment,cantonment town
http://www.wikidata.org/entity/Q1557788,https://de.wikipedia.org/wiki/Gwalior_(Division),https://en.wikipedia.org/wiki/Gwalior_division,Point(78.16666667 26.23333333),3.42,26.23333333,78.16666667,12,http://www.wikidata.org/entity/Q124669069,Gwalior division,division of Madhya Pradesh
http://www.wikidata.org/entity/Q869350,https://de.wikipedia.org/wiki/Bistum_Gwalior,https://en.wikipedia.org/wiki/Roman_Catholic_Diocese_of_Gwalior,Point(78.158225 26.205425),0.208,26.205425,78.158225,11,http://www.wikidata.org/entity/Q3146899,Roman Catholic Diocese of Gwalior,diocese of the Catholic Church
http://www.wikidata.org/entity/Q1053874,https://de.wikipedia.org/wiki/Central_India_Agency,https://en.wikipedia.org/wiki/Central_India_Agency,Point(78.17 26.22),2.205,26.22,78.17,9,http://www.wikidata.org/entity/Q4691986,Central India Agency,agency of British India
http://www.wikidata.org/entity/Q1800304,https://de.wikipedia.org/wiki/Teli-ka-Mandir,https://en.wikipedia.org/wiki/Teli_ka_Mandir,Point(78.165888888 26.220305555),2.03,26.220305555556,78.165888888889,9,http://www.wikidata.org/entity/Q842402,Teli ka Temple,Hindu temple
http://www.wikidata.org/entity/Q6123487,,https://en.wikipedia.org/wiki/Jai_Vilas_Mahal,Point(78.16859 26.20472),1.126,26.20472,78.16859,9,http://www.wikidata.org/entity/Q33506,Jai Vilas Mahal,museum
http://www.wikidata.org/entity/Q12424488,,https://en.wikipedia.org/wiki/Gopachal_rock-cut_Jain_monuments,Point(78.1675 26.214777777),1.592,26.214777777778,78.1675,7,http://www.wikidata.org/entity/Q811979,Gopachal rock-cut Jain monuments,architectural structure
http://www.wikidata.org/entity/Q17054318,,https://en.wikipedia.org/wiki/Gwalior_Junction_railway_station,Point(78.182292 26.216483),2.863,26.216483,78.182292,7,http://www.wikidata.org/entity/Q55488,Gwalior Junction railway station,railway station
