item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel
http://www.wikidata.org/entity/Q26810858,,,Point(81.156944444 26.985833333),27.492,26.985833333333,81.156944444444,1,http://www.wikidata.org/entity/Q30198,Q26810858,marsh
http://www.wikidata.org/entity/Q26810859,,,Point(81.076666666 26.760555555),16.527,26.760555555556,81.076666666667,1,http://www.wikidata.org/entity/Q30198,Q26810859,marsh
http://www.wikidata.org/entity/Q26810857,,,Point(81.17974 26.99523),29.932,26.99523,81.17974,1,http://www.wikidata.org/entity/Q30198,Q26810857,marsh
http://www.wikidata.org/entity/Q26810862,,,Point(81.075833333 26.791944444),14.925,26.791944444444,81.075833333333,1,http://www.wikidata.org/entity/Q30198,Q26810862,marsh
http://www.wikidata.org/entity/Q26810860,,,Point(81.042222222 26.7625),13.592,26.7625,81.042222222222,1,http://www.wikidata.org/entity/Q30198,Q26810860,marsh
http://www.wikidata.org/entity/Q26810861,,,Point(81.064166666 26.789444444),13.949,26.789444444444,81.064166666667,1,http://www.wikidata.org/entity/Q30198,Q26810861,marsh
http://www.wikidata.org/entity/Q26810866,,,Point(81.13 26.923055555),21.559,26.923055555556,81.13,1,http://www.wikidata.org/entity/Q30198,Q26810866,marsh
http://www.wikidata.org/entity/Q26810867,,,Point(81.111111111 26.995),24.71,26.995,81.111111111111,1,http://www.wikidata.org/entity/Q30198,Q26810867,marsh
http://www.wikidata.org/entity/Q26810864,,,Point(81.049444444 26.831111111),11.421,26.831111111111,81.049444444444,1,http://www.wikidata.org/entity/Q30198,Q26810864,marsh
http://www.wikidata.org/entity/Q26810865,,,Point(81.031666666 26.853888888),9.788,26.853888888889,81.031666666667,1,http://www.wikidata.org/entity/Q30198,Q26810865,marsh
http://www.wikidata.org/entity/Q26810870,,,Point(81.012222222 26.998611111),19.436,26.998611111111,81.012222222222,1,http://www.wikidata.org/entity/Q30198,Q26810870,marsh
http://www.wikidata.org/entity/Q26810868,,,Point(81.050555555 26.983888888),19.873,26.983888888889,81.050555555556,1,http://www.wikidata.org/entity/Q30198,Q26810868,marsh
http://www.wikidata.org/entity/Q26810869,,,Point(81.025555555 26.972777777),17.481,26.972777777778,81.025555555556,1,http://www.wikidata.org/entity/Q30198,Q26810869,marsh
http://www.wikidata.org/entity/Q26811422,,,Point(80.991111111 27.046111111),23.797,27.046111111111,80.991111111111,1,http://www.wikidata.org/entity/Q55463449,Q26811422,intermittent wetland
http://www.wikidata.org/entity/Q26811438,,,Point(80.865555555 27.066388888),26.29,27.066388888889,80.865555555556,1,http://www.wikidata.org/entity/Q55463449,Q26811438,intermittent wetland
http://www.wikidata.org/entity/Q26811436,,,Point(80.945833333 27.074722222),26.333,27.074722222222,80.945833333333,1,http://www.wikidata.org/entity/Q55463449,Q26811436,intermittent wetland
http://www.wikidata.org/entity/Q26811442,,,Point(80.776388888 27.026111111),26.134,27.026111111111,80.776388888889,1,http://www.wikidata.org/entity/Q55463449,Q26811442,intermittent wetland
http://www.wikidata.org/entity/Q26811440,,,Point(80.916111111 27.072222222),26.096,27.072222222222,80.916111111111,1,http://www.wikidata.org/entity/Q55463449,Q26811440,intermittent wetland
http://www.wikidata.org/entity/Q26816060,,,Point(81.121944444 27.029444444),28.241,27.029444444444,81.121944444444,1,http://www.wikidata.org/entity/Q30198,Q26816060,marsh
http://www.wikidata.org/entity/Q26816064,,,Point(81.153055555 27.004444444),28.481,27.004444444444,81.153055555556,1,http://www.wikidata.org/entity/Q30198,Q26816064,marsh
http://www.wikidata.org/entity/Q26816065,,,Point(81.101388888 27.051111111),28.884,27.051111111111,81.101388888889,1,http://www.wikidata.org/entity/Q30198,Q26816065,marsh
http://www.wikidata.org/entity/Q28154289,,https://en.wikipedia.org/wiki/Era_University,Point(80.872679 26.878235),7.592,26.878235,80.872679,1,http://www.wikidata.org/entity/Q3918,Era University,university
http://www.wikidata.org/entity/Q28169261,,https://en.wikipedia.org/wiki/Transport_Nagar_railway_station,Point(80.9022675 26.7775684),7.456,26.7775684,80.9022675,1,http://www.wikidata.org/entity/Q22808404,Transport Nagar railway station,station located on surface
http://www.wikidata.org/entity/Q28169261,,https://en.wikipedia.org/wiki/Transport_Nagar_railway_station,Point(80.9022675 26.7775684),7.456,26.7775684,80.9022675,1,http://www.wikidata.org/entity/Q55488,Transport Nagar railway station,railway station
http://www.wikidata.org/entity/Q28173454,,"https://en.wikipedia.org/wiki/City_Montessori_School,_Rajajipuram_Branch_NB",Point(80.8942 26.7896),6.72,26.7896,80.8942,1,http://www.wikidata.org/entity/Q3914,"CMS, Rajajipuram Branch NB",school
http://www.wikidata.org/entity/Q106725920,,https://en.wikipedia.org/wiki/Khasarwara,Point(80.830946 26.666866),21.643,26.666866,80.830946,1,http://www.wikidata.org/entity/Q56061,Khasarwara,administrative territorial entity
http://www.wikidata.org/entity/Q106725927,,"https://en.wikipedia.org/wiki/Chandrawal,_Lucknow",Point(80.879999 26.712726),14.957,26.712726,80.879999,1,http://www.wikidata.org/entity/Q56061,"Chandrawal, Lucknow",administrative territorial entity
