location,distance,item,lat,lon,sitelinks,itemLabel,placeLabel
Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q8413,41.019722222222,28.949722222222,153,Constantine the Great,Church of the Holy Apostles
Point(28.964469 41.01569),1.409,http://www.wikidata.org/entity/Q8474,41.01569,28.964469,151,Suleiman the Magnificent,Tomb of Suleiman the Magnificent
Point(28.98 41.0125),0.763,http://www.wikidata.org/entity/Q5600,41.0125,28.98,133,Mimar Sinan,Constantinople
Point(28.9502674 41.0192788),2.583,http://www.wikidata.org/entity/Q34503,41.0192788,28.9502674,120,Mehmed II,Tomb of Mehmed the Conqueror
Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41866,41.019722222222,28.949722222222,116,Justinian I,Church of the Holy Apostles
Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q41866,41.01,28.960277777778,116,Justinian I,Istanbul
Point(28.98 41.0125),0.763,http://www.wikidata.org/entity/Q41866,41.0125,28.98,116,Justinian I,Constantinople
Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q43399,41.019722222222,28.949722222222,101,Andrew the Apostle,Church of the Holy Apostles
Point(28.9725 41.0085),0.368,http://www.wikidata.org/entity/Q134817,41.0085,28.9725,101,Abdul Hamid II,Mausoleum of Mahmud II
Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q46696,41.019722222222,28.949722222222,93,Theodosius I,Church of the Holy Apostles
Point(28.98 41.0125),0.763,http://www.wikidata.org/entity/Q46696,41.0125,28.98,93,Theodosius I,Constantinople
Point(28.9513 41.0266),3.05,http://www.wikidata.org/entity/Q494660,41.0266,28.9513,91,Selim I,Yavuz Selim Mosque
Point(28.98 41.0125),0.763,http://www.wikidata.org/entity/Q44011,41.0125,28.98,86,Gregory of Nazianzus,Constantinople
Point(28.964833 41.015643),1.385,http://www.wikidata.org/entity/Q255809,41.015643,28.964833,85,Hürrem Sultan,Hurrem Sultan Tomb
Point(28.925211 41.026698),4.813,http://www.wikidata.org/entity/Q180280,41.026698,28.925211,81,Turgut Özal,Mausoleum of Turgut Özal
Point(28.9725 41.0085),0.368,http://www.wikidata.org/entity/Q174791,41.0085,28.9725,80,Mahmud II,Mausoleum of Mahmud II
Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q165983,41.01,28.960277777778,78,Bayezid II,Istanbul
Point(28.98 41.008333333),0.409,http://www.wikidata.org/entity/Q161872,41.008333333333,28.98,78,Selim II,Hagia Sophia
Point(28.9559644 41.0097344),1.711,http://www.wikidata.org/entity/Q199633,41.0097344,28.9559644,76,Selim III,III. Tomb of Mustafa
Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q172056,41.01,28.960277777778,76,Osman II,Istanbul
Point(28.9725 41.0085),0.368,http://www.wikidata.org/entity/Q151500,41.0085,28.9725,75,Abdülaziz,Mausoleum of Mahmud II
Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q174762,41.01,28.960277777778,75,Murad IV,Istanbul
Point(28.9513 41.0266),3.05,http://www.wikidata.org/entity/Q174772,41.0266,28.9513,74,Abdülmecid I,Yavuz Selim Mosque
Point(28.974138 41.015522),1.027,http://www.wikidata.org/entity/Q170707,41.015522,28.974138,74,Abdul Hamid I,Tomb of Abdulhamid I
Point(28.979887 41.00779),0.372,http://www.wikidata.org/entity/Q171465,41.00779,28.979887,74,Mehmed III,Tomb of Mehmed III
Point(28.9358 41.0479),5.711,http://www.wikidata.org/entity/Q151494,41.0479,28.9358,74,Mehmed V,Tomb of Mehmed V
Point(29.00666667 41.04166667),4.697,http://www.wikidata.org/entity/Q200582,41.04166667,29.00666667,74,Hayreddin Barbarossa,Tomb of Hayreddin Barbarossa
Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q46720,41.019722222222,28.949722222222,73,Valentinian I,Church of the Holy Apostles
Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q170514,41.01,28.960277777778,73,Mehmed IV,Istanbul
Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q199482,41.01,28.960277777778,73,Ahmed III,Istanbul
Point(28.98 41.008333333),0.409,http://www.wikidata.org/entity/Q174798,41.008333333333,28.98,73,Mustafa I,Hagia Sophia
Point(28.9559644 41.0097344),1.711,http://www.wikidata.org/entity/Q199484,41.0097344,28.9559644,70,Mustafa III,III. Tomb of Mustafa
Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q199481,41.01,28.960277777778,69,Mahmud I,Istanbul
Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q199659,41.01,28.960277777778,69,Mustafa II,Istanbul
Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q199660,41.01,28.960277777778,68,Ahmed II,Istanbul
Point(28.972141 41.016875),1.208,http://www.wikidata.org/entity/Q199827,41.016875,28.972141,67,Murad V,New Mosque
Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41608,41.019722222222,28.949722222222,66,Konstantinos VII,Church of the Holy Apostles
