location,distance,item,lat,lon,sitelinks,itemLabel,placeLabel
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q53435,52.411389,16.947778,66,Mieszko I,Archcathedral Basilica of St. Peter and St. Paul
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q53436,52.411389,16.947778,64,Bolesław I the Brave,Archcathedral Basilica of St. Peter and St. Paul
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q28468,52.411389,16.947778,41,Mieszko II,Archcathedral Basilica of St. Peter and St. Paul
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q53455,52.411389,16.947778,41,Casimir I the Restorer,Archcathedral Basilica of St. Peter and St. Paul
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q54017,52.411389,16.947778,40,Przemysł II,Archcathedral Basilica of St. Peter and St. Paul
Point(16.9289 52.4144),0.834,http://www.wikidata.org/entity/Q527012,52.4144,16.9289,26,Stanisław Mikołajczyk,Cmentarz Zasłużonych Wielkopolan w Poznaniu
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q561112,52.411389,16.947778,21,Antoni Radziwiłł,Archcathedral Basilica of St. Peter and St. Paul
Point(16.8329 52.3863),7.347,http://www.wikidata.org/entity/Q445887,52.3863,16.8329,20,Barbara Janiszewska,Junikowo Cemetery
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q1384994,52.411389,16.947778,19,Władysław Odonic,Archcathedral Basilica of St. Peter and St. Paul
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q2452949,52.411389,16.947778,19,Bolesław the Pious,Archcathedral Basilica of St. Peter and St. Paul
Point(16.9983 52.4206),4.504,http://www.wikidata.org/entity/Q55718,52.4206,16.9983,17,Krystyna Feldman,Miłostowo Cemetery
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q712071,52.411389,16.947778,16,Mieczysław Halka Ledóchowski,Archcathedral Basilica of St. Peter and St. Paul
Point(17.233333333 52.333333333),21.874,http://www.wikidata.org/entity/Q62274,52.333333333333,17.233333333333,16,Elisa Radziwill,Greater Poland Voivodeship
Point(16.890252777 52.439158333),4.617,http://www.wikidata.org/entity/Q3398780,52.439158333333,16.890252777778,15,Sofía Casanova,Jean-Marie Vianney cemetery in Poznań
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q74609,52.411389,16.947778,15,Przemysł I of Greater Poland,Archcathedral Basilica of St. Peter and St. Paul
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q775563,52.411389,16.947778,15,Odon of Poznań,Archcathedral Basilica of St. Peter and St. Paul
Point(16.8329 52.3863),7.347,http://www.wikidata.org/entity/Q1344809,52.3863,16.8329,14,Władysław Orlicz,Junikowo Cemetery
Point(17.372222222 52.552777777),33.691,http://www.wikidata.org/entity/Q4121408,52.552777777778,17.372222222222,14,Jan Góra,Pola Lednickie
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q891322,52.411389,16.947778,13,Bolesław Filipiak,Archcathedral Basilica of St. Peter and St. Paul
Point(17.233333333 52.333333333),21.874,http://www.wikidata.org/entity/Q433967,52.333333333333,17.233333333333,13,Joanna Grudzińska,Greater Poland Voivodeship
Point(16.8329 52.3863),7.347,http://www.wikidata.org/entity/Q632903,52.3863,16.8329,12,Mirosław Justek,Junikowo Cemetery
Point(16.9358 52.362),5.111,http://www.wikidata.org/entity/Q953590,52.362,16.9358,12,Juliusz Paetz,Q20032254
Point(16.933611111 52.408333333),0.115,http://www.wikidata.org/entity/Q566698,52.408333333333,16.933611111111,12,Józef Paczoski,Poznań
Point(16.933611111 52.408333333),0.115,http://www.wikidata.org/entity/Q589132,52.408333333333,16.933611111111,12,Romualdas Marcinkus,Poznań
Point(16.933611111 52.408333333),0.115,http://www.wikidata.org/entity/Q3819219,52.408333333333,16.933611111111,12,Rafał Leszczyński,Poznań
Point(17.233333333 52.333333333),21.874,http://www.wikidata.org/entity/Q680651,52.333333333333,17.233333333333,12,Krzysztof Opaliński,Greater Poland Voivodeship
Point(16.9325 52.4136),0.653,http://www.wikidata.org/entity/Q765533,52.4136,16.9325,11,Feliks Nowowiejski,Church of St. Adalbert
Point(17.233333333 52.333333333),21.874,http://www.wikidata.org/entity/Q571323,52.333333333333,17.233333333333,11,Dezydery Chłapowski,Greater Poland Voivodeship
Point(16.8329 52.3863),7.347,http://www.wikidata.org/entity/Q481458,52.3863,16.8329,10,Bohdan Winiarski,Junikowo Cemetery
Point(16.8329 52.3863),7.347,http://www.wikidata.org/entity/Q1987984,52.3863,16.8329,10,Teodor Anioła,Junikowo Cemetery
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q73098,52.411389,16.947778,10,Marcin Dunin,Archcathedral Basilica of St. Peter and St. Paul
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q531063,52.411389,16.947778,10,Jordan,Archcathedral Basilica of St. Peter and St. Paul
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q772535,52.411389,16.947778,10,Antoni Baraniak,Archcathedral Basilica of St. Peter and St. Paul
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q1226315,52.411389,16.947778,10,Wawrzyniec Grzymała Goślicki,Archcathedral Basilica of St. Peter and St. Paul
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q3487485,52.411389,16.947778,10,"Richeza of Sweden, Queen of Poland",Archcathedral Basilica of St. Peter and St. Paul
Point(16.9983 52.4206),4.504,http://www.wikidata.org/entity/Q350978,52.4206,16.9983,10,Roman Brandstaetter,Miłostowo Cemetery
Point(16.8329 52.3863),7.347,http://www.wikidata.org/entity/Q515103,52.3863,16.8329,9,Andrzej Koszewski,Junikowo Cemetery
Point(16.8329 52.3863),7.347,http://www.wikidata.org/entity/Q7363041,52.3863,16.8329,9,Romek Strzałkowski,Junikowo Cemetery
Point(16.933611111 52.408333333),0.115,http://www.wikidata.org/entity/Q323916,52.408333333333,16.933611111111,9,Vilhelms Bokslafs,Poznań
Point(16.933611111 52.408333333),0.115,http://www.wikidata.org/entity/Q3948087,52.408333333333,16.933611111111,9,Sancja Szymkowiak,Poznań
Point(16.8329 52.3863),7.347,http://www.wikidata.org/entity/Q168048,52.3863,16.8329,8,Zbigniew Doda,Junikowo Cemetery
Point(16.8191 52.4382),8.56,http://www.wikidata.org/entity/Q2337432,52.4382,16.8191,8,Jozef Kostrzewski,Q8511790
Point(16.933611111 52.408333333),0.115,http://www.wikidata.org/entity/Q4776169,52.408333333333,16.933611111111,8,Antoni Jurasz,Poznań
Point(16.947778 52.411389),0.934,http://www.wikidata.org/entity/Q5410344,52.411389,16.947778,8,Euphemia of Greater Poland,Archcathedral Basilica of St. Peter and St. Paul
