ao_link,lat,lon,itemLabel,description
https://www.atlasobscura.com/places/catacombs-washington-dc,38.93755,-76.984551,,
https://www.atlasobscura.com/places/wood-line,37.793189,-122.448393,,
https://www.atlasobscura.com/places/the-ramble-cave-new-york-new-york,40.777365,-73.969506,,
https://www.atlasobscura.com/places/garden-of-oz,34.124716,-118.32191,,
https://www.atlasobscura.com/places/museum-of-pop-culture,47.621597,-122.348149,,
https://www.atlasobscura.com/places/national-atomic-testing-museum,36.114064,-115.148354,,
https://www.atlasobscura.com/places/the-treasures-in-the-trash-collection-new-york-new-york,40.785314,-73.943589,The Treasures in the Trash Collection,A New York garbage depot holds a secret collection of weird and wonderful refuse.
https://www.atlasobscura.com/places/watts-towers,33.93892,-118.241857,Watts Towers,America's most famous piece of self-built architecture.
https://www.atlasobscura.com/places/phantasma-gloria,34.083594,-118.255695,Phantasma Gloria,One man's homage to the sun continues to grow like a glass fractal.
https://www.atlasobscura.com/places/the-singing-oak-new-orleans-louisiana,29.985938,-90.090188,The Singing Oak,This New Orleans tree is filled with hidden chimes that produce a carefully tuned melody.
https://www.atlasobscura.com/places/garfield-park-conservatory,41.886496,-87.717822,Garfield Park Conservatory,A lush green oasis in the middle of Chicago.
https://www.atlasobscura.com/places/hall-of-mosses,47.872108,-123.929284,Hall of Mosses,Stroll through a wonderland of stupendous moss-covered trees.
https://www.atlasobscura.com/places/carousel-bar,29.954347,-90.067868,Carousel Bar,The only rotating bar in New Orleans has been slowly spinning since 1949.
https://www.atlasobscura.com/places/fifty-two-80s,39.68265,-104.987498,Fifty-Two 80's,This modern antique shop is a museum for 1980's Saturday morning cartoon culture.
https://www.atlasobscura.com/places/international-cryptozoology-museum,43.651443,-70.290602,,
https://www.atlasobscura.com/places/brooklyn-superhero-supply-store,40.671362,-73.984594,,
https://www.atlasobscura.com/places/the-bell-witch-cave-adams-tennessee,36.589965,-87.060679,,
https://www.atlasobscura.com/places/cave-of-kelpius,40.023761,-75.201553,,
https://www.atlasobscura.com/places/dolls-head-trail-atlanta,33.68269,-84.344796,,
https://www.atlasobscura.com/places/portland-s-shanghai-tunnels,45.523986,-122.673413,,
https://www.atlasobscura.com/places/nine-mile-canyon,39.776213,-110.496353,,
https://www.atlasobscura.com/places/edgar-allan-poe-national-historic-site,39.96163,-75.149811,,
https://www.atlasobscura.com/places/hollywood-sign,34.13473,-118.32091,Hollywood Sign,"Hollywood's most famous landmark, the ""temporary"" sign that has stood for decades longer than intended."
https://www.atlasobscura.com/places/audium-theatre-of-sound,37.788258,-122.423881,Audium Theatre of Sound-Sculptured Space,The only theatre in the world constructed specifically for sound movement.
https://www.atlasobscura.com/places/abandoned-virginia-renaissance-faire,38.259928,-77.385883,Abandoned Virginia Renaissance Faire,The remains of a failed attempt at medieval nerdery are hidden deep in the woods of Virginia.
https://www.atlasobscura.com/places/saint-louis-cemetery-one,29.959364,-90.071443,Saint Louis Cemetery No. 1,"The oldest cemetery in New Orleans, resting peacefully for over 200 years now."
https://www.atlasobscura.com/places/ennis-house,34.116178,-118.293008,Ennis House,"This weird abode has inspired everything from the ""House on Haunted Hill"" to a robot hunter's pad."
https://www.atlasobscura.com/places/the-freakybuttrue-peculiarium-portland-oregon,45.535496,-122.697435,The Freakybuttrue Peculiarium,"An emporium for the weird, creepy, rare, and just plain gross."
https://www.atlasobscura.com/places/crater-lake,42.933117,-122.195641,Crater Lake,"The deepest lake in the United States, and once the site of epic destruction that lives on in legends."
https://www.atlasobscura.com/places/japanese-tea-garden,37.770192,-122.470173,Japanese Tea Garden,Relics of the 1894 Midwinter Exposition continue to delight visitors today.
https://www.atlasobscura.com/places/international-spy-museum,38.883873,-77.025459,,
https://www.atlasobscura.com/places/the-exorcist-stairs-washington-dc,38.905481,-77.07018,,
https://www.atlasobscura.com/places/san-francisco-conservatory-flowers,37.772614,-122.460265,,
https://www.atlasobscura.com/places/momath-the-museum-of-mathematics,40.743214,-73.987389,,
https://www.atlasobscura.com/places/montezuma-castle-national-monument,34.611602,-111.835103,,
https://www.atlasobscura.com/places/new-york-transit-museum,40.690505,-73.989988,,
https://www.atlasobscura.com/places/mansion-o-street,38.908397,-77.045749,,
https://www.atlasobscura.com/places/preserved-remnants-of-17th-century-new-york,40.703751,-74.010758,,
https://www.atlasobscura.com/places/the-nutshell-studies-of-unexplained-death-baltimore-maryland,39.289109,-76.632638,Nutshell Studies of Unexplained Death,Eighteen miniature death-scene dioramas.
https://www.atlasobscura.com/places/centralia,40.804244,-76.340884,Centralia,A toxic ghost town sitting atop a massive coal fire.
https://www.atlasobscura.com/places/national-capitol-columns,38.910399,-76.967557,National Capitol Columns,The United States Capitol's former columns still stand.
https://www.atlasobscura.com/places/toms-restaurant,40.805478,-73.965224,Tom's Restaurant,"The ""Seinfeld"" diner."
https://www.atlasobscura.com/places/mosaic-tile-house,34.000021,-118.456818,Mosaic Tile House,Rainbow-hued local gem in Venice.
https://www.atlasobscura.com/places/brooklyn-botanic-garden,40.6687,-73.9647,Brooklyn Botanic Garden,Sniff the Titan Arum's rotting flesh.
https://www.atlasobscura.com/places/the-grotto-portland-oregon,45.553264,-122.573579,The Grotto,A beautiful 62-acre Catholic shrine and botanical garden.
https://www.atlasobscura.com/places/casa-bonita-lakewood-colorado,39.741946,-105.070906,Casa Bonita,"At this Denver landmark, the meals are compulsory, the sopapillas are complimentary, and the insanity is everywhere."
https://www.atlasobscura.com/places/good-vibrations-antique-vibrator-museum,37.791912,-122.420674,,
https://www.atlasobscura.com/places/manatee-springs,29.496884,-82.966825,,
https://www.atlasobscura.com/places/isabella-stewart-gardner-museum,42.338227,-71.098913,,
https://www.atlasobscura.com/places/no-vacancy,34.10237,-118.332183,,
https://www.atlasobscura.com/places/institute-illegal-images,37.758877,-122.418471,,
https://www.atlasobscura.com/places/american-sign-museum,39.14347,-84.539942,,
https://www.atlasobscura.com/places/the-warrens-occult-museum-monroe-connecticut,41.31602,-73.259343,,
https://www.atlasobscura.com/places/narrows,37.286692,-112.947679,,
https://www.atlasobscura.com/places/pier-54-titanics-destination,40.7414,-74.009901,Pier 54: The Titanic's Arrival Destination,A dilapidated dock tells the story of Titanic's missed arrival.
https://www.atlasobscura.com/places/sears-tower-glass-platform,41.8789,-87.636287,Willis Tower Glass Platform,"Four glass boxes hover over 1,000 feet in the air to give visitors an unparalleled view of Chicago."
https://www.atlasobscura.com/places/devils-tower,44.590375,-104.714684,Devils Tower,The first declared National Monument in the United States.
https://www.atlasobscura.com/places/tiki-ti,34.097488,-118.285774,Tiki-Ti,"Established in the '60s, a family-owned tropical drink bar founded by Ray Buhen, bartender to the stars."
https://www.atlasobscura.com/places/sonorous-stones-ringing-rocks-park,40.562473,-75.134251,The Sonorous Stones of Ringing Rocks Park,Mysterious rocks that ring musically when struck.
https://www.atlasobscura.com/places/wagner-free-institute,39.980861,-75.162417,Wagner Free Institute,A rare view of a preserved Victorian science museum.
https://www.atlasobscura.com/places/shit-fountain,41.899721,-87.674424,Shit Fountain,A giant bronze coil of feces is both a tribute to doggie defecation and a reminder to pick it up.
https://www.atlasobscura.com/places/dupont-underground,38.910246,-77.042747,The Dupont Underground,Long-abandoned trolley tunnels just a mile away from the White House are turning into an art space.
https://www.atlasobscura.com/places/lake-shawnee-amusement-park,37.405477,-81.143817,,
https://www.atlasobscura.com/places/cryptozoology-paranomal-museum,36.433258,-77.916317,,
https://www.atlasobscura.com/places/bisti-badlands,36.304454,-108.118681,,
https://www.atlasobscura.com/places/linger-eatuaries,39.759456,-105.011358,,
https://www.atlasobscura.com/places/cathedral-junk-austin-texas,30.218617,-97.771443,,
https://www.atlasobscura.com/places/philosophical-research-society,34.113612,-118.277448,,
https://www.atlasobscura.com/places/pinball-hall-of-fame-2,36.084652,-115.171546,,
https://www.atlasobscura.com/places/mystery-castle,33.356791,-112.061915,,
https://www.atlasobscura.com/places/glass-beach,39.453029,-123.813643,Glass Beach,A trash dump made beautiful by nature's power.
https://www.atlasobscura.com/places/sunshine-laundromat,40.729329,-73.953573,Sunshine Laundromat,One of New York's best collections of pinball is hidden in a secret bar in the back of this laundromat.
https://www.atlasobscura.com/places/la-brea-tar-pits-dragonfly-fossils,34.063788,-118.355434,La Brea Tar Pits Dragonfly Fossils,These delicate buggers are some of the rarest fossils that have bubbled up from the Tar Pits.
https://www.atlasobscura.com/places/crystal-cave,41.646609,-82.826722,Crystal Cave,Take a drunken tour inside the world's largest known geode.
https://www.atlasobscura.com/places/seattle-meowtropolitan-cat-cafe,47.661224,-122.342916,Seattle Meowtropolitan Cat Café,Make your reservation to have coffee with some kitties.
https://www.atlasobscura.com/places/a-sound-garden,47.685537,-122.249921,'A Sound Garden',A huge musical sculpture and other art installations on the National Oceanic and Atmospheric Administration grounds.
https://www.atlasobscura.com/places/grand-central-terminal-whispering-gallery,40.752726,-73.977229,Grand Central Terminal Whispering Gallery,Whisper secrets in a busy station only to be heard on the other side of this acoustic arch.
https://www.atlasobscura.com/places/desert-reef-hot-springs,38.368596,-105.049001,Desert Reef Hot Springs,This naturally-sourced hot spring is now home to a clothing-optional resort.
https://www.atlasobscura.com/places/winfield-street-slides,37.743445,-122.417999,,
https://www.atlasobscura.com/places/canyons-of-the-ancients,37.476311,-108.54589,,
https://www.atlasobscura.com/places/cathedral-our-lady-angels,34.05765,-118.244944,,
https://www.atlasobscura.com/places/salvador-dali-museum,27.765971,-82.631391,,
https://www.atlasobscura.com/places/bok-tower-gardens,27.915721,-81.566009,,
https://www.atlasobscura.com/places/nonnas-of-the-world,40.642054,-74.077347,,
https://www.atlasobscura.com/places/morning-glory-pool,44.475047,-110.843645,,
https://www.atlasobscura.com/places/greenacre-park,40.756144,-73.969327,,
https://www.atlasobscura.com/places/museum-neon-art,34.143754,-118.25466,Museum of Neon Art,A one-of-a-kind collection of a unique medium.
https://www.atlasobscura.com/places/buckland-gallery-of-witchcraft-magick,41.43805,-81.699824,Buckland Museum of Witchcraft and Magick,A collection of witchcraft artifacts and occult paraphernalia started by the leader of the Long Island Coven.
https://www.atlasobscura.com/places/muriels-ghost-at-jackson-square,29.958426,-90.063102,Séance Room at Muriel's Jackson Square,The restaurant keeps a hidden séance room on the second floor and reserves a table for the spirit of the former owner each night.
https://www.atlasobscura.com/places/the-violet-hour-chicago-illinois,41.908901,-87.677415,The Violet Hour,A speakeasy takes on Chicago's drinking culture.
https://www.atlasobscura.com/places/the-tonga-room-san-francisco-california,37.792496,-122.410035,The Tonga Room,Tiki luxury on Nob Hill.
https://www.atlasobscura.com/places/grotto-at-grand-canyon-caverns,35.517976,-113.219175,Caverns Grotto,"In a 345-million-year-old cave that's 200 feet underground, dinner awaits."
https://www.atlasobscura.com/places/pinks-hot-dogs,34.084031,-118.344366,Pink's Hot Dogs,"World-famous, Pink's still manages to keep its prized cult fetish status."
https://www.atlasobscura.com/places/uncommon-objects,30.229086,-97.783036,Uncommon Objects,"One part antique store, one part curiosities hodge-podge."
https://www.atlasobscura.com/places/roosevelt-island-tramway,40.757303,-73.954103,,
https://www.atlasobscura.com/places/mescaline-grove,37.771364,-122.461429,,
https://www.atlasobscura.com/places/patent-pending,40.745314,-73.990226,,
https://www.atlasobscura.com/places/myopic-books,41.909914,-87.676873,,
https://www.atlasobscura.com/places/market-street-catacombs,39.768581,-86.153444,,
https://www.atlasobscura.com/places/carlsbad-caverns,32.175278,-104.4438,,
https://www.atlasobscura.com/places/garden-of-fragrance,37.768111,-122.468483,,
https://www.atlasobscura.com/places/unclaimed-baggage-center,34.673177,-86.04459,,
https://www.atlasobscura.com/places/mammoth-cave,37.213598,-86.154827,Mammoth Cave,The world's longest known cave system.
https://www.atlasobscura.com/places/garden-of-the-gods,38.878398,-104.869793,Garden of the Gods,Strange red rock formations that have been attributed to a higher power for hundreds of years.
https://www.atlasobscura.com/places/the-tree-of-life-2-new-orleans-louisiana,29.921028,-90.129354,The Tree of Life,"This knobby, drooping New Orleans oak is a favorite place both for climbing and for meeting giraffes."
https://www.atlasobscura.com/places/proxy-falls,44.161807,-121.927815,Proxy Falls,This frequently-photographed waterfall takes only a short hike to visit.
https://www.atlasobscura.com/places/national-bonsai-museum,38.912019,-76.968713,National Bonsai Museum,One of the dwarven trees dates back to 1625 and survived the Hiroshima bombing.
https://www.atlasobscura.com/places/the-haserot-angel-cleveland-ohio,41.513022,-81.590375,The Haserot Angel,The angel of death appears to weep black tears at this grave marker.
https://www.atlasobscura.com/places/international-museum-surgical-science,41.910112,-87.626763,International Museum of Surgical Science,A monument to the art of slicing people open.
https://www.atlasobscura.com/places/george-peabody-library,39.297203,-76.615017,George Peabody Library,"It's not hard to see why the historic Peabody Conservatory of Music's library has been described as a ""cathedral of books."""
https://www.atlasobscura.com/places/alice-in-wonderland-statue,40.775051,-73.96654,,
https://www.atlasobscura.com/places/sunny-jim-cave-store,32.849183,-117.270255,,
https://www.atlasobscura.com/places/linda-vista-hospital,34.038164,-118.217227,,
https://www.atlasobscura.com/places/forbidden-caverns,35.904199,-83.346804,,
https://www.atlasobscura.com/places/cathedral-park,45.588619,-122.758037,,
https://www.atlasobscura.com/places/meteor-crater,35.028072,-111.023197,,
https://www.atlasobscura.com/places/homestead-crater,40.523889,-111.485,,
https://www.atlasobscura.com/places/the-natural-bridge-natural-bridge-virginia,37.6282,-79.544653,,
https://www.atlasobscura.com/places/kubota-gardens,47.512832,-122.265026,Kubota Garden,This semi-secret garden in south Seattle emulates a traditional Japanese garden using the plants of the Pacific Northwest.
https://www.atlasobscura.com/places/junkmans-daughter,33.767029,-84.349068,Junkman's Daughter,"This massive store is home to an eccentric collection of vintage, retro, and peculiar goods."
https://www.atlasobscura.com/places/trinity-churchyard,40.708277,-74.012757,Trinity Churchyard,"This cemetery has graves dating back to the 17th century, including the city's oldest carved tombstone and an ominous cryptogram."
https://www.atlasobscura.com/places/fallingwater,39.906008,-79.466349,Fallingwater,Frank Lloyd Wright's most iconic home dangles over a Pennsylvania waterfall.
https://www.atlasobscura.com/places/the-evil-dead-cabin-morristown-tennessee,36.222633,-83.376586,The 'Evil Dead' Cabin,"All that's left of the quintessential ""cabin in the woods."""
https://www.atlasobscura.com/places/trundle-manor,40.422796,-79.880504,Trundle Manor: House of Oddities,House of vintage taxidermy and Steampunk sculptures in a quiet Pittsburgh neighborhood.
https://www.atlasobscura.com/places/neptune-memorial-reef,25.6902,-80.09075,Neptune Memorial Reef,An underwater city for the dead.
https://www.atlasobscura.com/places/blind-whino,38.880441,-77.011966,Culture House,A historic neighborhood church is reborn as a psychedelic arts collective.
https://www.atlasobscura.com/places/seattle-pinball-museum,47.598108,-122.325011,,
https://www.atlasobscura.com/places/new-orleans-pharmacy-museum,29.955924,-90.065139,,
https://www.atlasobscura.com/places/camera-obscura-holograph,37.778296,-122.514217,,
https://www.atlasobscura.com/places/lafayette-cemetery-new-orleans,29.928633,-90.084279,,
https://www.atlasobscura.com/places/blue-ghost-fireflies,35.197023,-82.594307,,
https://www.atlasobscura.com/places/fort-worth-water-gardens,32.747749,-97.32663,,
https://www.atlasobscura.com/places/neversink-pit,34.804149,-86.007029,,
https://www.atlasobscura.com/places/court-of-mysteries,36.954939,-122.045296,,
https://www.atlasobscura.com/places/urban-light,34.062763,-118.359419,Urban Light,Scores of vintage street lamps shine along L.A.’s Miracle Mile.
https://www.atlasobscura.com/places/bishop-castle,38.061034,-105.094228,Bishop Castle,"The largest self-built castle in the U.S., six decades in the making."
https://www.atlasobscura.com/places/treehouse-point,47.538133,-121.910375,Treehouse Point,A whimsical village of unique treehouses resides in a Washington forest.
https://www.atlasobscura.com/places/campbell-apartment,40.752562,-73.977818,Campbell Apartment,A very classy 1920s-era bar right in Grand Central Station.
https://www.atlasobscura.com/places/bagby-hot-springs,44.9354,-122.173659,Bagby Hot Springs,Hollowed out cedar log tubs set in an ancient towering forest.
https://www.atlasobscura.com/places/the-real-winnie-the-pooh-and-pals-new-york-new-york,40.753223,-73.982259,The Real Winnie the Pooh & Pals,The original toys that inspired the beloved children's stories are on display at the New York Public Library.
https://www.atlasobscura.com/places/ruby-falls-tennessee,35.019099,-85.339397,Ruby Falls,The mysterious wonder of an underground waterfall is illuminated by multicolored lights.
https://www.atlasobscura.com/places/kaaterskill-falls,42.192384,-74.069902,Kaaterskill Falls and the Bayard of Dogs,"A stunning, two-tiered waterfall made famous by poets, artists and the legend of a ghost dog."
https://www.atlasobscura.com/places/the-ape-caves-skamania-washington,46.109656,-122.211369,,
https://www.atlasobscura.com/places/octopus-tree-of-oregon,45.4863,-123.978,,
https://www.atlasobscura.com/places/cdc-museum,33.798989,-84.329715,,
https://www.atlasobscura.com/places/devils-postpile-national-monument,37.650075,-119.073992,,
https://www.atlasobscura.com/places/psychiatry-industry-death-museum,34.097974,-118.333882,,
https://www.atlasobscura.com/places/c-o-bigelow-apothecary,40.733872,-73.999178,,
https://www.atlasobscura.com/places/merz-apothecary,41.966989,-87.687915,,
