item,itemLabel_x,lat_x,lon_x,location_x,distance_x,sitelinks_x,itemLabel_y,lat_y,lon_y,location_y,distance_y,sitelinks_y,_merge
http://www.wikidata.org/entity/Q270,,,,,,,Warschau,52.23,21.011111111111,Point(21.011111111 52.23),1.802,273,right_only
http://www.wikidata.org/entity/Q54169,,,,,,,Woiwodschaft Masowien,52.333333333333,21.1,Point(21.1 52.333333333),11.196,107,right_only
http://www.wikidata.org/entity/Q211274,,,,,,,Volksrepublik Polen,52.21666667,21.03333333,Point(21.03333333 52.21666667),3.007,65,right_only
http://www.wikidata.org/entity/Q207272,,,,,,,Zweite Polnische Republik,52.23,21.011111111111,Point(21.011111111 52.23),1.802,63,right_only
http://www.wikidata.org/entity/Q152115,,,,,,,Herzogtum Warschau,52.233333,21.016667,Point(21.016667 52.233333),1.286,60,right_only
http://www.wikidata.org/entity/Q221457,,,,,,,Kongresspolen,52.233333,21.016667,Point(21.016667 52.233333),1.286,57,right_only
http://www.wikidata.org/entity/Q154607,,,,,,,Warschauer Ghetto,52.246111111111,20.995833333333,Point(20.995833333 52.246111111),2.086,54,right_only
http://www.wikidata.org/entity/Q1139084,,,,,,,Warschauer Altstadt,52.2498,21.0122,Point(21.0122 52.2498),1.189,39,right_only
http://www.wikidata.org/entity/Q248999,,,,,,,Ząbki,52.292777777778,21.116111111111,Point(21.116111111 52.292777777),8.228,33,right_only
http://www.wikidata.org/entity/Q778313,,,,,,,Piastów,52.18435,20.83952,Point(20.83952 52.18435),14.306,33,right_only
http://www.wikidata.org/entity/Q1615800,,,,,,,Marki,52.333333333333,21.1,Point(21.1 52.333333333),11.196,32,right_only
http://www.wikidata.org/entity/Q199017,,,,,,,Zielonka,52.300833333333,21.158611111111,Point(21.158611111 52.300833333),11.05,31,right_only
http://www.wikidata.org/entity/Q1637419,,,,,,,Praga,52.251980555556,21.050830555556,Point(21.050830555 52.251980555),1.936,29,right_only
http://www.wikidata.org/entity/Q7095,,,,,,,Śródmieście,52.233333333333,21.016666666667,Point(21.016666666 52.233333333),1.286,28,right_only
http://www.wikidata.org/entity/Q570767,,,,,,,Ober Ost,52.233055555556,21.02,Point(21.02 52.233055555),1.218,27,right_only
http://www.wikidata.org/entity/Q1906235,,,,,,,Łomianki,52.333333333333,20.883333333333,Point(20.883333333 52.333333333),13.944,26,right_only
http://www.wikidata.org/entity/Q1020136,,,,,,,Wola,52.233333333333,20.957222222222,Point(20.957222222 52.233333333),4.822,24,right_only
http://www.wikidata.org/entity/Q7101,,,,,,,Bemowo,52.238611111111,20.913333333333,Point(20.913333333 52.238611111),7.698,23,right_only
http://www.wikidata.org/entity/Q254994,,,,,,,Erzbistum Warschau,52.248833333333,21.013583333333,Point(21.013583333 52.248833333),1.05,23,right_only
http://www.wikidata.org/entity/Q1017790,,,,,,,Ochota,52.216388888889,20.981111111111,Point(20.981111111 52.216388888),4.288,22,right_only
http://www.wikidata.org/entity/Q1634585,,,,,,,Mokotów,52.2,21.016944444444,Point(21.016944444 52.2),4.86,22,right_only
http://www.wikidata.org/entity/Q127098,,,,,,,Żoliborz,52.266666666667,20.983333333333,Point(20.983333333 52.266666666),3.9,21,right_only
http://www.wikidata.org/entity/Q1247360,,,,,,,Targówek,52.282222222222,21.064166666667,Point(21.064166666 52.282222222),5.038,21,right_only
http://www.wikidata.org/entity/Q857304,,,,,,,Bielany,52.288888888889,20.933888888889,Point(20.933888888 52.288888888),8.065,21,right_only
http://www.wikidata.org/entity/Q168886,,,,,,,Powązki-Friedhof,52.251944444444,20.972777777778,Point(20.972777777 52.251944444),3.756,21,right_only
http://www.wikidata.org/entity/Q7089,,,,,,,Wawer,52.213888888889,21.158055555556,Point(21.158055555 52.213888888),9.563,20,right_only
http://www.wikidata.org/entity/Q1280107,,,,,,,Ursynów,52.141666666667,21.033333333333,Point(21.033333333 52.141666666),11.316,20,right_only
http://www.wikidata.org/entity/Q1887504,,,,,,,Wilanów,52.166666666667,21.083333333333,Point(21.083333333 52.166666666),9.375,20,right_only
http://www.wikidata.org/entity/Q855983,,,,,,,Białołęka,52.32127,20.97204,Point(20.97204 52.32127),9.413,19,right_only
http://www.wikidata.org/entity/Q2326873,,,,,,,Gmina Stare Babice,52.25,20.85,Point(20.85 52.25),12.014,19,right_only
http://www.wikidata.org/entity/Q1671187,,,,,,,Włochy,52.2,20.916666666667,Point(20.916666666 52.2),8.878,19,right_only
http://www.wikidata.org/entity/Q1494474,,,,,,,Rembertów,52.258888888889,21.161111111111,Point(21.161111111 52.258888888),9.349,19,right_only
http://www.wikidata.org/entity/Q1851596,,,,,,,Ursus,52.19517,20.88419,Point(20.88419 52.19517),11.054,19,right_only
http://www.wikidata.org/entity/Q2520566,,,,,,,Warsaw Governorate,52.2333,21.0167,Point(21.0167 52.2333),1.289,19,right_only
http://www.wikidata.org/entity/Q1801709,,,,,,,Wesoła,52.245856,21.223696,Point(21.223696 52.245856),13.453,18,right_only
http://www.wikidata.org/entity/Q2107492,,,,,,,Praga-Południe,52.241727777778,21.083866666667,Point(21.083866666 52.241727777),3.935,18,right_only
http://www.wikidata.org/entity/Q769291,,,,,,,Gmina Raszyn,52.158888888889,20.926388888889,Point(20.926388888 52.158888888),11.593,18,right_only
http://www.wikidata.org/entity/Q2107497,,,,,,,Praga-Północ,52.263333333333,21.028333333333,Point(21.028333333 52.263333333),2.227,18,right_only
