,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
169,http://www.wikidata.org/entity/Q7894794,,"https://en.wikipedia.org/wiki/University_Institute_of_Engineering_and_Technology,_Panjab_University",Point(76.7681 30.7579),2.937,30.7579,76.7681,1,http://www.wikidata.org/entity/Q1663017,"University Institute of Engineering and Technology, Panjab University",engineering college,D,blue
170,http://www.wikidata.org/entity/Q17071008,,https://en.wikipedia.org/wiki/Maharaja_Ranjit_Singh_Armed_Forces_Preparatory_Institute,Point(76.700555555 30.694722222),8.706,30.694722222222,76.700555555556,1,http://www.wikidata.org/entity/Q917182,Maharaja Ranjit Singh Armed Forces Preparatory Institute,military academy,D,blue
171,http://www.wikidata.org/entity/Q18109792,,https://en.wikipedia.org/wiki/Army_Institute_of_Law,Point(76.7207 30.6865),7.686,30.6865,76.7207,1,http://www.wikidata.org/entity/Q4671277,Army Institute of Law,academic institution,D,blue
172,http://www.wikidata.org/entity/Q18356541,,"https://en.wikipedia.org/wiki/Sector_70,_Mohali",Point(76.7154 30.6977),7.321,30.6977,76.7154,1,http://www.wikidata.org/entity/Q15642541,"Sector 70, Mohali",human-geographic territorial entity,D,blue
173,http://www.wikidata.org/entity/Q18618935,,https://en.wikipedia.org/wiki/Pinjore_Aerodrome,Point(76.89166667 30.82111111),14.471,30.82111111,76.89166667,1,http://www.wikidata.org/entity/Q1248784,Kalka Airport,airport,D,blue
175,http://www.wikidata.org/entity/Q19895242,,"https://en.wikipedia.org/wiki/Phase_9,_Mohali",Point(76.737 30.6928),6.09,30.6928,76.737,1,http://www.wikidata.org/entity/Q15642541,"Phase 9, Mohali",human-geographic territorial entity,D,blue
176,http://www.wikidata.org/entity/Q19896258,,"https://en.wikipedia.org/wiki/Sector_56,_Mohali",Point(76.7114 30.7344),6.53,30.7344,76.7114,1,http://www.wikidata.org/entity/Q15642541,"Sector 56, Mohali",human-geographic territorial entity,D,blue
177,http://www.wikidata.org/entity/Q19896263,,"https://en.wikipedia.org/wiki/Sector_62,_Mohali",Point(76.7311 30.6966),6.195,30.6966,76.7311,1,http://www.wikidata.org/entity/Q15642541,"Sector 62, Mohali",human-geographic territorial entity,D,blue
178,http://www.wikidata.org/entity/Q19896261,,"https://en.wikipedia.org/wiki/Sector_61,_Mohali",Point(76.729 30.7015),6.01,30.7015,76.729,1,http://www.wikidata.org/entity/Q15642541,"Sector 61, Mohali",human-geographic territorial entity,D,blue
179,http://www.wikidata.org/entity/Q19896270,,"https://en.wikipedia.org/wiki/Sector_71,_Mohali",Point(76.7095 30.704),7.467,30.704,76.7095,1,http://www.wikidata.org/entity/Q15642541,"Sector 71, Mohali",human-geographic territorial entity,D,blue
180,http://www.wikidata.org/entity/Q20457986,,,Point(76.89175 30.821331666),14.493,30.821331666667,76.89175,1,http://www.wikidata.org/entity/Q62447,Q20457986,aerodrome,D,blue
181,http://www.wikidata.org/entity/Q26817672,,,Point(76.8925 30.767222222),11.413,30.767222222222,76.8925,1,http://www.wikidata.org/entity/Q8502,Q26817672,mountain,D,blue
182,http://www.wikidata.org/entity/Q32289471,,,Point(76.753055555 30.731111111),2.561,30.731111111111,76.753055555556,1,http://www.wikidata.org/entity/Q4022,Atawa Choa,river,D,blue
183,http://www.wikidata.org/entity/Q32647829,,,Point(76.719722222 30.641111111),11.76,30.641111111111,76.719722222222,1,http://www.wikidata.org/entity/Q4022,Choa Nadi,river,D,blue
184,http://www.wikidata.org/entity/Q32648156,,,Point(76.72 30.641111111),11.747,30.641111111111,76.72,1,http://www.wikidata.org/entity/Q4022,Choi Nadi,river,D,blue
185,http://www.wikidata.org/entity/Q35335674,,,Point(76.839166666 30.616666666),14.174,30.616666666667,76.839166666667,1,http://www.wikidata.org/entity/Q47521,Sukhna Choa,stream,D,blue
186,http://www.wikidata.org/entity/Q35449025,,,Point(76.829444444 30.746388888),4.966,30.746388888889,76.829444444444,1,http://www.wikidata.org/entity/Q47521,Sukhna Nadi,stream,D,blue
187,http://www.wikidata.org/entity/Q55613469,,https://en.wikipedia.org/wiki/Haryana_Financial_Corporation,Point(76.782702 30.7398339),0.766,30.7398339,76.782702,1,http://www.wikidata.org/entity/Q327333,Haryana Financial Corporation,government agency,D,blue
188,http://www.wikidata.org/entity/Q55613472,,https://en.wikipedia.org/wiki/Haryana_State_Industrial_and_Infrastructure_Development_Corporation,Point(76.853988 30.706103),7.723,30.706103,76.853988,1,http://www.wikidata.org/entity/Q327333,Haryana State Industrial and Infrastructure Development Corporation,government agency,D,blue
189,http://www.wikidata.org/entity/Q60332411,,"https://en.wikipedia.org/wiki/Jawahar_Navodaya_Vidyalaya,_Chandigarh",Point(76.7567 30.7573),3.446,30.7573,76.7567,1,http://www.wikidata.org/entity/Q2723540,"Jawahar Navodaya Vidyalaya, Chandigarh",Jawahar Navodaya Vidyalaya,D,blue
193,http://www.wikidata.org/entity/Q64173912,,"https://en.wikipedia.org/wiki/Government_College_of_Art,_Chandigarh",Point(76.788944444 30.749777777),2.019,30.749777777778,76.788944444444,1,http://www.wikidata.org/entity/Q20897549,"Government College of Arts, Chandigarh",art institution,D,blue
196,http://www.wikidata.org/entity/Q65337156,,,Point(76.799472222 30.730222222),1.922,30.730222222222,76.799472222222,1,http://www.wikidata.org/entity/Q33506,Le Corbusier Centre,museum,D,blue
198,http://www.wikidata.org/entity/Q104847937,,https://en.wikipedia.org/wiki/Plaksha_University,Point(76.72 30.632),12.642,30.632,76.72,1,http://www.wikidata.org/entity/Q902104,Plaksha University,private university,D,blue
199,http://www.wikidata.org/entity/Q107094533,,,Point(76.757285042 30.765966712),4.204,30.765966712672,76.757285042325,1,http://www.wikidata.org/entity/Q23397,Dhanas Lake,lake,D,blue
202,http://www.wikidata.org/entity/Q116451393,,,Point(76.8041 30.75961),3.728,30.75961,76.8041,1,http://www.wikidata.org/entity/Q41176,Tower of Shadows,building,D,blue
