,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,item,articleDE,location,distance,sitelinks,thing,articleEN,to_drop_key
204,https://www.atlasobscura.com/places/gehry-buildings-dusseldorf-harbor,51.216605,6.760193,"
The Gehry Buildings of Dusseldorf Harbor
","
Twisted buildings adorn the banks of the Rhine river.
",atlas_obscura,gold,,,,,,,,,,,,"(51.216605, 6.760193)"
332,https://www.atlasobscura.com/places/c-und-o-vogt-institue-brain-research-collection,51.193819,6.792072,"
C. und O. Vogt Institue of Brain Research Collection
","
A varied collection of brains in alcohol.
",atlas_obscura,gold,,,,,,,,,,,,"(51.193819, 6.792072)"
353,https://www.atlasobscura.com/places/museumsinsel-hombroich,51.147773,6.659504,"
Museumsinsel Hombroich
","
Be it nature, art, or abandoned military architecture this eclectic German ""museum"" has you covered.
",atlas_obscura,gold,,,,,,,,,,,,"(51.147773, 6.659504)"
358,https://www.atlasobscura.com/places/rheinturm,51.217942,6.76168,"
Rheinturm
","
This futuristic German television spire is actually the world's largest digital clock.
",atlas_obscura,gold,,,,,,,,,,,,"(51.217942, 6.76168)"
5,,51.984257,5.9108573,Arnhem,Arnhem,wikivoyage,red,,,Go next_International,"(51.984257, 5.9108573)",,,,,,,,"(51.984257, 5.9108573)"
4,,51.2211097,4.3997081,Antwerp,Antwerp,wikivoyage,red,,,Go next_International,"(51.2211097, 4.3997081)",,,,,,,,"(51.2211097, 4.3997081)"
3,,51.4392648,5.478633,Eindhoven,Eindhoven,wikivoyage,red,,,Go next_International,"(51.4392648, 5.478633)",,,,,,,,"(51.4392648, 5.478633)"
2,,50.8465573,4.351697,Brussels,Brussels,wikivoyage,red,,,Go next_International,"(50.8465573, 4.351697)",,,,,,,,"(50.8465573, 4.351697)"
1,,48.8588897,2.3200410217200766,Paris,Paris,wikivoyage,red,,,Go next_International,"(48.8588897, 2.3200410217200766)",,,,,,,,"(48.8588897, 2.3200410217200766)"
0,,52.3730796,4.8924534,Amsterdam,Amsterdam,wikivoyage,red,,,Go next_International,"(52.3730796, 4.8924534)",,,,,,,,"(52.3730796, 4.8924534)"
6,,51.4523694,7.6347828,Ruhr,"Ruhr (''Ruhrgebiet'') — If you are interested in heavy industry and/or industrial culture this might be a worthwhile trip. It is about 50&nbsp;km north of Düsseldorf. The region, which was the centre of Germany's mining industry (coal and steel) is going through a structural transformation and presents its industrial heritage (not without pride) on the [http://www.metropoleruhr.de/en/home/discovering-experiencing/industrial-heritage-trail.html Industrial Heritage Trail].",wikivoyage,red,,,Go next_Close by,"(51.4523694, 7.6347828)",,,,,,,,"(51.4523694, 7.6347828)"
5,,51.2973261,6.8493503,Ratingen,Ratingen city to the northeast,wikivoyage,red,,,Go next_Close by,"(51.2973261, 6.8493503)",,,,,,,,"(51.2973261, 6.8493503)"
4,,51.5367686,6.3602769,Lower Rhine,"Lower Rhine with the towns of Neuss, Meerbusch and Krefeld",wikivoyage,red,,,Go next_Close by,"(51.5367686, 6.3602769)",,,,,,,,"(51.5367686, 6.3602769)"
3,,50.6739719,7.1930989,Königswinter,Königswinter and Bad Honnef — small towns at the Middle Rhine Valley reachable by train,wikivoyage,red,,,Go next_Close by,"(50.6739719, 7.1930989)",,,,,,,,"(50.6739719, 7.1930989)"
2,,50.735851,7.10066,Bonn,Bonn — the former capital of (West) Germany is due south and easy to reach by train or S-Bahn,wikivoyage,red,,,Go next_Close by,"(50.735851, 7.10066)",,,,,,,,"(50.735851, 7.10066)"
1,,50.8291313,6.9037057,Brühl,"Brühl — almost a suburb of Cologne and contains the Augustusburg Palace which has been placed on the UNESCO World Heritage List. The palace is one of the key works of Balthasar Neuman, and contains one of the finest Rococo interiors in the world, the highlight being the main staircase. Also in the grounds is the magnificent hunting Lodge of Falkenslust. Brühl is easily reached by train. The '''Phantasialand''' theme park is also in Brühl.",wikivoyage,red,,,Go next_Close by,"(50.8291313, 6.9037057)",,,,,,,,"(50.8291313, 6.9037057)"
0,,43.7218277,0.9774958,Cologne,Cologne — the largest city in North Rhine-Westphalia maintaining a legendary rivalry with its close neighbour,wikivoyage,red,,,Go next_Close by,"(43.7218277, 0.9774958)",,,,,,,,"(43.7218277, 0.9774958)"
1,,51.2254018,6.7763137,--,,wikivoyage,red,,,Cope_Religious services,"(51.2254018, 6.7763137)",,,,,,,,"(51.2254018, 6.7763137)"
2,,51.21399,6.75374,"Radisson Blu Media Harbour Hotel, Düsseldorf ","Design-hotel in Düsseldorf Media Harbour, very hip!.",wikivoyage,red,Hammer Straße 23 ,https://www.radissonhotels.com/en-us/hotels/radisson-blu-duesseldorf-media-harbour ,Sleep_Splurge,"(51.21399, 6.75374)",,,,,,,,"(51.21399, 6.75374)"
1,,51.2204,6.77809,Intercontinental Düsseldorf ,"First-class hotel. Awesome atrium, top-restaurants and concierge-service.",wikivoyage,red,Königsallee 59 ,http://www.duesseldorf.intercontinental.com ,Sleep_Splurge,"(51.2204, 6.77809)",,,,,,,,"(51.2204, 6.77809)"
0,,51.22522,6.77779,Breidenbacher Hof ,"Perhaps the most famed luxury boutique hotel in Düsseldorf, in the centre, on the Kö. The 5-star property consists of 92 guest rooms and suites and offers retail shops, a fitness centre, meeting space, the 1806 Restaurant, and a cigar lounge.",wikivoyage,red,"Königsallee 11, D-40212 ",http://www.breidenbacherhofcapella.com/ ,Sleep_Splurge,"(51.22522, 6.77779)",,,,,,,,"(51.22522, 6.77779)"
6,,51.2468,6.76907,Radisson Blu Scandinavia Hotel ,,wikivoyage,red,Karl-Arnold-Platz 5 ,https://www.radissonhotels.com/en-us/hotels/radisson-blu-duesseldorf-scandinavia ,Sleep_Mid-range,"(51.2468, 6.76907)",,,,,,,,"(51.2468, 6.76907)"
5,,51.24849,6.79671,NH Düsseldorf City Nord ," In the centre of the city on the Rhine, near the Oberbilker Market.",wikivoyage,red,"Kölner Straße, 186-188 ",http://www.nh-hotels.com/nh/en/hotels/germany/dusseldorf.html ,Sleep_Mid-range,"(51.24849, 6.79671)",,,,,,,,"(51.24849, 6.79671)"
4,,51.25303,6.78285,Innside Premium Hotel Derendorf ,Hotel in the north of Düsseldorf.,wikivoyage,red,Derendorfer Allee 8 ,http://www.innside.de/_new/innside_premium_hotels/duesseldorf_derendorf/willkommen.de.php4?music,Sleep_Mid-range,"(51.25303, 6.78285)",,,,,,,,"(51.25303, 6.78285)"
3,,51.2193,6.78927,InterCity Hotel Düsseldorf ,"Next to the main station, easy access to all sightseeing spots.",wikivoyage,red,Graf-Adolf-Straße 81-87 ,https://www.hotel-duesseldorf.net/ ,Sleep_Mid-range,"(51.2193, 6.78927)",,,,,,,,"(51.2193, 6.78927)"
2,,51.22016,6.7929,Ibis Düsseldorf Hauptbahnhof ,"A clean hotel with the basic equipment. The hotel is situated in the central railway station which also is the hub for local transportation, therefore the connect to both inside and outside Düsseldorf are excellent.",wikivoyage,red,Konrad-Adenauer-Platz 14 ,https://all.accor.com/hotel/0793/index.en.shtml ,Sleep_Mid-range,"(51.22016, 6.7929)",,,,,,,,"(51.22016, 6.7929)"
1,,51.25086,6.76966,Hilton Düsseldorf ,Renovated traditional hotel in the north of Düsseldorf.,wikivoyage,red,Georg-Glock-Straße 20 ,http://dusseldorf.hilton.com ,Sleep_Mid-range,"(51.25086, 6.76966)",,,,,,,,"(51.25086, 6.76966)"
0,,51.21739,6.78162,Wyndham Garden Düsseldorf City Centre Königsallee ,"The former Four Points lost its branding as the hotel's standards fell below traveller's expectations, but now it is coming back after a slight renovation. Despite the name, the hotel is quite a distance away from the ''Kö'', on a side street south of it.",wikivoyage,red,Luisenstraße 42 ,https://www.wyndhamgardenduesseldorf.com/de ,Sleep_Mid-range,"(51.21739, 6.78162)",,,,,,,,"(51.21739, 6.78162)"
3,,51.21635,6.78229,A&O Düsseldorf ,,wikivoyage,red,Corneliusstraße 9 ,http://www.aohostels.com/de/duesseldorf/duesseldorf-hauptbahnhof/ ,Sleep_Budget,"(51.21635, 6.78229)",,,,,,,,"(51.21635, 6.78229)"
2,,51.21407,6.77956,Backpackers Düsseldorf ,,wikivoyage,red,Fürstenwall 180 ,http://www.backpackers-duesseldorf.de/ ,Sleep_Budget,"(51.21407, 6.77956)",,,,,,,,"(51.21407, 6.77956)"
1,,51.21924,6.78421,Rheingoldhotel Düsseldorf City ,Family-run hotel in the city centre between the Central Train Station and the Oldtown.,wikivoyage,red,Oststraße 166 , ,Sleep_Budget,"(51.21924, 6.78421)",,,,,,,,"(51.21924, 6.78421)"
0,,51.22669,6.7581,Jugendherberge Düsseldorf (Backpackers) ,,wikivoyage,red,Düsseldorfer Straße 1 ,http://www.duesseldorf.jugendherberge.de ,Sleep_Budget,"(51.22669, 6.7581)",,,,,,,,"(51.22669, 6.7581)"
4,,51.23713775,6.793276751511419,Classic Western Steakhouse ,"American steakhouse with very good steak and seafood options, and prices to match.",wikivoyage,red,Tußmannstraße 12,http://steakhouse-duesseldorf.de/ ,Eat_Splurge,"(51.23713775, 6.793276751511419)",,,,,,,,"(51.23713775, 6.793276751511419)"
3,,0.0,0.0,Meerbar ," Fish restaurant in the Gehry-buildings of the Media harbour; very stylish, very good cooking.",wikivoyage,red,"Neuer Zollhof 1, im Medienhafen ",http://www.meerbar.de ,Eat_Splurge,"(0, 0)",,,,,,,,"(0.0, 0.0)"
2,,51.2192775,6.7856817,Sila Thai ,Excellent original Thai cuisine in the city centre. Reservations essential.,wikivoyage,red,Bahnstr. 76 ,http://www.silathai.com/en/ ,Eat_Splurge,"(51.2192775, 6.7856817)",,,,,,,,"(51.2192775, 6.7856817)"
1,,51.2226989,6.77268219994691,Nagaya ," Japanese, nouvelle cuisine.",wikivoyage,red,Bilker Straße 3 ,http://www.nagaya.de/ ,Eat_Splurge,"(51.2226989, 6.77268219994691)",,,,,,,,"(51.2226989, 6.77268219994691)"
2,,51.2265936,6.7752858,Casita Mexicana ,"Small chain with very high quality. Eat-in or take-away, but consider reserving a table if eating in, especially in Bilk location.",wikivoyage,red,"Hunsrückenstraße 15 (Altstadt), Bilker Alle 128 (Bilk), and Beuthstraße 1 (Pempelfort) ",http://casitamexicana.de/ ,Eat_Mid-range_International cuisine,"(51.2265936, 6.7752858)",,,,,,,,"(51.2265936, 6.7752858)"
1,,51.2255597,6.77337,El Amigo Primo Lopez ,An Argentinian beef restaurant situated in the old town.,wikivoyage,red,Schneider-Wibbel-Gasse 9 ,http://www.primolopez.de/ ,Eat_Mid-range_International cuisine,"(51.2255597, 6.77337)",,,,,,,,"(51.2255597, 6.77337)"
0,,51.2144445,6.7545221,Mongos ,"All-you-can-eat Mongolian cuisine, with an enormous choice of unusual foods (i.e. zebra, crocodiles, emu, barracuda, etc.)",wikivoyage,red,"Zollhof 10, Media Harbour ",http://www.mongos.de ,Eat_Mid-range_International cuisine,"(51.2144445, 6.7545221)",,,,,,,,"(51.2144445, 6.7545221)"
2,,51.2295311,6.7752241,Brauerei im Füchschen ,A traditional brewery restaurant in the old town serving their own beer. Here you can try the local specialty Sauerbraten; vinegar marinated beef with red cabbage.,wikivoyage,red,Ratingerstraße 28 ,http://www.fuechschen.de/ ,Eat_Mid-range_German cuisine,"(51.2295311, 6.7752241)",,,,,,,,"(51.2295311, 6.7752241)"
1,,51.2237798,6.7721027,Zum Schiffchen ,"Rustic bourgeois brewery restaurant, delicious beer and attentive service. Excellent cream of Pfifferlinge (chanterelle) soup in season. Established in 1628, this restaurant was patronised by local poet Heinrich Heine and has served a bevy of celebrities, including Napoleon.",wikivoyage,red,Hafenstraße 5 ,http://www.brauerei-zum-schiffchen.de/en/ ,Eat_Mid-range_German cuisine,"(51.2237798, 6.7721027)",,,,,,,,"(51.2237798, 6.7721027)"
0,,51.2338023,6.7925981,Pizzeria Trattoria Romantica ,Palermo pizza in a cosy dining area or to take away. Excellent value for money.,wikivoyage,red,Düsselthaerstr. 48 ,http://romanticaduesseldorf.de/ ,Eat_Budget_Near the local train station Zoo,"(51.2338023, 6.7925981)",,,,,,,,"(51.2338023, 6.7925981)"
0,,51.2253695,6.8116398," Adriana Ristorante - Pizza, Pasta, Antipasto "," Italian cuisine, budget prices and superb quality. Reservation recommended.",wikivoyage,red,Dorotheenstr. 104 , ,Eat_Budget_Flingern,"(51.2253695, 6.8116398)",,,,,,,,"(51.2253695, 6.8116398)"
1,,51.2146405,6.7577854, Pizzeria Am Medienhafen ,The pizzas taste very good. The ambience is modern with two super nice owners.,wikivoyage,red,Wupperstraße 14 , ,Eat_Budget_Media Harbour,"(51.2146405, 6.7577854)",,,,,,,,"(51.2146405, 6.7577854)"
0,,51.2141587,6.7571272,Ess-Klasse ," Fresh home made food Fast, delicious and varied lunch menu. The stews and soups are recommended. The atmosphere is appropriate",wikivoyage,red,Erftstraße 12 , ,Eat_Budget_Media Harbour,"(51.2141587, 6.7571272)",,,,,,,,"(51.2141587, 6.7571272)"
5,,51.220479,6.7907246,Vegan Pizza Döner Restaurant ,Great vegan food and cozy atmosphere. The so-called Seitan Döner is super delicious.,wikivoyage,red,Bismarckstraße 104 , ,Eat_Budget_City centre,"(51.220479, 6.7907246)",,,,,,,,"(51.220479, 6.7907246)"
4,,51.2265157,6.7755225,Pizzeria Lupo ,It's there for 40 years. Pizza super tasty. Original Italy dishes.,wikivoyage,red,Bolkerstraße 52 , ,Eat_Budget_City centre,"(51.2265157, 6.7755225)",,,,,,,,"(51.2265157, 6.7755225)"
3,,51.2265581,6.7736594,Ludwigs Bier&Brot ,"One of the gastronomic establishments where every guest is warmly welcomed. The sexual orientation, culture, religious affiliation, are not assessed here, only you as an independent individual. The audience is open to the world and ranges from TV chef, top star from the sports and music scene to Düsseldorf's veteran and trade fair guest. The drinks and the food are very good and have reasonable prices.",wikivoyage,red,Mertensgasse 11 , ,Eat_Budget_City centre,"(51.2265581, 6.7736594)",,,,,,,,"(51.2265581, 6.7736594)"
2,,51.2260622,6.7729258, Schweine Janes Altstadt ,A great place to taste the flavors of a good simple cuisine that evokes the stories of the old city. Small restaurant with freshly roasting pork knuckles near the window that is popular. Delicious and satisfying. Portions are big.,wikivoyage,red,Bolkerstraße 13 , ,Eat_Budget_City centre,"(51.2260622, 6.7729258)",,,,,,,,"(51.2260622, 6.7729258)"
1,,51.2267076,6.7728195,Ham Ham bei Josef ,"Real hearty German home cooking. Very good and varied food, and magnificent attention. They have the best pork rolls in Düsseldorf and they are made like 40 years ago.",wikivoyage,red, Kurze Str. 5, ,Eat_Budget_City centre,"(51.2267076, 6.7728195)",,,,,,,,"(51.2267076, 6.7728195)"
0,,51.2213633,6.7899253,Zum Kochlöffel ,Very good German home cooking. You can go here for sandwiches to meals. Individual daily specials are being presented every day. Tasty and freshly prepared with passion. ,wikivoyage,red,Friedrich-Ebert-Str. 41 , ,Eat_Budget_City centre,"(51.2213633, 6.7899253)",,,,,,,,"(51.2213633, 6.7899253)"
1,,51.22408,6.77237,Löwensenf ,"One of the most famous producers of German Mustard is situated in Düsseldorf. Moveover, a special mustard store, with a mustard tasting area, is based in the Düsseldorf-Altstadt (some fancy mustards are available at this place: for example ""Altbier Mustard"", ""Chilli Mustard"", ""Strawberry Mustard"", etc.)",wikivoyage,red,Berger Straße 29 ,http://www.loewensenf.de/ ,Buy_Local specialties,"(51.22408, 6.77237)",,,,,,,,"(51.22408, 6.77237)"
1,,51.21887,353.15058,Getränkemarkt El Charip ,"You can find all the special types of beer and spirits from Düsseldorf at this store, which is one of the oldest owner-managed beverage markets in Düsseldorf.",wikivoyage,red,Gubener Straße 59 ,https://charip.de/ ,Buy,"(51.21887, 353.15058)",,,,,,,,"(51.21887, 353.15058)"
0,,51.22291,6.7751,Apropos ,,wikivoyage,red,Benrather Straße 15 ,http://apropos-store.com ,Buy,"(51.22291, 6.7751)",,,,,,,,"(51.22291, 6.7751)"
0,,51.22524,6.77602,Carsch-Haus ,,wikivoyage,red,Heinrich-Heine-Platz 1 ,http://Saks off 5th ,Buy,"(51.22524, 6.77602)",,,,,,,,"(51.22524, 6.77602)"
2,,51.2252,6.78182,Schadow-Arkaden ,The three-floor shopping centre at the western end of Schadowstraße features a mix of different retailers and an occasional antique marketplace within its premises.,wikivoyage,red,Schadowstraße 11 ,http://www.schadow-arkaden.com/ ,Buy,"(51.2252, 6.78182)",,,,,,,,"(51.2252, 6.78182)"
1,,51.22749,6.78818,Galeria Kaufhof ,"Karstadt's main competitor, Galeria Kaufhof, has a huge department store right across the street. ",wikivoyage,red, , ,Buy,"(51.22749, 6.78818)",,,,,,,,"(51.22749, 6.78818)"
0,,51.22695,6.78717,Karstadt ,The quintessential German department store selling anything from apparel to foodstuffs,wikivoyage,red, , ,Buy,"(51.22695, 6.78717)",,,,,,,,"(51.22695, 6.78717)"
3,,51.22532,6.77979,Mayersche Droste ,"At the corner of Königsallee and Schadowstraße, the six-level store of the Meyersche Buchhandlung (bookstore) chain will most likely be on your way at some point, filled with books, magazines, DVDs and other media. Worth visiting even for the views from the upper-level windows in all directions.",wikivoyage,red,Königsallee 18 , ,Buy,"(51.22532, 6.77979)",,,,,,,,"(51.22532, 6.77979)"
2,,51.22208,6.78092,KÖ Galerie ,"The extensive shopping gallery fills up most the block between Steinstraße and Grünstraße, with multi-level indoor passages featuring exquisite boutiques, as well as a REWE supermarket and a selection of bars, cafes and restaurants.",wikivoyage,red,Königsallee 60 ,http://koegalerie.com/index.php/en/home ,Buy,"(51.22208, 6.78092)",,,,,,,,"(51.22208, 6.78092)"
1,,51.22593,6.77785,Kaufhof an der Kö ,,wikivoyage,red,,,Buy,"(51.22593, 6.77785)",,,,,,,,"(51.22593, 6.77785)"
0,,51.22712,6.78058,Breuninger ,"The [[Stuttgart]]-based upscale department store chain has opened their North-Rhein outpost in 2014 in the new Kö-Bogen complex at the north end of the Königsallee. The store is filled with a collection of luxury goods, mainly apparel and accessories, from Germany, Europe and the world. Inside you can also find a premium restaurant operated in a co-branding agreement with the famous Sansibar from [[Sylt]].",wikivoyage,red,Königsallee 2 ,http://www.e-breuninger.de/en/stores/duesseldorf/ ,Buy,"(51.22712, 6.78058)",,,,,,,,"(51.22712, 6.78058)"
3,,51.545380800000004,7.162276300345862,Kirmes ,"Between the 2nd and 3rd weekend of July there is a fun fair on the banks of Rhine. You will find there roller coasters, a Ferris wheel, a flying jinny and at least a beer garden too. Also, watermelons are sold everywhere. It is the biggest fair on the Rhine and very enjoyable. Monday, called pink Monday, is the day of lesbians and gays. On Friday, there is a firework display.",wikivoyage,red, , ,Do_Events,"(51.545380800000004, 7.162276300345862)",,,,,,,,"(51.545380800000004, 7.162276300345862)"
2,,33.5887777,130.4015519,Christmas market ,"The annual Christmas market, which centres around the Altstadt. Try a Glühwein (mulled wine) and Bratwurst (grilled sausage in bread roll).",wikivoyage,red, , ,Do_Events,"(33.5887777, 130.4015519)",,,,,,,,"(33.5887777, 130.4015519)"
1,,51.2371253,6.796926,Zoo ,"There's no longer a zoo here, so if you're looking for animal interactions, the Wildpark in Grafenberg is the nearest option, where you can feed roaming deer by hand. Apart from the Zoopark - which still contains some statues appropriate to the name - there are quite a lot of dining options and the ice-rink on Brehmstraße.",wikivoyage,red, , ,See_Other districts,"(51.2371253, 6.796926)",,,,,,,,"(51.2371253, 6.796926)"
0,,51.16103,6.87051,Benrath Palace and Park ,"The Corps de Logis is the central building of the three-wing maison de plaisance, which was erected for the Palatine Elector Carl Theodor by his garden and building director Nicolas de Pigage. Construction was completed in 1770: it is a complete work of art that unites architecture and nature in one overlapping concept, and is rated as one of the most beautiful palaces of the rococo epoch. The park beside the Palace is enormous, nearly 62,000 m². Take the U71 or the U83 tram towards Benrath, exit Schloss-Benrath. You can also take the S6 towards Cologne, exit Benrath, then walk about 200 m east.",wikivoyage,red, ,http://www.schloss-benrath.de ,See_Other districts,"(51.16103, 6.87051)",,,,,,,,"(51.16103, 6.87051)"
1,,51.23924,6.74573,EKO-Haus," The house of Japanese culture in the quarter of Niederkassel on the left bank of the Rhein. It was Europe’s first Buddhist temple, and it is surrounded by several buildings like a kindergarten and a library. The garden is styled like a Japanese garden. There are guided tours, but if you respect the dignity of the location they will not prevent you from stepping in without a guide during daytime.",wikivoyage,red,Brüggener Weg 6,,See_Other districts,"(51.23924, 6.74573)",,,,,,,,"(51.23924, 6.74573)"
0,,51.25662,6.74696,Nordpark,"on the right bank of Rhine in the northern city, is one of the major Parks in Düsseldorf. Its most interesting part is the Japanese garden inside, a gift of the Japanese community to the citizens. Within about 5,000 m², you will find an example of Japanese horticulture with traditional elements like stones, trees, bushes, ponds and bridges. Entrance is free.",wikivoyage,red,,,See_Other districts,"(51.25662, 6.74696)",,,,,,,,"(51.25662, 6.74696)"
0,,51.21618,6.75787,Medienhafen ,"At the southern end of the Rhine promenade you will find the newest landmark of Düsseldorf, the so called Media Harbour. The former harbour was transformed into a quarter with restaurants, bars, coffee shops, discotheques and hotels. Its flair is based on the mixture of old and new. Protected buildings like depots, quay walls and industrial surroundings stand side by side with modern architecture. There are buildings constructed by Frank O. Gehry, Claude Vasconi or David Chipperfield. It is mainly the Gehry buildings that form the face of the quarter.",wikivoyage,red, , ,See_Unterbilk and Hafen,"(51.21618, 6.75787)",,,,,,,,"(51.21618, 6.75787)"
0,,51.21794,6.76163,Rheinturm ,"The 240-m-high Rhine Tower is right on the Rhine river, near the Media Harbor. It offers a 360-degree view from the restaurant, at 172 m. The restaurant is overpriced, but it is worth a trip for the amazing view.",wikivoyage,red, ,http://www.duesseldorf.de/thema/sights/rheinturm/index.shtml ,See_Unterbilk and Hafen,"(51.21794, 6.76163)",,,,,,,,"(51.21794, 6.76163)"
0,,51.2165,6.77396,K21 Kunstsammlung NRW ,"Kunstsammlung NRW has two buildings, K20 at Altstadt and K21 in Carlstadt. K21 houses a modern art collection after 1960s, mainly from local artists.",wikivoyage,red,Ständehausstraße 1 ,https://www.kunstsammlung.de/en/ ,See_Carlstadt,"(51.2165, 6.77396)",,,,,,,,"(51.2165, 6.77396)"
0,,51.22235,6.76992,Stadtmuseum ,"The municipal museum features collections of artifacts, art and photographs related to the history of the city. It is located in the reconstructed baroque ''Palais Spee'' (as well as a postmodern west wing added in the 1970s), which features an extensive garden park with a pond formed from the ''Südliche Düssel''. Even if you pass on the museum's collections, the park is worth a visit.",wikivoyage,red,Berger Allee 2 , ,See_Carlstadt,"(51.22235, 6.76992)",,,,,,,,"(51.22235, 6.76992)"
1,,51.22235,6.77268,Palais Wittgenstein ,"The residences at Bilker Straße 7 and 9 both have rich history (including ownership by Prince von Sayn-Wittgenstein, which gave them the name), and are owned by the municipality. They were reconstructed in the 1970s with their historic façades preserved, but the interior was redeveloped to house cultural institutions. Today it is the home to the ''Marionetten-Theater'', a chamber music hall and the ''Institut Francais''",wikivoyage,red,Bilker Straße 7-9 , ,See_Carlstadt,"(51.22235, 6.77268)",,,,,,,,"(51.22235, 6.77268)"
0,,51.22383,6.77108,Palais Nesselrode ,,wikivoyage,red,Schulstraße 4 , ,See_Carlstadt,"(51.22383, 6.77108)",,,,,,,,"(51.22383, 6.77108)"
0,,51.22442,6.77078,Alter Hafen ,"Neither a haven nor actually old, the ''Alter Hafen'' occupies the area that was once the haven of the fortress of Düsseldorf. Today it is not connected to the Rhine, nor is it actually deep enough (there is a parking garage and tunnel underneath) to serve as a haven, and is surrounded by buildings constructed after the Second World War, but it is still a very nice area for a stroll.",wikivoyage,red, , ,See_Carlstadt,"(51.22442, 6.77078)",,,,,,,,"(51.22442, 6.77078)"
0,,51.22332,6.77146,Maxkirche ,"The late baroque church was built in the mid-17th century for the Franciscan convent and, after its dissolution in 1804, was renamed St. Maximillian as a nod towards the then-Elector to protect it from destruction. The church is renowned for its organ music and choir.",wikivoyage,red, , ,See_Carlstadt,"(51.22332, 6.77146)",,,,,,,,"(51.22332, 6.77146)"
0,,51.2234,6.77359,Carlsplatz ,"The Carlsplatz is the centre of Carlstadt and houses the city's only permanent weekday market, featuring savory food, sweets, flowers as well as popular artworks",wikivoyage,red, , ,See_Carlstadt,"(51.2234, 6.77359)",,,,,,,,"(51.2234, 6.77359)"
5,,51.22862,6.77593,K20 Kunstsammlung NRW ,"Kunstsammlung NRW has two buildings, K20 at Altstadt and K21 in Carlstadt. K20 has a great collection of 20th-century art, including Picasso, Klee, Richter, Kandinsky, and Warhol.",wikivoyage,red,Grabbeplatz 5 ,https://www.kunstsammlung.de/en/ ,See_Altstadt,"(51.22862, 6.77593)",,,,,,,,"(51.22862, 6.77593)"
4,,51.22411,6.77074,Filmmuseum Düsseldorf ,,wikivoyage,red,Schulstraße 4 , ,See_Altstadt,"(51.22411, 6.77074)",,,,,,,,"(51.22411, 6.77074)"
3,,51.22484,6.77678,Wilhelm-Marx-Haus ,"The Wilhelm-Marx-Haus was the first ''Hochhaus'', or highrise building, in Germany and, apparently, in Europe. Finished in 1924, it is 57 m high and has 13 floors above ground level. The architect was Wilhelm Kreis. It used to be the home of the Düsseldorf Stock Exchange and includes a theatre. It is named after Wilhelm Marx, who was mayor of Düsseldorf in the early 20th century and started a programme for the modernisation of the city at that time.",wikivoyage,red, , ,See_Altstadt,"(51.22484, 6.77678)",,,,,,,,"(51.22484, 6.77678)"
2,,51.22567,6.77169, Gießer-Junge ,"At the side of market square, in the shadow of Jan Wellem, stands the statue of the cast boy. They say that just before the cast of the Jan Wellem monument master Grupello realised that the amount of metal was not sufficient. This prompted the cast boy to ask the citizens for a donation of noble metal like silver forks or coins. He got so much that the cast could be finished very well. Out of thankfulness he got a statue too. The one you see today was designed by Willi Hoselmann and realised in 1932.",wikivoyage,red, ,https://emuseum.duesseldorf.de/view/objects/asitem/items%240040:135870 ,See_Altstadt,"(51.22567, 6.77169)",,,,,,,,"(51.22567, 6.77169)"
1,,51.2258,6.77202,Jan Wellem ,"In front of the city hall is the '''monument of elector Johann Wilhelms II''' (1658-1716) on horseback. The citizens affectionately call him Jan Wellem. His monument is among the most important baroque equestrian sculptures north of the Alps. Because of his connections to European dynasties and by the powers invested in him he was a very important man. In co-operation with other electors he elected the German Emperor. He was a representative of a pompous baroque sovereign. In 1691 he married Anna Maria Luisa de‘ Medici (1667-1743). Jan Wellem died in 1716; his grave site is in St. Andreas-Church. Jan Wellem boosted the development of Düsseldorf, so the citizens still love him. The monument was realised by Gabriel Grupello in 1711.",wikivoyage,red, , ,See_Altstadt,"(51.2258, 6.77202)",,,,,,,,"(51.2258, 6.77202)"
0,,51.22596,6.77123,Rathaus ,"The historic and striking city hall of Düsseldorf dates from the 16th century. Since then it has housed the city parliament. The building consists of three parts, and there are guided tours for free every Wednesday at 15:00. They will show you the council hall, the Jan-Wellem hall and the reception hall of the Lord Mayor where they present the city’s silver coins and roof-paintings of the artists Domenico Zanetti and Johannes Spilberg.",wikivoyage,red, , ,See_Altstadt,"(51.22596, 6.77123)",,,,,,,,"(51.22596, 6.77123)"
2,,51.22568,6.77336,Schneider-Wibbel-Gasse ,"A small lane inside the old town, connecting Bolkerstraße and Flingerstraße. It is packed with restaurants and bars, most of them offering Spanish-American and Latin American food (particularly Argentinian). Tailor Wibbel is the main character of a popular theatre play, written by Hans Müller-Schlösser in 1913. Tailor Wibbel had opposed Napoleon and, therefore, was sent to prison. But, instead of himself, his assistant went to jail under the name of Wibbel. Unfortunately, the assistant died in prison as a result of a former disease, so the actual Wibbel was able to witness his own burial incognito. After the end of the French occupation, Wibbel had the chance to disclose his identity and became a local hero. Across Bolkerstraße is the Wibble clock. Daily, at 11:00, 13:00, 15:00, 18:00 and 21:00, it shows the Wibbel character. At the other end of Tailor Wibbel Lane, near Flingerstraße, is the Wibble sculpture. Walk near by and examine the sculpture. Did you see the mouse?",wikivoyage,red, , ,See_Altstadt,"(51.22568, 6.77336)",,,,,,,,"(51.22568, 6.77336)"
