,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,item,articleDE,location,distance,sitelinks,thing,articleEN,to_drop_key
204,https://www.atlasobscura.com/places/gehry-buildings-dusseldorf-harbor,51.216605,6.760193,"
The Gehry Buildings of Dusseldorf Harbor
","
Twisted buildings adorn the banks of the Rhine river.
",atlas_obscura,gold,,,,,,,,,,,,"(51.216605, 6.760193)"
332,https://www.atlasobscura.com/places/c-und-o-vogt-institue-brain-research-collection,51.193819,6.792072,"
C. und O. Vogt Institue of Brain Research Collection
","
A varied collection of brains in alcohol.
",atlas_obscura,gold,,,,,,,,,,,,"(51.193819, 6.792072)"
353,https://www.atlasobscura.com/places/museumsinsel-hombroich,51.147773,6.659504,"
Museumsinsel Hombroich
","
Be it nature, art, or abandoned military architecture this eclectic German ""museum"" has you covered.
",atlas_obscura,gold,,,,,,,,,,,,"(51.147773, 6.659504)"
358,https://www.atlasobscura.com/places/rheinturm,51.217942,6.76168,"
Rheinturm
","
This futuristic German television spire is actually the world's largest digital clock.
1264,,51.2442,6.77144,Sternhaus (Düsseldorf),,C,yellow,,,architectural structure,,http://www.wikidata.org/entity/Q2345875,https://de.wikipedia.org/wiki/Sternhaus_(D%C3%BCsseldorf),Point(6.77144 51.2442),2.118,2.0,http://www.wikidata.org/entity/Q811979,,"('51.2442', '6.77144')"
1265,,51.209,6.98239,Sternwarte Neanderhöhe Hochdahl,,C,yellow,,,public observatory,,http://www.wikidata.org/entity/Q2346093,https://de.wikipedia.org/wiki/Sternwarte_Neanderh%C3%B6he_Hochdahl,Point(6.98239 51.209),14.468,2.0,http://www.wikidata.org/entity/Q2532203,,"('51.209', '6.98239')"
1267,,51.1962,6.7968,Stoffeler Kapelle,,C,yellow,,,church building,,http://www.wikidata.org/entity/Q2350966,https://de.wikipedia.org/wiki/Stoffeler_Kapelle,Point(6.7968 51.1962),3.547,2.0,http://www.wikidata.org/entity/Q16970,,"('51.1962', '6.7968')"
1268,,51.0922,6.76278,Straberg,,C,yellow,,,Ortsteil,,http://www.wikidata.org/entity/Q2352538,https://de.wikipedia.org/wiki/Straberg,Point(6.76278 51.0922),14.841,2.0,http://www.wikidata.org/entity/Q253019,,"('51.0922', '6.76278')"
1269,,51.1963,6.75502,Südfriedhof,,C,yellow,,,cemetery,,http://www.wikidata.org/entity/Q2380741,https://de.wikipedia.org/wiki/S%C3%BCdfriedhof_(D%C3%BCsseldorf),Point(6.75502 51.1963),3.56,2.0,http://www.wikidata.org/entity/Q39614,,"('51.1963', '6.75502')"
1270,,51.2003,6.80843,Südpark,,C,yellow,,,architectural structure,,http://www.wikidata.org/entity/Q2381375,https://de.wikipedia.org/wiki/S%C3%BCdpark_(D%C3%BCsseldorf),Point(6.80843 51.2003),3.577,2.0,http://www.wikidata.org/entity/Q811979,,"('51.2003', '6.80843')"
1272,,51.2239,6.8009,Tanzhaus Nordrhein-Westfalen,,C,yellow,,,theatre building,,http://www.wikidata.org/entity/Q2393329,https://de.wikipedia.org/wiki/Tanzhaus_NRW,Point(6.8009 51.2239),1.72,2.0,http://www.wikidata.org/entity/Q24354,,"('51.2239', '6.8009')"
1273,,51.3063,6.6793,Teloy-Mühle,,C,yellow,,,windmill,,http://www.wikidata.org/entity/Q2402380,https://de.wikipedia.org/wiki/Teloy-M%C3%BChle,Point(6.6793 51.3063),11.246,2.0,http://www.wikidata.org/entity/Q38720,,"('51.3063', '6.6793')"
1274,,51.2295,6.8058,Theater FLIN,,C,yellow,,,theatre building,,http://www.wikidata.org/entity/Q2415758,https://de.wikipedia.org/wiki/KaBARett_FLiN,Point(6.8058 51.2295),2.103,2.0,http://www.wikidata.org/entity/Q24354,https://en.wikipedia.org/wiki/Theater_FLIN,"('51.2295', '6.8058')"
1275,,51.1762,6.85739,Thomaskirche,,C,yellow,,,church building,,http://www.wikidata.org/entity/Q2428517,https://de.wikipedia.org/wiki/Thomaskirche_(D%C3%BCsseldorf-Reisholz),Point(6.85739 51.1762),7.864,2.0,http://www.wikidata.org/entity/Q16970,,"('51.1762', '6.85739')"
