,item,articleDE,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,articleEN,tier,color
0,http://www.wikidata.org/entity/Q1718,https://de.wikipedia.org/wiki/D%C3%BCsseldorf,Point(6.772380555 51.231144444),0.695,51.231144444444,6.7723805555556,170,http://www.wikidata.org/entity/Q1549591,Düsseldorf,big city,https://en.wikipedia.org/wiki/D%C3%BCsseldorf,S,orange
5,http://www.wikidata.org/entity/Q2948,https://de.wikipedia.org/wiki/Neuss,Point(6.693888888 51.200277777),6.385,51.200277777778,6.6938888888889,92,http://www.wikidata.org/entity/Q134626,Neuss,district capital,https://en.wikipedia.org/wiki/Neuss,S,orange
10,http://www.wikidata.org/entity/Q10160,https://de.wikipedia.org/wiki/Eurovision_Song_Contest_2011,Point(6.73308 51.26154),5.02,51.26154,6.73308,64,http://www.wikidata.org/entity/Q110288240,Eurovision Song Contest 2011,Eurovision Song Contest edition,https://en.wikipedia.org/wiki/Eurovision_Song_Contest_2011,S,orange
11,http://www.wikidata.org/entity/Q3791,https://de.wikipedia.org/wiki/Ratingen,Point(6.85 51.3),9.751,51.3,6.85,54,http://www.wikidata.org/entity/Q707813,Ratingen,Hanseatic city,https://en.wikipedia.org/wiki/Ratingen,S,orange
14,http://www.wikidata.org/entity/Q4094,https://de.wikipedia.org/wiki/Hilden,Point(6.939444444 51.171388888),12.855,51.171388888889,6.9394444444444,49,http://www.wikidata.org/entity/Q42744322,Hilden,urban municipality in Germany,https://en.wikipedia.org/wiki/Hilden,S,orange
16,http://www.wikidata.org/entity/Q4105,https://de.wikipedia.org/wiki/Meerbusch,Point(6.666666666 51.266666666),8.905,51.266666666667,6.6666666666667,49,http://www.wikidata.org/entity/Q42744322,Meerbusch,urban municipality in Germany,https://en.wikipedia.org/wiki/Meerbusch,S,orange
18,http://www.wikidata.org/entity/Q58226,https://de.wikipedia.org/wiki/Flughafen_D%C3%BCsseldorf,Point(6.757311111 51.280925),6.314,51.280925,6.7573111111111,48,http://www.wikidata.org/entity/Q644371,Düsseldorf Airport,international airport,https://en.wikipedia.org/wiki/D%C3%BCsseldorf_Airport,S,orange
20,http://www.wikidata.org/entity/Q155351,https://de.wikipedia.org/wiki/Merkur_Spiel-Arena,Point(6.733083 51.261539),5.02,51.261539,6.733083,47,http://www.wikidata.org/entity/Q1154710,Merkur Spiel-Arena,association football venue,https://en.wikipedia.org/wiki/Merkur_Spiel-Arena,S,orange
22,http://www.wikidata.org/entity/Q14878,https://de.wikipedia.org/wiki/Mettmann,Point(6.966666666 51.25),13.531,51.25,6.9666666666667,46,http://www.wikidata.org/entity/Q134626,Mettmann,district capital,https://en.wikipedia.org/wiki/Mettmann,S,orange
25,http://www.wikidata.org/entity/Q6968,https://de.wikipedia.org/wiki/Erkrath,Point(6.914722222 51.223888888),9.639,51.223888888889,6.9147222222222,41,http://www.wikidata.org/entity/Q42744322,Erkrath,urban municipality in Germany,https://en.wikipedia.org/wiki/Erkrath,S,orange
27,http://www.wikidata.org/entity/Q7088,https://de.wikipedia.org/wiki/Kaarst,Point(6.627330555 51.22785),10.377,51.22785,6.6273305555556,40,http://www.wikidata.org/entity/Q42744322,Kaarst,urban municipality in Germany,https://en.wikipedia.org/wiki/Kaarst,S,orange
29,http://www.wikidata.org/entity/Q6253,https://de.wikipedia.org/wiki/Rhein-Kreis_Neuss,Point(6.67 51.17),9.634,51.17,6.67,37,http://www.wikidata.org/entity/Q20738811,Rhein-Kreis Neuss,rural district of North Rhine-Westphalia,https://en.wikipedia.org/wiki/Rhein-Kreis_Neuss,S,orange
30,http://www.wikidata.org/entity/Q170081,https://de.wikipedia.org/wiki/Neandertal,Point(6.951111111 51.226666666),12.172,51.226666666667,6.9511111111111,35,http://www.wikidata.org/entity/Q39816,Neandertal,valley,https://en.wikipedia.org/wiki/Neandertal_(valley),S,orange
31,http://www.wikidata.org/entity/Q317032,https://de.wikipedia.org/wiki/Heinrich-Heine-Universit%C3%A4t_D%C3%BCsseldorf,Point(6.794169444 51.1903),4.096,51.1903,6.7941694444444,35,http://www.wikidata.org/entity/Q875538,University of Düsseldorf,public university,https://en.wikipedia.org/wiki/Heinrich_Heine_University_D%C3%BCsseldorf,S,orange
33,http://www.wikidata.org/entity/Q151095,https://de.wikipedia.org/wiki/Herzogtum_Berg,Point(6.8125 51.207222222),3.231,51.207222222222,6.8125,34,http://www.wikidata.org/entity/Q1621034,Duchy of Berg,historical territory,https://en.wikipedia.org/wiki/Duchy_of_Berg,S,orange
34,http://www.wikidata.org/entity/Q662355,https://de.wikipedia.org/wiki/Kunstakademie_D%C3%BCsseldorf,Point(6.77365 51.23054),0.601,51.23054,6.77365,26,http://www.wikidata.org/entity/Q383092,Kunstakademie Düsseldorf,art academy,https://en.wikipedia.org/wiki/Kunstakademie_D%C3%BCsseldorf,S,orange
36,http://www.wikidata.org/entity/Q699555,https://de.wikipedia.org/wiki/Rheinstadion,Point(6.734167 51.260278),4.863,51.260278,6.734167,24,http://www.wikidata.org/entity/Q1049757,Rheinstadion,multi-purpose sports venue,https://en.wikipedia.org/wiki/Rheinstadion,S,orange
37,http://www.wikidata.org/entity/Q701645,https://de.wikipedia.org/wiki/D%C3%BCssel,Point(6.795833333 51.181111111),5.109,51.181111111111,6.7958333333333,24,http://www.wikidata.org/entity/Q4022,Düssel,river,https://en.wikipedia.org/wiki/D%C3%BCssel,S,orange
39,http://www.wikidata.org/entity/Q168582,https://de.wikipedia.org/wiki/World_Team_Cup,Point(6.772381 51.231144),0.695,51.231144,6.772381,22,http://www.wikidata.org/entity/Q500834,World Team Cup,tournament,https://en.wikipedia.org/wiki/World_Team_Cup,S,orange
40,http://www.wikidata.org/entity/Q706805,https://de.wikipedia.org/wiki/Schachweltmeisterschaft_1908,Point(6.772381 51.231144),0.695,51.231144,6.772381,22,http://www.wikidata.org/entity/Q27020041,World Chess Championship 1908,season,https://en.wikipedia.org/wiki/World_Chess_Championship_1908,S,orange
41,http://www.wikidata.org/entity/Q708840,https://de.wikipedia.org/wiki/Erft,Point(6.7317 51.1844),5.518,51.1844,6.7317,21,http://www.wikidata.org/entity/Q4022,Erft,river,https://en.wikipedia.org/wiki/Erft,S,orange
43,http://www.wikidata.org/entity/Q255951,https://de.wikipedia.org/wiki/D%C3%BCsseldorf_Hauptbahnhof,Point(6.792777777 51.220277777),1.28,51.220277777778,6.7927777777778,17,http://www.wikidata.org/entity/Q1147171,Düsseldorf Central Station,interchange station,https://en.wikipedia.org/wiki/D%C3%BCsseldorf_Hauptbahnhof,A,green
46,http://www.wikidata.org/entity/Q679491,https://de.wikipedia.org/wiki/Rheinturm,Point(6.761666666 51.217777777),1.326,51.217777777778,6.7616666666667,16,http://www.wikidata.org/entity/Q11166728,Rheinturm,television tower,https://en.wikipedia.org/wiki/Rheinturm,A,green
47,http://www.wikidata.org/entity/Q678456,https://de.wikipedia.org/wiki/Kaiserswerth,Point(6.739166666 51.3),8.688,51.3,6.7391666666667,15,http://www.wikidata.org/entity/Q1852178,Kaiserswerth,locality of Düsseldorf,https://en.wikipedia.org/wiki/Kaiserswerth,A,green
48,http://www.wikidata.org/entity/Q464416,https://de.wikipedia.org/wiki/Neanderthal_Museum,Point(6.95056 51.2269),12.134,51.2269,6.95056,14,http://www.wikidata.org/entity/Q33506,Neanderthal Museum,museum,https://en.wikipedia.org/wiki/Neanderthal_Museum,A,green
49,http://www.wikidata.org/entity/Q299406,https://de.wikipedia.org/wiki/ATP_D%C3%BCsseldorf,Point(6.772381 51.231144),0.695,51.231144,6.772381,14,http://www.wikidata.org/entity/Q47443726,Power Horse Cup,recurring tennis tournament,https://en.wikipedia.org/wiki/ATP_D%C3%BCsseldorf_Open,A,green
50,http://www.wikidata.org/entity/Q821603,https://de.wikipedia.org/wiki/Neandertal_1,Point(6.94444444 51.22722222),11.709,51.22722222,6.94444444,14,http://www.wikidata.org/entity/Q1061403,Neanderthal 1,holotype,https://en.wikipedia.org/wiki/Neanderthal_1,A,green
52,http://www.wikidata.org/entity/Q461277,https://de.wikipedia.org/wiki/Museum_Kunstpalast,Point(6.77333 51.2343),1.011,51.2343,6.77333,13,http://www.wikidata.org/entity/Q163740,Museum Kunstpalast,nonprofit organization,https://en.wikipedia.org/wiki/Museum_Kunstpalast,A,green
