,ao_link,lat,lon,itemLabel,ao_description,tier,color
59,https://www.atlasobscura.com/places/bara-imambara,26.868935,80.912695,"
Bara Imambara
","
This magnificent 18th-century hall consists of a maze of nearly a thousand interconnected passages.
",atlas_obscura,gold
108,https://www.atlasobscura.com/places/indira-gandhi-planetarium,26.865011,80.923624,"
Indira Gandhi Planetarium
","
Inside the dome of this gigantic, Saturn-shaped building is one of the largest planetariums in Asia.
",atlas_obscura,gold
