,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
195,http://www.wikidata.org/entity/Q18127550,,,Point(81.01527778 26.81055556),8.571,26.81055556,81.01527778,1,http://www.wikidata.org/entity/Q682943,Q18127550,cricket field,D,blue
197,http://www.wikidata.org/entity/Q22080565,,https://en.wikipedia.org/wiki/Shri_Ramswaroop_Memorial_University,Point(81.0981 26.951636111),20.548,26.951636111111,81.0981,1,http://www.wikidata.org/entity/Q3918,Shri Ramswaroop Memorial University,university,D,blue
198,http://www.wikidata.org/entity/Q24590234,,https://en.wikipedia.org/wiki/S.R._Institute_of_Management_%26_Technology,Point(80.9225 27.00694444),18.812,27.00694444,80.9225,1,http://www.wikidata.org/entity/Q4671277,S.R. Institute of Management & Technology,academic institution,D,blue
199,http://www.wikidata.org/entity/Q24906415,,"https://en.wikipedia.org/wiki/Dr._Ram_Manohar_Lohia_Park,_Gomti_Nagar",Point(80.99396667 26.83935),5.892,26.83935,80.99396667,1,http://www.wikidata.org/entity/Q22698,"Dr. Ram Manohar Lohia Park, Gomti Nagar",park,D,blue
200,http://www.wikidata.org/entity/Q24932472,,https://en.wikipedia.org/wiki/Manyawar_Shri_Kanshiram_Ji_Green_Eco_Garden,Point(80.919377 26.810966),3.374,26.810966,80.919377,1,http://www.wikidata.org/entity/Q22698,Manyawar Shri Kanshiram Ji Green Eco Garden,park,D,blue
201,http://www.wikidata.org/entity/Q26780940,,,Point(80.966666666 26.833333333),3.225,26.833333333333,80.966666666667,1,http://www.wikidata.org/entity/Q12284,Nawāb Ghāziuddīn Haidars Canal,canal,D,blue
202,http://www.wikidata.org/entity/Q26810290,,,Point(80.924722222 26.641111111),21.925,26.641111111111,80.924722222222,1,http://www.wikidata.org/entity/Q30198,Q26810290,marsh,D,blue
203,http://www.wikidata.org/entity/Q26810850,,,Point(81.096388888 26.641944444),27.089,26.641944444444,81.096388888889,1,http://www.wikidata.org/entity/Q30198,Q26810850,marsh,D,blue
204,http://www.wikidata.org/entity/Q26810851,,,Point(81.0875 26.643333333),26.448,26.643333333333,81.0875,1,http://www.wikidata.org/entity/Q30198,Q26810851,marsh,D,blue
205,http://www.wikidata.org/entity/Q26810848,,,Point(81.086111111 26.616666666),28.855,26.616666666667,81.086111111111,1,http://www.wikidata.org/entity/Q30198,Q26810848,marsh,D,blue
206,http://www.wikidata.org/entity/Q26810849,,,Point(81.072222222 26.615555555),28.268,26.615555555556,81.072222222222,1,http://www.wikidata.org/entity/Q30198,Q26810849,marsh,D,blue
207,http://www.wikidata.org/entity/Q26810854,,,Point(81.038611111 26.671111111),21.246,26.671111111111,81.038611111111,1,http://www.wikidata.org/entity/Q30198,Q26810854,marsh,D,blue
208,http://www.wikidata.org/entity/Q26810855,,,Point(81.016944444 26.685),18.884,26.685,81.016944444444,1,http://www.wikidata.org/entity/Q30198,Q26810855,marsh,D,blue
209,http://www.wikidata.org/entity/Q26810852,,,Point(81.066944444 26.658611111),23.895,26.658611111111,81.066944444444,1,http://www.wikidata.org/entity/Q30198,Q26810852,marsh,D,blue
210,http://www.wikidata.org/entity/Q26810853,,,Point(81.057222222 26.6725),22.074,26.6725,81.057222222222,1,http://www.wikidata.org/entity/Q30198,Q26810853,marsh,D,blue
211,http://www.wikidata.org/entity/Q26810858,,,Point(81.156944444 26.985833333),27.492,26.985833333333,81.156944444444,1,http://www.wikidata.org/entity/Q30198,Q26810858,marsh,D,blue
212,http://www.wikidata.org/entity/Q26810859,,,Point(81.076666666 26.760555555),16.527,26.760555555556,81.076666666667,1,http://www.wikidata.org/entity/Q30198,Q26810859,marsh,D,blue
213,http://www.wikidata.org/entity/Q26810857,,,Point(81.17974 26.99523),29.932,26.99523,81.17974,1,http://www.wikidata.org/entity/Q30198,Q26810857,marsh,D,blue
214,http://www.wikidata.org/entity/Q26810862,,,Point(81.075833333 26.791944444),14.925,26.791944444444,81.075833333333,1,http://www.wikidata.org/entity/Q30198,Q26810862,marsh,D,blue
215,http://www.wikidata.org/entity/Q26810860,,,Point(81.042222222 26.7625),13.592,26.7625,81.042222222222,1,http://www.wikidata.org/entity/Q30198,Q26810860,marsh,D,blue
