,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,thing,articleEN,to_drop_key
3563,,50.648315,7.224181,Königin-Sophie-Straße 15,,D,blue,,,house,,Point(7.224181 50.648315),13.055,http://www.wikidata.org/entity/Q65515916,1.0,,,http://www.wikidata.org/entity/Q3947,,"('50.648315', '7.224181')"
3564,,50.642163,7.235,Hauptstraße 107,,D,blue,,,villa,,Point(7.235 50.642163),14.074,http://www.wikidata.org/entity/Q65920889,1.0,,,http://www.wikidata.org/entity/Q3950,,"('50.642163', '7.235')"
3565,,50.646258,7.222207,Luisenstraße 15,,D,blue,,,house,,Point(7.222207 50.646258),13.135,http://www.wikidata.org/entity/Q65951296,1.0,,,http://www.wikidata.org/entity/Q3947,,"('50.646258', '7.222207')"
3566,,50.67404,7.192519,Monument to Lord Byron,,D,blue,,,monument,,Point(7.192519 50.67404),9.438,http://www.wikidata.org/entity/Q66123172,1.0,,,http://www.wikidata.org/entity/Q4989906,,"('50.67404', '7.192519')"
3567,,50.71849,7.130174,Integration '76,,D,blue,,,sculpture,,Point(7.130174 50.71849),2.836,http://www.wikidata.org/entity/Q66305367,1.0,,,http://www.wikidata.org/entity/Q860861,,"('50.71849', '7.130174')"
3568,,50.630162,7.205007,Am Kasselbach 5,,D,blue,,,villa,,Point(7.205007 50.630162),13.861,http://www.wikidata.org/entity/Q66363487,1.0,,,http://www.wikidata.org/entity/Q3950,,"('50.630162', '7.205007')"
3569,,50.704705,7.112145,Quirinusplatz,,D,blue,,,square,,Point(7.112145 50.704705),3.556,http://www.wikidata.org/entity/Q67216575,1.0,,,http://www.wikidata.org/entity/Q174782,,"('50.704705', '7.112145')"
3570,,50.737003,7.120381,Hochbunker Beuel,,D,blue,,,hochbunker,,Point(7.120381 50.737003),1.394,http://www.wikidata.org/entity/Q67316486,1.0,,,http://www.wikidata.org/entity/Q15815716,,"('50.737003', '7.120381')"
3571,,50.726155,7.124397,Zum Blauen Affen,,D,blue,,,pavilion,,Point(7.124397 50.726155),1.988,http://www.wikidata.org/entity/Q67326013,1.0,,,http://www.wikidata.org/entity/Q276173,,"('50.726155', '7.124397')"
3572,,50.761829,7.127411,Abtstraße 34,,D,blue,,,building,,Point(7.127411 50.761829),3.447,http://www.wikidata.org/entity/Q67641021,1.0,,,http://www.wikidata.org/entity/Q41176,,"('50.761829', '7.127411')"
3573,,50.736741,7.119022,An Sankt Josef 19a,,D,blue,,,building,,Point(7.119022 50.736741),1.296,http://www.wikidata.org/entity/Q67647842,1.0,,,http://www.wikidata.org/entity/Q41176,,"('50.736741', '7.119022')"
3574,,50.739157,7.118972,Friedrich-Breuer-Straße 51,,D,blue,,,residential and commercial building,,Point(7.118972 50.739157),1.34,http://www.wikidata.org/entity/Q67649015,1.0,,,http://www.wikidata.org/entity/Q18760306,,"('50.739157', '7.118972')"
3575,,50.739054,7.119535,Friedrich-Breuer-Straße 52,,D,blue,,,residential and commercial building,,Point(7.119535 50.739054),1.375,http://www.wikidata.org/entity/Q67713716,1.0,,,http://www.wikidata.org/entity/Q18760306,,"('50.739054', '7.119535')"
3576,,50.739074,7.119634,Friedrich-Breuer-Straße 54,,D,blue,,,residential and commercial building,,Point(7.119634 50.739074),1.382,http://www.wikidata.org/entity/Q67714832,1.0,,,http://www.wikidata.org/entity/Q18760306,,"('50.739074', '7.119634')"
3577,,50.739224,7.119241,Friedrich-Breuer-Straße 55,,D,blue,,,residential and commercial building,,Point(7.119241 50.739224),1.36,http://www.wikidata.org/entity/Q67751112,1.0,,,http://www.wikidata.org/entity/Q18760306,,"('50.739224', '7.119241')"
3578,,50.739163,7.120009,Friedrich-Breuer-Straße 60,,D,blue,,,residential and commercial building,,Point(7.120009 50.739163),1.41,http://www.wikidata.org/entity/Q67752344,1.0,,,http://www.wikidata.org/entity/Q18760306,,"('50.739163', '7.120009')"
3579,,50.757205,7.128844,Geislarstraße 99,,D,blue,,,building,,Point(7.128844 50.757205),3.093,http://www.wikidata.org/entity/Q67758234,1.0,,,http://www.wikidata.org/entity/Q41176,,"('50.757205', '7.128844')"
3580,,50.761742,7.12612,St. Joseph,,D,blue,,,Catholic church building,,Point(7.12612 50.761742),3.391,http://www.wikidata.org/entity/Q67762562,1.0,,,http://www.wikidata.org/entity/Q1088552,,"('50.761742', '7.12612')"
3582,,50.734452,7.118543,Hermannstraße 61,,D,blue,,,house,,Point(7.118543 50.734452),1.268,http://www.wikidata.org/entity/Q67863713,1.0,,,http://www.wikidata.org/entity/Q3947,,"('50.734452', '7.118543')"
3583,,50.734779,7.118021,Hermannstraße 80,,D,blue,,,house,,Point(7.118021 50.734779),1.228,http://www.wikidata.org/entity/Q67863861,1.0,,,http://www.wikidata.org/entity/Q3947,,"('50.734779', '7.118021')"
3584,,50.741666,7.119086,Rathausstraße 43,,D,blue,,,house,,Point(7.119086 50.741666),1.449,http://www.wikidata.org/entity/Q67865461,1.0,,,http://www.wikidata.org/entity/Q3947,,"('50.741666', '7.119086')"
3585,,50.74156,7.119536,Rathausstraße 42,,D,blue,,,house,,Point(7.119536 50.74156),1.472,http://www.wikidata.org/entity/Q67865602,1.0,,,http://www.wikidata.org/entity/Q3947,,"('50.74156', '7.119536')"
3586,,50.741435,7.119584,Rathausstraße 38,,D,blue,,,house,,Point(7.119584 50.741435),1.469,http://www.wikidata.org/entity/Q67865750,1.0,,,http://www.wikidata.org/entity/Q3947,,"('50.741435', '7.119584')"
3587,,50.742879,7.148251,Pützchens Chaussee 137,,D,blue,,,building,,Point(7.148251 50.742879),3.439,http://www.wikidata.org/entity/Q67868980,1.0,,,http://www.wikidata.org/entity/Q41176,,"('50.742879', '7.148251')"
3588,,50.746148,7.160531,Glückstraße 33,,D,blue,,,timber-framed house,,Point(7.160531 50.746148),4.366,http://www.wikidata.org/entity/Q67869149,1.0,,,http://www.wikidata.org/entity/Q12020836,,"('50.746148', '7.160531')"
