,item,articleDE,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,articleEN,tier,color
27,http://www.wikidata.org/entity/Q6961,https://de.wikipedia.org/wiki/Hennef_(Sieg),Point(7.283333333 50.783333333),13.891,50.783333333333,7.2833333333333,42,http://www.wikidata.org/entity/Q42744322,Hennef,urban municipality in Germany,https://en.wikipedia.org/wiki/Hennef_(Sieg),S,orange
29,http://www.wikidata.org/entity/Q12464,https://de.wikipedia.org/wiki/Meckenheim_(Rheinland),Point(7.016666666 50.633333333),12.843,50.633333333333,7.0166666666667,42,http://www.wikidata.org/entity/Q42744322,Meckenheim,urban municipality in Germany,https://en.wikipedia.org/wiki/Meckenheim,S,orange
31,http://www.wikidata.org/entity/Q6852,https://de.wikipedia.org/wiki/Bornheim_(Rheinland),Point(7.005 50.759166666),7.212,50.759166666667,7.005,41,http://www.wikidata.org/entity/Q42744322,Bornheim,urban municipality in Germany,https://en.wikipedia.org/wiki/Bornheim_(Rheinland),S,orange
33,http://www.wikidata.org/entity/Q14956,https://de.wikipedia.org/wiki/Wesseling,Point(6.9786 50.82075),12.758,50.82075,6.9786,41,http://www.wikidata.org/entity/Q42744322,Wesseling,urban municipality in Germany,https://en.wikipedia.org/wiki/Wesseling,S,orange
36,http://www.wikidata.org/entity/Q12472,https://de.wikipedia.org/wiki/Niederkassel,Point(7.033333333 50.816666666),10.156,50.816666666667,7.0333333333333,40,http://www.wikidata.org/entity/Q42744322,Niederkassel,urban municipality in Germany,https://en.wikipedia.org/wiki/Niederkassel,S,orange
38,http://www.wikidata.org/entity/Q12449,https://de.wikipedia.org/wiki/Lohmar,Point(7.2166 50.841480555),14.295,50.841480555556,7.2166,39,http://www.wikidata.org/entity/Q42744322,Lohmar,urban municipality in Germany,https://en.wikipedia.org/wiki/Lohmar,S,orange
41,http://www.wikidata.org/entity/Q254774,https://de.wikipedia.org/wiki/Alfter,Point(7.009166666 50.735555555),6.439,50.735555555556,7.0091666666667,37,http://www.wikidata.org/entity/Q116457956,Alfter,non-urban municipality in Germany,https://en.wikipedia.org/wiki/Alfter,S,orange
42,http://www.wikidata.org/entity/Q6287,https://de.wikipedia.org/wiki/Rhein-Sieg-Kreis,Point(7.25 50.75),10.625,50.75,7.25,37,http://www.wikidata.org/entity/Q20738811,Rhein-Sieg District,rural district of North Rhine-Westphalia,https://en.wikipedia.org/wiki/Rhein-Sieg-Kreis,S,orange
43,http://www.wikidata.org/entity/Q253784,https://de.wikipedia.org/wiki/Swisttal,Point(6.920277777 50.717777777),12.854,50.717777777778,6.9202777777778,36,http://www.wikidata.org/entity/Q116457956,Swisttal,non-urban municipality in Germany,https://en.wikipedia.org/wiki/Swisttal,S,orange
44,http://www.wikidata.org/entity/Q157332,https://de.wikipedia.org/wiki/Deutsches_Zentrum_f%C3%BCr_Luft-_und_Raumfahrt,Point(7.1225 50.8525),13.061,50.8525,7.1225,35,http://www.wikidata.org/entity/Q163740,German Aerospace Center,nonprofit organization,https://en.wikipedia.org/wiki/German_Aerospace_Center,S,orange
46,http://www.wikidata.org/entity/Q253498,https://de.wikipedia.org/wiki/Wachtberg,Point(7.132222222 50.624166666),12.616,50.624166666667,7.1322222222222,34,http://www.wikidata.org/entity/Q116457956,Wachtberg,non-urban municipality in Germany,https://en.wikipedia.org/wiki/Wachtberg,S,orange
47,http://www.wikidata.org/entity/Q152484,https://de.wikipedia.org/wiki/Sieg_(Fluss),Point(7.074722222 50.769166666),4.129,50.917777777778,8.2466666666667,32,http://www.wikidata.org/entity/Q4022,Sieg,river,https://en.wikipedia.org/wiki/Sieg_(river),S,orange
49,http://www.wikidata.org/entity/Q125371,https://de.wikipedia.org/wiki/Bonner_Konvention,Point(7.0997 50.7339),0.227,50.7339,7.0997,27,http://www.wikidata.org/entity/Q131569,Bonn Convention,treaty,https://en.wikipedia.org/wiki/Convention_on_the_Conservation_of_Migratory_Species_of_Wild_Animals,S,orange
52,http://www.wikidata.org/entity/Q153260,https://de.wikipedia.org/wiki/Bad_Godesberg,Point(7.15 50.683333333),6.795,50.683333333333,7.15,27,http://www.wikidata.org/entity/Q2740635,Bad Godesberg,Stadtbezirk,https://en.wikipedia.org/wiki/Bad_Godesberg,S,orange
