,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
0,http://www.wikidata.org/entity/Q1055,https://de.wikipedia.org/wiki/Hamburg,https://en.wikipedia.org/wiki/Hamburg,Point(10.0 53.55),0.057,53.55,10.0,228,http://www.wikidata.org/entity/Q1221156,Hamburg,federated state of Germany,S,red
2,http://www.wikidata.org/entity/Q131478,https://de.wikipedia.org/wiki/Der_Spiegel,https://en.wikipedia.org/wiki/Der_Spiegel,Point(9.997749 53.546966),0.421,53.546966,9.997749,64,http://www.wikidata.org/entity/Q41298,Der Spiegel,magazine,S,red
3,http://www.wikidata.org/entity/Q156725,https://de.wikipedia.org/wiki/Universit%C3%A4t_Hamburg,https://en.wikipedia.org/wiki/University_of_Hamburg,Point(9.984776342 53.565651296),1.999,53.565651296878,9.984776342439,57,http://www.wikidata.org/entity/Q875538,University of Hamburg,public university,S,red
6,http://www.wikidata.org/entity/Q150933,https://de.wikipedia.org/wiki/Volksparkstadion,https://en.wikipedia.org/wiki/Volksparkstadion,Point(9.898611 53.586944),7.872,53.586944,9.898611,52,http://www.wikidata.org/entity/Q483110,Volksparkstadion,stadium,S,red
8,http://www.wikidata.org/entity/Q27706,https://de.wikipedia.org/wiki/Flughafen_Hamburg,https://en.wikipedia.org/wiki/Hamburg_Airport,Point(9.988227777 53.630388888),8.938,53.630388888889,9.9882277777778,51,http://www.wikidata.org/entity/Q644371,Hamburg Airport,international airport,S,red
10,http://www.wikidata.org/entity/Q1630,https://de.wikipedia.org/wiki/Bezirk_Altona,"https://en.wikipedia.org/wiki/Altona,_Hamburg",Point(9.9333 53.55),4.45,53.55,9.9333,41,http://www.wikidata.org/entity/Q278976,Altona,borough of Hamburg,S,red
11,http://www.wikidata.org/entity/Q503893,https://de.wikipedia.org/wiki/Schenefeld_(Kreis_Pinneberg),"https://en.wikipedia.org/wiki/Schenefeld,_Pinneberg",Point(9.823333333 53.602777777),13.078,53.602777777778,9.8233333333333,40,http://www.wikidata.org/entity/Q135746948,Schenefeld,Q135746948,S,red
12,http://www.wikidata.org/entity/Q661881,https://de.wikipedia.org/wiki/Speicherstadt,https://en.wikipedia.org/wiki/Speicherstadt,Point(9.99194444 53.54333333),0.969,53.54333333,9.99194444,40,http://www.wikidata.org/entity/Q1497375,Speicherstadt,architectural ensemble,S,red
14,http://www.wikidata.org/entity/Q673223,https://de.wikipedia.org/wiki/Elbphilharmonie,https://en.wikipedia.org/wiki/Elbphilharmonie,Point(9.98419444 53.54141667),1.472,53.54141667,9.98419444,40,http://www.wikidata.org/entity/Q1060829,Elbphilharmonie,concert hall,S,red
17,http://www.wikidata.org/entity/Q542824,https://de.wikipedia.org/wiki/Halstenbek,https://en.wikipedia.org/wiki/Halstenbek,Point(9.8372 53.6334),14.2,53.6334,9.8372,38,http://www.wikidata.org/entity/Q116457956,Halstenbek,municipality without town privileges in Germany,S,red
20,http://www.wikidata.org/entity/Q574193,https://de.wikipedia.org/wiki/Ellerbek,https://en.wikipedia.org/wiki/Ellerbek,Point(9.869722222 53.657222222),14.692,53.657222222222,9.8697222222222,36,http://www.wikidata.org/entity/Q116457956,Ellerbek,municipality without town privileges in Germany,S,red
21,http://www.wikidata.org/entity/Q542783,https://de.wikipedia.org/wiki/Chilehaus,https://en.wikipedia.org/wiki/Chilehaus,Point(10.0016 53.5482),0.246,53.5482,10.0016,35,http://www.wikidata.org/entity/Q1021645,Chilehaus,office building,S,red
22,http://www.wikidata.org/entity/Q169542,https://de.wikipedia.org/wiki/Hamburger_Kunsthalle,https://en.wikipedia.org/wiki/Hamburger_Kunsthalle,Point(10.003055555 53.555),0.542,53.555,10.003055555556,34,http://www.wikidata.org/entity/Q207694,Hamburger Kunsthalle,art museum,S,red
24,http://www.wikidata.org/entity/Q629424,https://de.wikipedia.org/wiki/Barsb%C3%BCttel,https://en.wikipedia.org/wiki/Barsb%C3%BCttel,Point(10.166666666 53.566666666),11.114,53.566666666667,10.166666666667,34,http://www.wikidata.org/entity/Q116457956,Barsbüttel,municipality without town privileges in Germany,S,red
26,http://www.wikidata.org/entity/Q1683524,https://de.wikipedia.org/wiki/K%C3%BChne_Logistics_University,https://en.wikipedia.org/wiki/K%C3%BChne_Logistics_University,Point(10.001425 53.544966),0.6,53.544966,10.001425,34,http://www.wikidata.org/entity/Q902104,Kühne Logistics University,private university,S,red
28,http://www.wikidata.org/entity/Q574242,https://de.wikipedia.org/wiki/B%C3%B6nningstedt,https://en.wikipedia.org/wiki/B%C3%B6nningstedt,Point(9.906388888 53.665833333),14.268,53.665833333333,9.9063888888889,34,http://www.wikidata.org/entity/Q116457956,Bönningstedt,municipality without town privileges in Germany,S,red
29,http://www.wikidata.org/entity/Q3964,https://de.wikipedia.org/wiki/Hamburger_Hafen,https://en.wikipedia.org/wiki/Port_of_Hamburg,Point(9.98277778 53.54),1.648,53.54,9.98277778,34,http://www.wikidata.org/entity/Q15310171,Port of Hamburg,seaport,S,red
30,http://www.wikidata.org/entity/Q1556,https://de.wikipedia.org/wiki/Hamburg-St._Pauli,https://en.wikipedia.org/wiki/St._Pauli,Point(9.963888888 53.556944444),2.537,53.556944444444,9.9638888888889,34,http://www.wikidata.org/entity/Q15830667,St. Pauli,quarter of Hamburg,S,red
31,http://www.wikidata.org/entity/Q560887,https://de.wikipedia.org/wiki/Oststeinbek,https://en.wikipedia.org/wiki/Oststeinbek,Point(10.166388888 53.544166666),10.971,53.544166666667,10.166388888889,33,http://www.wikidata.org/entity/Q116457956,Oststeinbek,municipality without town privileges in Germany,S,red
32,http://www.wikidata.org/entity/Q1219,https://de.wikipedia.org/wiki/Alster,https://en.wikipedia.org/wiki/Alster,Point(9.9837 53.5445),1.295,53.7636,10.0048,33,http://www.wikidata.org/entity/Q4022,Alster,river,S,red
34,http://www.wikidata.org/entity/Q316868,https://de.wikipedia.org/wiki/Operation_Gomorrha,https://en.wikipedia.org/wiki/Bombing_of_Hamburg_in_World_War_II,Point(9.99333 53.5506),0.485,53.5506,9.99333,31,http://www.wikidata.org/entity/Q4688003,Bombing of Hamburg in World War II,aerial bombing of a city,S,red
35,http://www.wikidata.org/entity/Q425622,https://de.wikipedia.org/wiki/Ehemalige_Hauptkirche_St._Nikolai_(Hamburg),"https://en.wikipedia.org/wiki/St._Nicholas_Church,_Hamburg",Point(9.990555555 53.5475),0.738,53.5475,9.9905555555556,30,http://www.wikidata.org/entity/Q1885014,"St. Nicholas Church, Hamburg",cautionary memorial,S,red
