,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
79,https://www.atlasobscura.com/places/st-nicholas-church-3,53.54746,9.99103,"
St. Nicholas' Church
","
Once the tallest building in the world, this abandoned church is now a monument to the destruction of WWII.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.54746, 9.99103)"
101,https://www.atlasobscura.com/places/blankenese-shipwrecks,53.558889,9.788056,"
Blankenese Shipwrecks
","
Remnants of an exploded schooner and wrecked submarines form a breakwater.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.558889, 9.788056)"
108,https://www.atlasobscura.com/places/st-pauli-elbtunnel,53.54599,9.966579,"
St. Pauli Elbtunnel
","
Hamburgers are intensely proud of their tunnel beneath the river.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.54599, 9.966579)"
151,https://www.atlasobscura.com/places/museum-of-medical-history-hamburg,53.593742,9.976921,"
Museum of Medical History Hamburg 
","
Wax models of disease and deformity are on display at this German medical museum.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.593742, 9.976921)"
153,https://www.atlasobscura.com/places/harrys-harbor-bazaar,53.542246,9.987669,"
Harry’s Harbor Bazaar
","
A wunderkammer of exoticism immortalized by Tom Waits.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.542246, 9.987669)"
160,https://www.atlasobscura.com/places/miniatur-wunderland,53.543908,9.98839,"
Miniatur Wunderland
","
Model Trains and Much More in Hamburg.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.543908, 9.98839)"
165,https://www.atlasobscura.com/places/impaled-skull-of-klaus-stortebeker-pirate-walking-corpse,53.551294,9.973817,"
Impaled Skull of Klaus Stortebeker
","
Executed in 1401, Exhumed in 1878, Stolen in 2010.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.551294, 9.973817)"
209,https://www.atlasobscura.com/places/german-food-additives-museum,53.5408,10.021191,"
German Food Additives Museum
","
A fascinating little museum dedicated to the thousands of chemical substances concealed in our food.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.5408, 10.021191)"
232,https://www.atlasobscura.com/places/rote-flora,53.562085,9.961457,"
Rote Flora
","
This contentious squat has stood through fire, violence, and government intervention as a hotbed of leftist protest.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.562085, 9.961457)"
281,https://www.atlasobscura.com/places/walderhaus,53.495678,10.003319,"
Wälderhaus
","
This wooden hotel is a temple to German sustainability and forest conservation.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.495678, 10.003319)"
302,https://www.atlasobscura.com/places/herbertstrasse,53.548092,9.962677,"
Herbertstraße
","
Hamburg's first legal sex work is relegated to a gated street that still does not allow pedestrian women.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.548092, 9.962677)"
320,https://www.atlasobscura.com/places/oberhafenkantine,53.5446,10.006863,"
Oberhafen-Kantine
","
This dockworkers' lunch joint has been left leaning by a century of storm floods.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.5446, 10.006863)"
349,https://www.atlasobscura.com/places/hall-of-fame-heimfeld,53.469529,9.970843,"
Hall of Fame Heimfeld
","
One of the largest legal spray spots in Hamburg.
",atlas_obscura,gold,,,,,,,,,,,,,"(53.469529, 9.970843)"
10,,54.3172664,8.6254937,Sankt Peter-Ording,"'''Sankt Peter-Ording''' — Germany's most popular tourist destination by the sea. Features a broad surfer's beach and stilt houses. Easily accessible by car (Autobahn 23, about 120&nbsp;km) and [http://reiseauskunft.bahn.de/bin/query.exe/en?S=Hamburg&Z=Bad%20St%20Peter-Ording train]{{Dead link|date=January 2025 |bot=InternetArchiveBot }}.",wikivoyage,red,,,Go next,"(54.3172664, 8.6254937)",,,,,,,,,"(54.3172664, 8.6254937)"
9,,53.6736529,10.2358999,Ahrensburg,"'''Ahrensburg''' — Northeastern suburb <!--that being the operative term, I wonder if we can't better deal with this place within Hamburg or as a district of the city...--> of Hamburg, situated in Stormarn district. Its outstanding sight is the Renaissance castle dating from 1595. Ahrensburg is easily accessible by car and train (Hamburg public transport).",wikivoyage,red,,,Go next,"(53.6736529, 10.2358999)",,,,,,,,,"(53.6736529, 10.2358999)"
8,,53.599794,9.475438,Stade,"'''Altes Land''' — The region is the biggest connected fruit growing area of Central Europe and one of the furthest north in the world. The main product grown in this area is apples in astounding variety. Altes Land is an area of marshland south of the river Elbe in Hamburg and Lower Saxony around the old towns of Stade, Buxtehude, and Jork. A characteristic feature is the richly-decorated farmhouses with their elaborate gateways.",wikivoyage,red,,,Go next,"(53.599794, 9.475438)",,,,,,,,,"(53.599794, 9.475438)"
7,,53.939609,10.8587192,Travemünde,"'''Travemünde''' – The old town at the Baltic Sea maintained its sleepy character despite the fact that at weekends there are loads of tourists. It also serves as the port of Lübeck and has done so since the Middle Ages. There are various connections throughout the Baltic, as well as cruises that leave from this port",wikivoyage,red,,,Go next,"(53.939609, 10.8587192)",,,,,,,,,"(53.939609, 10.8587192)"
