,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
382,,39.71915,-104.93609,Cranmer Park,,C,yellow,,,urban park,,Point(-104.935 39.719444),4.798,http://www.wikidata.org/entity/Q5182219,2.0,,,https://en.wikipedia.org/wiki/Cranmer_Park,http://www.wikidata.org/entity/Q22746,"('39.71915', '-104.93609')"
386,,39.7597,-105.098,Crown Hill Park,,C,yellow,,,county park,,Point(-105.098 39.7597),9.936,http://www.wikidata.org/entity/Q5189373,2.0,,,https://en.wikipedia.org/wiki/Crown_Hill_Park,http://www.wikidata.org/entity/Q5177940,"('39.7597', '-105.098')"
390,,39.6815,-104.963,DU Stadium,,C,yellow,,,stadium,,Point(-104.963 39.6815),6.686,http://www.wikidata.org/entity/Q5206333,2.0,,,https://en.wikipedia.org/wiki/DU_Stadium,http://www.wikidata.org/entity/Q483110,"('39.6815', '-104.963')"
391,,39.68195,-104.961849,Daniel L. Ritchie Center,,C,yellow,,,sports venue,,Point(-104.961849 39.68195),6.667,http://www.wikidata.org/entity/Q5217851,2.0,,,https://en.wikipedia.org/wiki/Ritchie_Center,http://www.wikidata.org/entity/Q1076486,"('39.68195', '-104.961849')"
394,,39.741667,-104.993056,Denver Athletic Club,,C,yellow,,,sports club,,Point(-104.993056 39.741667),0.751,http://www.wikidata.org/entity/Q5259673,2.0,,,https://en.wikipedia.org/wiki/Denver_Athletic_Club,http://www.wikidata.org/entity/Q847017,"('39.741667', '-104.993056')"
406,,39.744623,-104.998476,Denver Center for the Performing Arts,,C,yellow,,,nonprofit organization,,Point(-104.998476 39.744623),1.309,http://www.wikidata.org/entity/Q5259689,2.0,,,https://en.wikipedia.org/wiki/Denver_Center_for_the_Performing_Arts,http://www.wikidata.org/entity/Q163740,"('39.744623', '-104.998476')"
408,,39.750533,-104.993814,Denver City Cable Railway Building,,C,yellow,,,commercial building,,Point(-104.993814 39.750533),1.471,http://www.wikidata.org/entity/Q5259693,2.0,,,https://en.wikipedia.org/wiki/Denver_City_Cable_Railway_Building,http://www.wikidata.org/entity/Q655686,"('39.750533', '-104.993814')"
409,,39.7449,-104.993,Denver Dry Goods Company Building,,C,yellow,,,department store,,Point(-104.993 39.7449),0.938,http://www.wikidata.org/entity/Q5259714,2.0,,,https://en.wikipedia.org/wiki/Denver_Dry_Goods_Company_Building,http://www.wikidata.org/entity/Q216107,"('39.7449', '-104.993')"
410,,39.740833,-104.991944,Denver Firefighters Museum,,C,yellow,,,firefighting museum,,Point(-104.991944 39.740833),0.631,http://www.wikidata.org/entity/Q5259725,2.0,,,https://en.wikipedia.org/wiki/Denver_Firefighters_Museum,http://www.wikidata.org/entity/Q11786880,"('39.740833', '-104.991944')"
413,,39.7544,-105.004,Denver Millennium Bridge,,C,yellow,,,footbridge,,Point(-105.004 39.7544),2.349,http://www.wikidata.org/entity/Q5259745,2.0,,,https://en.wikipedia.org/wiki/Denver_Millennium_Bridge,http://www.wikidata.org/entity/Q1068842,"('39.7544', '-105.004')"
414,,39.749166666667,-104.99194444444,Denver Place,,C,yellow,,,skyscraper,,Point(-104.991944444 39.749166666),1.259,http://www.wikidata.org/entity/Q5259769,2.0,,,https://en.wikipedia.org/wiki/Denver_Place,http://www.wikidata.org/entity/Q11303,"('39.749166666667', '-104.99194444444')"
415,,39.6241,-104.895,Denver Technological Center,,C,yellow,,,business park,,Point(-104.895 39.6241),14.934,http://www.wikidata.org/entity/Q5259787,2.0,,,https://en.wikipedia.org/wiki/Denver_Technological_Center,http://www.wikidata.org/entity/Q338313,"('39.6241', '-104.895')"
416,,39.7355,-105.00988,Denver Water,,C,yellow,,,water utility,,Point(-105.00988 39.7355),2.179,http://www.wikidata.org/entity/Q5259799,2.0,,,https://en.wikipedia.org/wiki/Denver_Water,http://www.wikidata.org/entity/Q7258040,"('39.7355', '-105.00988')"
417,,39.751,-104.9942,Denver Tramway,,C,yellow,,,tram system,,Point(-104.9942 39.751),1.532,http://www.wikidata.org/entity/Q5259796,2.0,,,https://en.wikipedia.org/wiki/Denver_Tramway,http://www.wikidata.org/entity/Q15640053,"('39.751', '-104.9942')"
