,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
54,https://www.atlasobscura.com/places/orient-express-museum-at-sirkeci-terminal,41.015237,28.977123,Istanbul Railway Museum at Sirkeci Terminal,The legendary luxury train passage is commemorated with a charming museum inside its former eastern terminus.,atlas_obscura,gold,,,,,,,,,,,,,"(41.015237, 28.977123)"
55,https://www.atlasobscura.com/places/beylerbeyi-palace,41.043,29.04,Beylerbeyi Palace,This former Imperial summer home was the venue for a royal slap that once echoed 'round the world.,atlas_obscura,gold,,,,,,,,,,,,,"(41.043, 29.04)"
57,https://www.atlasobscura.com/places/museum-of-energy,41.066406,28.94668,Museum of Energy,This shuttered power plant is now Turkey's first industrial archaeology museum.,atlas_obscura,gold,,,,,,,,,,,,,"(41.066406, 28.94668)"
59,https://www.atlasobscura.com/places/theodosian-wall-stone-ladder,41.031442,28.933987,Theodosian Wall Stone Ladder,Climb a set of vertiginous stone steps to the top of this impressive ancient edifice.,atlas_obscura,gold,,,,,,,,,,,,,"(41.031442, 28.933987)"
61,https://www.atlasobscura.com/places/pera-palace-hotel,41.03114,28.973635,Pera Palace Hotel,This historic hotel preserves many treasures from its heyday hosting passengers on the Orient Express.,atlas_obscura,gold,,,,,,,,,,,,,"(41.03114, 28.973635)"
67,https://www.atlasobscura.com/places/yeralti-camii-underground-mosque,41.022533,28.976539,Yeralti Camii (Underground Mosque),A surprising and unconventional mosque hidden in the subsoil of Istanbul.,atlas_obscura,gold,,,,,,,,,,,,,"(41.022533, 28.976539)"
79,https://www.atlasobscura.com/places/bar-at-biz-istanbul,41.036636,28.987797,Bar at Biz Istanbul,Eat your way through history.,atlas_obscura,gold,,,,,,,,,,,,,"(41.036636, 28.987797)"
81,https://www.atlasobscura.com/places/kanaat-lokantasi-istanbul,41.025849,29.01651,Kanaat Lokantasi,This family-owned canteen has been selling goat milk ice cream since 1933.,atlas_obscura,gold,,,,,,,,,,,,,"(41.025849, 29.01651)"
83,https://www.atlasobscura.com/places/taksim-mosque,41.036949,28.984136,Taksim Mosque,One of the newest mosques in a city filled with thousands.,atlas_obscura,gold,,,,,,,,,,,,,"(41.036949, 28.984136)"
84,https://www.atlasobscura.com/places/siirt-seref-buryan-istanbul,41.017211,28.95338,Siirt Şeref Büryan,"Come for the whole sides of slow-roasted lamb, stay for the regional Kurdish specialties.",atlas_obscura,gold,,,,,,,,,,,,,"(41.017211, 28.95338)"
85,https://www.atlasobscura.com/places/baris-manco-house-and-museum,40.981824,29.024992,Baris Manco House and Museum,"The home-turned-museum of Barış Manço, the mustachioed Turkish Elvis for children.",atlas_obscura,gold,,,,,,,,,,,,,"(40.981824, 29.024992)"
