,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,item,articleDE,articleEN,location,distance,sitelinks,thing,to_drop_key
1,,25.2967186,79.86167668611111,Kirat Sagar ,,wikivoyage,red, , ,See,An artificial lake made by the Chandela kings in the 11th century. ,"(25.2967186, 79.86167668611111)",,,,,,,,"(25.2967186, 79.86167668611111)"
0,,0.0,0.0,Kakramath ,,wikivoyage,red, , ,See,A Shiva temple made from granite and built in a Khajuraho-like architectural style. ,"(0, 0)",,,,,,,,"(0.0, 0.0)"
0,,25.3063687,79.8502763,Mahoba Junction railway station ,,wikivoyage,red, , ,Get in,,"(25.3063687, 79.8502763)",,,,,,,,"(25.3063687, 79.8502763)"
0,,25.319,79.641,Kulpahar,,S,orange,,,Nagar Panchayat,,,http://www.wikidata.org/entity/Q1393339,https://de.wikipedia.org/wiki/Kulpahar,https://en.wikipedia.org/wiki/Kulpahar,Point(79.641 25.319),8.069,21.0,http://www.wikidata.org/entity/Q2322432,"('25.319', '79.641')"
2,,25.4,79.75,Charkhari,,S,orange,,,human settlement,,,http://www.wikidata.org/entity/Q886602,https://de.wikipedia.org/wiki/Charkhari,https://en.wikipedia.org/wiki/Charkhari,Point(79.75 25.4),6.145,20.0,http://www.wikidata.org/entity/Q486972,"('25.4', '79.75')"
3,,25.43,79.71,"Niwari, Madhya Pradesh",,A,green,,,human settlement,,,http://www.wikidata.org/entity/Q2720072,,"https://en.wikipedia.org/wiki/Niwari,_Madhya_Pradesh",Point(79.71 25.43),7.617,19.0,http://www.wikidata.org/entity/Q486972,"('25.43', '79.71')"
5,,25.260686111111,79.662722222222,"Rawatpura, Kulpahar",,C,yellow,,,Village in India,,,http://www.wikidata.org/entity/Q7296951,,"https://en.wikipedia.org/wiki/Rawatpura,_Kulpahar",Point(79.662722222 25.260686111),12.034,3.0,http://www.wikidata.org/entity/Q56436498,"('25.260686111111', '79.662722222222')"
6,,25.365833333333,79.591111111111,Belāsāgar Canal,,D,blue,,,canal,,,http://www.wikidata.org/entity/Q26806710,,,Point(79.591111111 25.365833333),11.554,1.0,http://www.wikidata.org/entity/Q12284,"('25.365833333333', '79.591111111111')"
7,,25.332222222222,79.565,Churāri Minor,,D,blue,,,canal,,,http://www.wikidata.org/entity/Q26806711,,,Point(79.565 25.332222222),14.541,1.0,http://www.wikidata.org/entity/Q12284,"('25.332222222222', '79.565')"
8,,25.389444444444,79.646111111111,Q26806715,,D,blue,,,hill,,,http://www.wikidata.org/entity/Q26806715,,,Point(79.646111111 25.389444444),6.768,1.0,http://www.wikidata.org/entity/Q54050,"('25.389444444444', '79.646111111111')"
