,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
0,Mahoba Junction railway station ,25.3063687,79.8502763, , ,Get in,,"(25.3063687, 79.8502763)",wikivoyage,red
0,Kakramath ,0.0,0.0, , ,See,A Shiva temple made from granite and built in a Khajuraho-like architectural style. ,"(0, 0)",wikivoyage,red
1,Kirat Sagar ,25.2967186,79.86167668611111, , ,See,An artificial lake made by the Chandela kings in the 11th century. ,"(25.2967186, 79.86167668611111)",wikivoyage,red
