,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,thing,articleEN,to_drop_key
120,https://www.atlasobscura.com/places/nuremberg-castle,49.45808,11.075834,"
Nuremberg Castle
","
A castle from the Holy Roman Empire that hosts traveling youth... in its stables.
",atlas_obscura,gold,,,,,,,,,,,,,"(49.45808, 11.075834)"
139,https://www.atlasobscura.com/places/the-kongresshalle-nuremberg-nuremberg-germany,49.434143,11.111125,"
The Kongresshalle, Nuremberg
","
This abandoned coliseum was intended to be a grand Nazi rallying ground before it was halted at the end of the war.
",atlas_obscura,gold,,,,,,,,,,,,,"(49.434143, 11.111125)"
195,https://www.atlasobscura.com/places/ehekarussell,49.450553,11.070953,"
Ehekarussell
","
This lurid German fountain plots the sad course of marriage from dating to death.
",atlas_obscura,gold,,,,,,,,,,,,,"(49.450553, 11.070953)"
324,https://www.atlasobscura.com/places/nuremberg-toy-museum,49.454627,11.074437,"
Nuremberg Toy Museum
","
This historic toy museum brings a little whimsy to a city not usually remembered for such things.
",atlas_obscura,gold,,,,,,,,,,,,,"(49.454627, 11.074437)"
333,https://www.atlasobscura.com/places/henkerhaus,49.453289,11.073317,"
Henkerhaus
","
Nestled on the banks of a river in Nuremberg is a small museum that was once home of the city's official executioner.
",atlas_obscura,gold,,,,,,,,,,,,,"(49.453289, 11.073317)"
347,https://www.atlasobscura.com/places/historischer-kunstbunker,49.45744,11.074888,"
Historischer Kunstbunker
","
During World War II, the Nazis repurposed this beer cellar to store stolen artwork.
",atlas_obscura,gold,,,,,,,,,,,,,"(49.45744, 11.074888)"
4,,48.2592477,11.4354419,Dachau,Dachau - was the site of the Third Reich's first concentration camp.,wikivoyage,red,,,Go next,"(48.2592477, 11.4354419)",,,,,,,,,"(48.2592477, 11.4354419)"
3,,49.0195333,12.0974869,Regensburg,"Regensburg - astride the Danube and still showing traces of its Roman founders, the city sights reflect its status as a former capital of Bavaria.",wikivoyage,red,,,Go next,"(49.0195333, 12.0974869)",,,,,,,,,"(49.0195333, 12.0974869)"
2,,48.7630165,11.4250395,Ingolstadt,"Ingolstadt - is packed with medieval, Renaissance and baroque architecture.",wikivoyage,red,,,Go next,"(48.7630165, 11.4250395)",,,,,,,,,"(48.7630165, 11.4250395)"
1,,49.9446345,11.5743543,Bayreuth,"Bayreuth - even if you don't care for opera, admire its baroque centre and collection of palaces. Tickets for the annual Wagner Opera Festival get snapped up months in advance.",wikivoyage,red,,,Go next,"(49.9446345, 11.5743543)",,,,,,,,,"(49.9446345, 11.5743543)"
0,,49.8916044,10.8868478,Bamberg,"Bamberg - once an ecclesiastical centre, the entire town is a UNESCO World Heritage site for its original Romanesque buildings, which survived the war. Its beer is also famous.",wikivoyage,red,,,Go next,"(49.8916044, 10.8868478)",,,,,,,,,"(49.8916044, 10.8868478)"
3,,49.3290521,11.0207677,Schwabach,Schwabach - pleasant old town centre.,wikivoyage,red,,,Go next,"(49.3290521, 11.0207677)",,,,,,,,,"(49.3290521, 11.0207677)"
2,,49.5891571,10.9812072,Erlangen,"Erlangen - University town with a remarkable collection of museums and early modern architecture (and, of course, bicycles cranked by earnest young men and women). It's also a company town, dominated by Siemens, and has a big Pentecost festival ''Bergkirchweih''.",wikivoyage,red,,,Go next,"(49.5891571, 10.9812072)",,,,,,,,,"(49.5891571, 10.9812072)"
1,,49.4141818,11.0153478,Stein (Mittelfranken),'''Faber Castle''' (as in Faber-Castell pencils; their factory is here) is in the small town of Stein (Mittelfranken).,wikivoyage,red,,,Go next,"(49.4141818, 11.0153478)",,,,,,,,,"(49.4141818, 11.0153478)"
0,,49.4885711,10.9587203,Fürth,"Fürth - just 5 km west, this has charming medieval streets, a Jewish museum and a radio museum.",wikivoyage,red,,,Go next,"(49.4885711, 10.9587203)",,,,,,,,,"(49.4885711, 10.9587203)"
0,,49.39657,11.17391,Landgasthof Hotel Gentner ,"Has a Bavarian restaurant ""Johanns Wirtshaus im Gentner"" onsite.",wikivoyage,red,Bregenzer Straße 31,https://landgasthof-hotel-gentner.de/ ,Sleep_Splurge,"(49.39657, 11.17391)",,,,,,,,,"(49.39657, 11.17391)"
0,,49.442963,11.095843,Hotel St. Peter ,Family-run hotel.,wikivoyage,red,Harsdörffer Str. 30 ,http://hotel-st-peter.de ,Sleep_Mid-range_South of the Old City,"(49.442963, 11.095843)",,,,,,,,,"(49.442963, 11.095843)"
4,,49.45072,11.02911,Hotel Kennedy ,"Very basic hotel in the west of Nuremberg, with a slightly unfortunate location in the middle of a commercial zone. It's a 15-minute walk from {{rint",wikivoyage,red,Leyher Str. 52 , ,Sleep_Mid-range_North of the Old City,"(49.45072, 11.02911)",,,,,,,,,"(49.45072, 11.02911)"
3,,49.462495,11.021307,Hotel Metropol Nürnberg ,Budget hotel. Spacious room with private facilities. Buffet breakfast with wide range of foods. Wi-Fi €1 per hour. Free street parking.,wikivoyage,red,"Fürtherstraße 338, Weststadt ", ,Sleep_Mid-range_North of the Old City,"(49.462495, 11.021307)",,,,,,,,,"(49.462495, 11.021307)"
