,item,articleDE,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,articleEN,tier,color
0,http://www.wikidata.org/entity/Q3075,https://de.wikipedia.org/wiki/F%C3%BCrth,Point(10.990277777 49.478333333),6.851,49.478333333333,10.990277777778,96,http://www.wikidata.org/entity/Q253030,Fürth,major regional center,https://en.wikipedia.org/wiki/F%C3%BCrth,S,orange
1,http://www.wikidata.org/entity/Q80130,https://de.wikipedia.org/wiki/N%C3%BCrnberger_Prozess_gegen_die_Hauptkriegsverbrecher,Point(11.048333333 49.454444444),2.095,49.454444444444,11.048333333333,88,http://www.wikidata.org/entity/Q1265353,Nuremberg trials,war crimes trial,https://en.wikipedia.org/wiki/Nuremberg_trials,S,orange
2,http://www.wikidata.org/entity/Q72977,https://de.wikipedia.org/wiki/Zirndorf,Point(10.95 49.45),9.212,49.45,10.95,45,http://www.wikidata.org/entity/Q134626,Zirndorf,district capital,https://en.wikipedia.org/wiki/Zirndorf,S,orange
3,http://www.wikidata.org/entity/Q152599,https://de.wikipedia.org/wiki/Max-Morlock-Stadion,Point(11.125617009 49.426240624),4.652,49.42624062489,11.125617009146,41,http://www.wikidata.org/entity/Q1154710,Max-Morlock-Stadion,association football venue,https://en.wikipedia.org/wiki/Max-Morlock-Stadion,S,orange
4,http://www.wikidata.org/entity/Q512293,https://de.wikipedia.org/wiki/Feucht_(Mittelfranken),Point(11.213055555 49.375833333),13.105,49.375833333333,11.213055555556,41,http://www.wikidata.org/entity/Q100341898,Feucht,market municipality of Germany,https://en.wikipedia.org/wiki/Feucht,S,orange
6,http://www.wikidata.org/entity/Q522236,https://de.wikipedia.org/wiki/Wendelstein_(Mittelfranken),Point(11.148333333 49.353611111),12.276,49.353611111111,11.148333333333,38,http://www.wikidata.org/entity/Q100341898,Wendelstein,market municipality of Germany,"https://en.wikipedia.org/wiki/Wendelstein,_Bavaria",S,orange
8,http://www.wikidata.org/entity/Q73542,https://de.wikipedia.org/wiki/Heroldsberg,Point(11.15 49.533333333),10.278,49.533333333333,11.15,37,http://www.wikidata.org/entity/Q100341898,Heroldsberg,market municipality of Germany,https://en.wikipedia.org/wiki/Heroldsberg,S,orange
10,http://www.wikidata.org/entity/Q524234,https://de.wikipedia.org/wiki/Veitsbronn,Point(10.889444444 49.510833333),14.975,49.510833333333,10.889444444444,37,http://www.wikidata.org/entity/Q116457956,Veitsbronn,municipality without town privileges in Germany,https://en.wikipedia.org/wiki/Veitsbronn,S,orange
11,http://www.wikidata.org/entity/Q521007,https://de.wikipedia.org/wiki/Obermichelbach,Point(10.91 49.530833333),14.806,49.530833333333,10.91,37,http://www.wikidata.org/entity/Q116457956,Obermichelbach,municipality without town privileges in Germany,https://en.wikipedia.org/wiki/Obermichelbach,S,orange
12,http://www.wikidata.org/entity/Q265994,https://de.wikipedia.org/wiki/Flughafen_N%C3%BCrnberg,Point(11.078008333 49.4987),4.985,49.4987,11.078008333333,36,http://www.wikidata.org/entity/Q21836433,Nuremberg Airport,commercial airport,https://en.wikipedia.org/wiki/Nuremberg_Airport,S,orange
13,http://www.wikidata.org/entity/Q163880,https://de.wikipedia.org/wiki/Pegnitz_(Fluss),Point(10.9867 49.4867),7.495,49.7582,11.5377,36,http://www.wikidata.org/entity/Q355304,Pegnitz,watercourse,https://en.wikipedia.org/wiki/Pegnitz_(river),S,orange
17,http://www.wikidata.org/entity/Q160721,https://de.wikipedia.org/wiki/N%C3%BCrnberger_%C3%84rzteprozess,Point(11.0485 49.4543),2.082,49.4543,11.0485,35,http://www.wikidata.org/entity/Q1265353,Nuremberg Medical Trial,war crimes trial,https://en.wikipedia.org/wiki/Doctors%27_Trial,S,orange
20,http://www.wikidata.org/entity/Q529947,https://de.wikipedia.org/wiki/R%C3%BCckersdorf_(Mittelfranken),Point(11.25 49.5),13.49,49.5,11.25,35,http://www.wikidata.org/entity/Q116457956,Rückersdorf,municipality without town privileges in Germany,"https://en.wikipedia.org/wiki/R%C3%BCckersdorf,_Bavaria",S,orange
