,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,ao_link,ao_description,address,url,description,fetched_coordinates
169,http://www.wikidata.org/entity/Q65117977,https://de.wikipedia.org/wiki/Thomson_Naturpark,https://en.wikipedia.org/wiki/Thomson_Nature_Park,Point(103.821074 1.386471),3.27,1.386471,103.821074,3.0,http://www.wikidata.org/entity/Q728904,Thomson Nature Park,nature park,C,yellow,,,,,,
170,http://www.wikidata.org/entity/Q30624691,,https://en.wikipedia.org/wiki/Singapore_Islamic_Hub,Point(103.852322 1.3428081),3.98,1.3428081,103.852322,3.0,http://www.wikidata.org/entity/Q41176,Singapore Islamic Hub,building,C,yellow,,,,,,
172,http://www.wikidata.org/entity/Q4754186,,https://en.wikipedia.org/wiki/Anderson_Secondary_School,Point(103.851 1.37483),4.018,1.37483,103.851,2.0,http://www.wikidata.org/entity/Q159334,Anderson Secondary School,secondary school,C,yellow,,,,,,
173,http://www.wikidata.org/entity/Q4761854,,https://en.wikipedia.org/wiki/Ang_Mo_Kio_Town_Garden_West,Point(103.8434332 1.3743688),3.281,1.3743688,103.8434332,2.0,http://www.wikidata.org/entity/Q22698,Ang Mo Kio Town Garden West,park,C,yellow,,,,,,
174,http://www.wikidata.org/entity/Q4763602,,https://en.wikipedia.org/wiki/Anglo-Chinese_School_(Barker_Road),Point(103.836 1.31969),4.547,1.31969,103.836,2.0,http://www.wikidata.org/entity/Q159334,Anglo-Chinese School (Barker Road),secondary school,C,yellow,,,,,,
177,http://www.wikidata.org/entity/Q4917333,,https://en.wikipedia.org/wiki/Bishan_Sports_Hall,Point(103.850957 1.355543),3.501,1.355543,103.850957,2.0,http://www.wikidata.org/entity/Q1076486,Bishan Sports Hall,sports venue,C,yellow,,,,,,
178,http://www.wikidata.org/entity/Q5053186,,https://en.wikipedia.org/wiki/Catholic_Junior_College,Point(103.845 1.35472),2.847,1.35472,103.845,2.0,http://www.wikidata.org/entity/Q6313528,Catholic Junior College,junior college,C,yellow,,,,,,
181,http://www.wikidata.org/entity/Q5091243,,https://en.wikipedia.org/wiki/Cheng_San,Point(103.8541381 1.3726728),4.221,1.3726728,103.8541381,2.0,http://www.wikidata.org/entity/Q50513,Cheng San,administrative territorial entity of Singapore,C,yellow,,,,,,
183,http://www.wikidata.org/entity/Q5104587,,https://en.wikipedia.org/wiki/Chong_Boon,Point(103.85581 1.363938),4.107,1.363938,103.85581,2.0,http://www.wikidata.org/entity/Q50513,Chong Boon,administrative territorial entity of Singapore,C,yellow,,,,,,
184,http://www.wikidata.org/entity/Q5118039,,https://en.wikipedia.org/wiki/Church_of_the_Risen_Christ,Point(103.8506379 1.3348795),4.253,1.3348795,103.8506379,2.0,http://www.wikidata.org/entity/Q317557,Church of the Risen Christ,parish church,C,yellow,,,,,,
185,http://www.wikidata.org/entity/Q5613706,,https://en.wikipedia.org/wiki/Guangyang_Secondary_School,Point(103.850566666 1.344694444),3.719,1.3446944444444,103.85056666667,2.0,http://www.wikidata.org/entity/Q159334,Guangyang Secondary School,secondary school,C,yellow,,,,,,
187,http://www.wikidata.org/entity/Q6429127,,https://en.wikipedia.org/wiki/Kong_Hwa_School,Point(103.845 1.35472),2.847,1.35472,103.845,2.0,http://www.wikidata.org/entity/Q9842,Kong Hwa School,primary school,C,yellow,,,,,,
189,http://www.wikidata.org/entity/Q6681539,,https://en.wikipedia.org/wiki/Lorong_Chuan,Point(103.8608 1.3496),4.666,1.3496,103.8608,2.0,http://www.wikidata.org/entity/Q50513,Lorong Chuan,administrative territorial entity of Singapore,C,yellow,,,,,,
190,http://www.wikidata.org/entity/Q6964465,,https://en.wikipedia.org/wiki/Nanyang_Girls%27_High_School,Point(103.8024 1.3305),3.516,1.3305,103.8024,2.0,http://www.wikidata.org/entity/Q9826,Nanyang Girls' High School,high school,C,yellow,,,,,,
191,http://www.wikidata.org/entity/Q6964473,,,Point(103.8078327 1.321121),4.206,1.321121,103.8078327,2.0,http://www.wikidata.org/entity/Q9842,Nanyang Primary School,primary school,C,yellow,,,,,,
193,http://www.wikidata.org/entity/Q7084749,,"https://en.wikipedia.org/wiki/Old_Police_Academy,_Singapore",Point(103.83761111 1.32975278),3.647,1.32975278,103.83761111,2.0,http://www.wikidata.org/entity/Q277845,"Old Police Academy, Singapore",police academy,C,yellow,,,,,,
195,http://www.wikidata.org/entity/Q7240775,,https://en.wikipedia.org/wiki/Presbyterian_High_School,Point(103.843 1.38303),3.89,1.38303,103.843,2.0,http://www.wikidata.org/entity/Q9826,Presbyterian High School,high school,C,yellow,,,,,,
196,http://www.wikidata.org/entity/Q7811334,,https://en.wikipedia.org/wiki/Toa_Payoh_Public_Library,Point(103.8505 1.3335),4.332,1.3335,103.8505,2.0,http://www.wikidata.org/entity/Q28564,Toa Payoh Public Library,public library,C,yellow,,,,,,
197,http://www.wikidata.org/entity/Q7811340,,https://en.wikipedia.org/wiki/Toa_Payoh_Swimming_Complex,Point(103.85 1.33049),4.5,1.33049,103.85,2.0,http://www.wikidata.org/entity/Q1076486,Toa Payoh Swimming Complex,sports venue,C,yellow,,,,,,
198,http://www.wikidata.org/entity/Q7898851,,https://en.wikipedia.org/wiki/Upper_Peirce_Reservoir_Park,Point(103.81111111 1.37291667),1.99,1.37291667,103.81111111,2.0,http://www.wikidata.org/entity/Q22698,Upper Peirce Reservoir Park,park,C,yellow,,,,,,
201,http://www.wikidata.org/entity/Q20651870,,https://en.wikipedia.org/wiki/Singapore_Korean_International_School,Point(103.7905473 1.345654),3.461,1.345654,103.7905473,2.0,http://www.wikidata.org/entity/Q572835,Singapore Korean International School,international school,C,yellow,,,,,,
202,http://www.wikidata.org/entity/Q24401075,,https://en.wikipedia.org/wiki/Seletar_Bus_Depot,Point(103.84064 1.39318),4.649,1.39318,103.84064,2.0,http://www.wikidata.org/entity/Q1191753,Seletar Bus Depot,bus depot,C,yellow,,,,,,
204,http://www.wikidata.org/entity/Q28403800,,https://en.wikipedia.org/wiki/Hindhede_Nature_Park,Point(103.7758 1.34874),4.946,1.34874,103.7758,2.0,http://www.wikidata.org/entity/Q22698,Hindhede Nature Park,park,C,yellow,,,,,,
206,http://www.wikidata.org/entity/Q47482412,,https://en.wikipedia.org/wiki/96.3_Hao_FM,Point(103.8463687 1.3431067),3.368,1.3431067,103.8463687,2.0,http://www.wikidata.org/entity/Q14350,96.3 Hao FM,radio station,C,yellow,,,,,,
207,http://www.wikidata.org/entity/Q65118363,,https://en.wikipedia.org/wiki/Eco-Link@BKE,Point(103.78356 1.356661),3.995,1.356661,103.78356,2.0,http://www.wikidata.org/entity/Q864912,Eco-Link@BKE,wildlife corridor,C,yellow,,,,,,
210,http://www.wikidata.org/entity/Q105359408,,https://en.wikipedia.org/wiki/Burmese_Buddhist_Temple_(Singapore),Point(103.846872222 1.328416666),4.409,1.3284166666667,103.84687222222,2.0,http://www.wikidata.org/entity/Q5393308,Burmese Buddhist Temple,Buddhist temple,C,yellow,,,,,,
211,http://www.wikidata.org/entity/Q123111983,,https://en.wikipedia.org/wiki/Rifle_Range_Nature_Park,Point(103.781717779 1.344625428),4.423,1.3446254282792,103.7817177791,2.0,http://www.wikidata.org/entity/Q618123,Rifle Range Nature Park,geographical feature,C,yellow,,,,,,
214,http://www.wikidata.org/entity/Q4696500,,https://en.wikipedia.org/wiki/Ai_Tong_School,Point(103.833 1.36056),1.549,1.36056,103.833,1.0,http://www.wikidata.org/entity/Q9842,Ai Tong School,primary school,D,blue,,,,,,
215,http://www.wikidata.org/entity/Q4761847,,https://en.wikipedia.org/wiki/Ang_Mo_Kio_Police_Division,Point(103.845047222 1.384919444),4.199,1.3849194444444,103.84504722222,1.0,http://www.wikidata.org/entity/Q3394138,Ang Mo Kio Police Division,police division,D,blue,,,,,,
216,http://www.wikidata.org/entity/Q4761848,,https://en.wikipedia.org/wiki/Ang_Mo_Kio_Secondary_School,Point(103.843 1.36781),2.871,1.36781,103.843,1.0,http://www.wikidata.org/entity/Q159334,Ang Mo Kio Secondary School,secondary school,D,blue,,,,,,
217,http://www.wikidata.org/entity/Q4829309,,https://en.wikipedia.org/wiki/Avondale_Grammar_School_Singapore,Point(103.85 1.335),4.188,1.335,103.85,1.0,http://www.wikidata.org/entity/Q423208,Avondale Grammar School Singapore,private school,D,blue,,,,,,
219,http://www.wikidata.org/entity/Q4877314,,https://en.wikipedia.org/wiki/Beatty_Secondary_School,Point(103.852 1.34207),3.981,1.34207,103.852,1.0,http://www.wikidata.org/entity/Q159334,Beatty Secondary School,secondary school,D,blue,,,,,,
223,http://www.wikidata.org/entity/Q5011153,,https://en.wikipedia.org/wiki/CHIJ_Saint_Nicholas_Girls%27_School,Point(103.8343 1.3737),2.472,1.3737,103.8343,1.0,http://www.wikidata.org/entity/Q159334,CHIJ Saint Nicholas Girls' School,secondary school,D,blue,,,,,,
225,http://www.wikidata.org/entity/Q5011156,,https://en.wikipedia.org/wiki/CHIJ_Secondary_(Toa_Payoh),Point(103.8428 1.3323),3.784,1.3323,103.8428,1.0,http://www.wikidata.org/entity/Q159334,CHIJ Secondary,secondary school,D,blue,,,,,,
226,http://www.wikidata.org/entity/Q5018991,,https://en.wikipedia.org/wiki/Caldecott_Hill,Point(103.835 1.336669444),2.852,1.3366694444444,103.835,1.0,http://www.wikidata.org/entity/Q82794,Caldecott Hill,geographic region,D,blue,,,,,,
227,http://www.wikidata.org/entity/Q5104588,,https://en.wikipedia.org/wiki/Chong_Boon_Secondary_School,Point(103.8418 1.3781),3.405,1.3781,103.8418,1.0,http://www.wikidata.org/entity/Q159334,Chong Boon Secondary School,secondary school,D,blue,,,,,,
228,http://www.wikidata.org/entity/Q5131474,,https://en.wikipedia.org/wiki/Clementi_Police_Division,Point(103.832 1.31737),4.632,1.31737,103.832,1.0,http://www.wikidata.org/entity/Q3394138,Clementi Police Division,police division,D,blue,,,,,,
229,http://www.wikidata.org/entity/Q5268533,,https://en.wikipedia.org/wiki/Deyi_Secondary_School,Point(103.8518273 1.3659452),3.725,1.3659452,103.8518273,1.0,http://www.wikidata.org/entity/Q159334,Deyi Secondary School,secondary school,D,blue,,,,,,
230,http://www.wikidata.org/entity/Q5324008,,https://en.wikipedia.org/wiki/ERA_APAC_Centre,Point(103.849388888 1.331666666),4.364,1.3316666666667,103.84938888889,1.0,http://www.wikidata.org/entity/Q41176,ERA APAC Centre,building,D,blue,,,,,,
231,http://www.wikidata.org/entity/Q5635489,,https://en.wikipedia.org/wiki/One_FM_91.3,Point(103.8463 1.3431),3.362,1.3431,103.8463,1.0,http://www.wikidata.org/entity/Q14350,ONE FM 91.3,radio station,D,blue,,,,,,
232,http://www.wikidata.org/entity/Q5951806,,https://en.wikipedia.org/wiki/Hwa_Chong_Institution_Boarding_School,Point(103.8 1.325),4.176,1.325,103.8,1.0,http://www.wikidata.org/entity/Q269770,Hwa Chong Institution Boarding School,boarding school,D,blue,,,,,,
233,http://www.wikidata.org/entity/Q5951816,,https://en.wikipedia.org/wiki/Hwa_Chong_International_School,Point(103.8012 1.3261),4.003,1.3261,103.8012,1.0,http://www.wikidata.org/entity/Q572835,Hwa Chong International School,international school,D,blue,,,,,,
234,http://www.wikidata.org/entity/Q6445213,,https://en.wikipedia.org/wiki/Kuo_Chuan_Presbyterian_Secondary_School,Point(103.8549 1.3501),4.011,1.3501,103.8549,1.0,http://www.wikidata.org/entity/Q159334,Kuo Chuan Presbyterian Secondary School,secondary school,D,blue,,,,,,
235,http://www.wikidata.org/entity/Q6597027,,https://en.wikipedia.org/wiki/List_of_Singapore_police_officers_killed_in_the_line_of_duty,Point(103.84534444 1.32432222),4.641,1.32432222,103.84534444,1.0,http://www.wikidata.org/entity/Q13406463,list of Singapore police officers killed in the line of duty,Wikimedia list article,D,blue,,,,,,
237,http://www.wikidata.org/entity/Q6970986,,https://en.wikipedia.org/wiki/National_Biodiversity_Centre_(Singapore),Point(103.817 1.3167),4.501,1.3167,103.817,1.0,http://www.wikidata.org/entity/Q327333,National Biodiversity Centre,government agency,D,blue,,,,,,
239,http://www.wikidata.org/entity/Q7209469,,https://en.wikipedia.org/wiki/Police_Intelligence_Department,Point(103.845 1.32432),4.618,1.32432,103.845,1.0,http://www.wikidata.org/entity/Q327333,Police Intelligence Department,government agency,D,blue,,,,,,
240,http://www.wikidata.org/entity/Q7333517,,https://en.wikipedia.org/wiki/Symphony_Lake_(Singapore),Point(103.815 1.31417),4.8,1.31417,103.815,1.0,http://www.wikidata.org/entity/Q23397,Symphony Lake,lake,D,blue,,,,,,
241,http://www.wikidata.org/entity/Q7390544,,https://en.wikipedia.org/wiki/SJI_International_School,Point(103.841 1.3325),3.633,1.3325,103.841,1.0,http://www.wikidata.org/entity/Q572835,St. Joseph's Institution International School,international school,D,blue,,,,,,
244,http://www.wikidata.org/entity/Q7523082,,https://en.wikipedia.org/wiki/Singapore_Polo_Club,Point(103.83726 1.3324),3.383,1.3324,103.83726,1.0,http://www.wikidata.org/entity/Q17350442,Singapore Polo Club,venue,D,blue,,,,,,
245,http://www.wikidata.org/entity/Q7589874,,https://en.wikipedia.org/wiki/St._Margaret%27s_Secondary_School,Point(103.8095 1.3201),4.262,1.3201,103.8095,1.0,http://www.wikidata.org/entity/Q159334,St. Margaret's Secondary School,secondary school,D,blue,,,,,,
247,http://www.wikidata.org/entity/Q7811336,,https://en.wikipedia.org/wiki/Toa_Payoh_Hospital,Point(103.840556 1.338889),3.095,1.338889,103.840556,1.0,http://www.wikidata.org/entity/Q64578911,Toa Payoh Hospital,former hospital,D,blue,,,,,,
249,http://www.wikidata.org/entity/Q7811337,,https://en.wikipedia.org/wiki/Toa_Payoh_Police_Station,Point(103.85 1.339722222),3.903,1.3397222222222,103.85,1.0,http://www.wikidata.org/entity/Q861951,Toa Payoh Police Station,police station,D,blue,,,,,,
251,http://www.wikidata.org/entity/Q7996573,,https://en.wikipedia.org/wiki/Whitley_Secondary_School,Point(103.843 1.3555),2.618,1.3555,103.843,1.0,http://www.wikidata.org/entity/Q159334,Whitley Secondary School,secondary school,D,blue,,,,,,
252,http://www.wikidata.org/entity/Q8053780,,https://en.wikipedia.org/wiki/Yio_Chu_Kang_Secondary_School,Point(103.8418 1.3781),3.405,1.3781,103.8418,1.0,http://www.wikidata.org/entity/Q159334,Yio Chu Kang Secondary School,secondary school,D,blue,,,,,,
253,http://www.wikidata.org/entity/Q17051710,,https://en.wikipedia.org/wiki/Mayflower_Secondary_School,Point(103.8352 1.3686),2.163,1.3686,103.8352,1.0,http://www.wikidata.org/entity/Q159334,Mayflower Secondary School,secondary school,D,blue,,,,,,
257,http://www.wikidata.org/entity/Q24036151,,,Point(103.8438 1.3303),4.023,1.3303,103.8438,1.0,http://www.wikidata.org/entity/Q41176,Q24036151,building,D,blue,,,,,,
