,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
1313,http://www.wikidata.org/entity/Q30262893,,https://en.wikipedia.org/wiki/CAMP_(studio),Point(72.863783 19.182106),13.108,19.182106,72.863783,1,http://www.wikidata.org/entity/Q1400264,Critical Art and Media Practice,artist collective,D,blue
1315,http://www.wikidata.org/entity/Q30625615,,https://en.wikipedia.org/wiki/Holy_Spirit_Church_Nandakhal,Point(72.783334 19.439175),42.743,19.439175,72.783334,1,http://www.wikidata.org/entity/Q16970,Holy Spirit Church Nandakhal,church building,D,blue
1316,http://www.wikidata.org/entity/Q31185073,,,Point(72.916666666 19.3),24.743,19.3,72.916666666667,1,http://www.wikidata.org/entity/Q54050,Kurhadia,hill,D,blue
1317,http://www.wikidata.org/entity/Q31185685,,,Point(72.7883 19.3825),36.676,19.3825,72.7883,1,http://www.wikidata.org/entity/Q54050,Girij Hill,hill,D,blue
1318,http://www.wikidata.org/entity/Q31185715,,,Point(72.9083 19.1092),3.781,19.1092,72.9083,1,http://www.wikidata.org/entity/Q54050,Ghatkopar Hill,hill,D,blue
1319,http://www.wikidata.org/entity/Q31186367,,,Point(72.8425 19.4492),42.149,19.4492,72.8425,1,http://www.wikidata.org/entity/Q54050,Baronda,hill,D,blue
1320,http://www.wikidata.org/entity/Q31574026,,,Point(72.766666666 19.283333333),28.065,19.283333333333,72.766666666667,1,http://www.wikidata.org/entity/Q1404150,High Rock,rock,D,blue
1321,http://www.wikidata.org/entity/Q31574042,,,Point(72.783333333 19.116666666),15.141,19.116666666667,72.783333333333,1,http://www.wikidata.org/entity/Q1404150,Harvey Patches,rock,D,blue
1322,http://www.wikidata.org/entity/Q31574058,,,Point(72.8 19.233333333),21.509,19.233333333333,72.8,1,http://www.wikidata.org/entity/Q1404150,Gorai Rock,rock,D,blue
1323,http://www.wikidata.org/entity/Q31574140,,,Point(72.916666666 18.95),14.186,18.95,72.916666666667,1,http://www.wikidata.org/entity/Q1404150,Elephanta Rock,rock,D,blue
1324,http://www.wikidata.org/entity/Q31574253,,,Point(72.933333333 18.95),14.234,18.95,72.933333333333,1,http://www.wikidata.org/entity/Q1404150,Barancle Rock,rock,D,blue
1326,http://www.wikidata.org/entity/Q31860166,,,Point(72.82558 19.38609),35.754,19.38609,72.82558,1,http://www.wikidata.org/entity/Q27590,Q31860166,heath,D,blue
1327,http://www.wikidata.org/entity/Q31860165,,,Point(72.82532 19.38597),35.748,19.38597,72.82532,1,http://www.wikidata.org/entity/Q27590,Q31860165,heath,D,blue
1328,http://www.wikidata.org/entity/Q32222263,,,Point(72.971111111 18.798888888),31.419,18.798888888889,72.971111111111,1,http://www.wikidata.org/entity/Q4022,Ambā River,river,D,blue
1329,http://www.wikidata.org/entity/Q32488166,,,Point(73.180277777 19.286666666),35.78,19.286666666667,73.180277777778,1,http://www.wikidata.org/entity/Q4022,Bhatsai River,river,D,blue
1330,http://www.wikidata.org/entity/Q32488586,,,Point(73.012777777 18.801111111),32.202,18.801111111111,73.012777777778,1,http://www.wikidata.org/entity/Q4022,Bhogeshwar River,river,D,blue
1331,http://www.wikidata.org/entity/Q32574554,,,Point(73.085277777 19.038611111),17.763,19.038611111111,73.085277777778,1,http://www.wikidata.org/entity/Q4022,Bāvamalang Nadī,river,D,blue
1332,http://www.wikidata.org/entity/Q33129670,,,Point(72.816666666 18.783333333),34.513,18.783333333333,72.816666666667,1,http://www.wikidata.org/entity/Q1210950,East Channel Swatch,channel,D,blue
1333,http://www.wikidata.org/entity/Q33129739,,,Point(72.916666666 18.983333333),10.483,18.983333333333,72.916666666667,1,http://www.wikidata.org/entity/Q1210950,Pir Pau Deep,channel,D,blue
1334,http://www.wikidata.org/entity/Q33129817,,,Point(72.916666666 18.966666666),12.335,18.966666666667,72.916666666667,1,http://www.wikidata.org/entity/Q1210950,Trombay Channel,channel,D,blue
1335,http://www.wikidata.org/entity/Q33135671,,,Point(72.848611111 19.323333333),28.38,19.323333333333,72.848611111111,1,http://www.wikidata.org/entity/Q47053,Bassein Creek,estuary,D,blue
1336,http://www.wikidata.org/entity/Q33135709,,,Point(72.965277777 18.817777777),29.247,18.817777777778,72.965277777778,1,http://www.wikidata.org/entity/Q47053,Dharamtar Creek,estuary,D,blue
1337,http://www.wikidata.org/entity/Q33135750,,,Point(72.9875 18.863888888),24.75,18.863888888889,72.9875,1,http://www.wikidata.org/entity/Q47053,Karanja Creek,estuary,D,blue
1338,http://www.wikidata.org/entity/Q33136068,,,Point(72.95 18.95),14.494,18.95,72.95,1,http://www.wikidata.org/entity/Q47053,Nhāva Creek,estuary,D,blue
1339,http://www.wikidata.org/entity/Q33136105,,,Point(72.973333333 19.056944444),5.922,19.056944444444,72.973333333333,1,http://www.wikidata.org/entity/Q47053,Thāna Creek,estuary,D,blue
1340,http://www.wikidata.org/entity/Q33319170,,,Point(72.911944444 19.154166666),8.58,19.154166666667,72.911944444444,1,http://www.wikidata.org/entity/Q187223,Vehār Lake,lagoon,D,blue
1341,http://www.wikidata.org/entity/Q34501315,,,Point(72.82897318 18.945151521),17.632,18.94515152148,72.828973180374,1,http://www.wikidata.org/entity/Q41253,Edward Theatre,movie theater,D,blue
1342,http://www.wikidata.org/entity/Q34877818,,,Point(72.833333333 18.95),16.93,18.95,72.833333333333,1,http://www.wikidata.org/entity/Q131681,Bhandarwada Reservoir,reservoir,D,blue
1343,http://www.wikidata.org/entity/Q34905382,,,Point(72.8 18.95),19.072,18.95,72.8,1,http://www.wikidata.org/entity/Q131681,Malabar Hill Reservoir,reservoir,D,blue
1344,http://www.wikidata.org/entity/Q34965034,,,Point(72.933333333 18.95),14.234,18.95,72.933333333333,1,http://www.wikidata.org/entity/Q44782,Port of Nhāva-Sheba,port,D,blue
1345,http://www.wikidata.org/entity/Q34966286,,,Point(72.85 18.983333333),12.88,18.983333333333,72.85,1,http://www.wikidata.org/entity/Q44782,Sewri Port,port,D,blue
1346,http://www.wikidata.org/entity/Q35328506,,,Point(73.071388888 18.809444444),33.725,18.809444444444,73.071388888889,1,http://www.wikidata.org/entity/Q47521,Pātālganga River,stream,D,blue
1347,http://www.wikidata.org/entity/Q38250896,,"https://en.wikipedia.org/wiki/Our_Lady_of_Fatima_Church,_Kirol",Point(72.892886 19.0822839),3.038,19.0822839,72.892886,1,http://www.wikidata.org/entity/Q16970,"Our Lady of Fatima Church, Kirol",church building,D,blue
1348,http://www.wikidata.org/entity/Q48729573,,"https://en.wikipedia.org/wiki/St._Xavier%27s_English_Medium_School_(ICSE),_Manickpur",Point(72.828225 19.37213889),34.187,19.37213889,72.828225,1,http://www.wikidata.org/entity/Q9826,"St. Xavier's High School, Manickpur",high school,D,blue
1349,http://www.wikidata.org/entity/Q48731099,,https://en.wikipedia.org/wiki/MGM_Institute_of_Health_Sciences,Point(73.1051418 19.0172566),20.446,19.0172566,73.1051418,1,http://www.wikidata.org/entity/Q4671277,MGM Institute of Health Sciences,academic institution,D,blue
1350,http://www.wikidata.org/entity/Q48732703,,https://en.wikipedia.org/wiki/Kamala_Mills_fire,Point(72.827539 19.00369),12.83,19.00369,72.827539,1,http://www.wikidata.org/entity/Q7625093,Kamala Mills fire,structure fire,D,blue
1351,http://www.wikidata.org/entity/Q55239592,,https://en.wikipedia.org/wiki/2018_UY_Aviation_King_Air_C90_crash,Point(72.904 19.092),2.433,19.092,72.904,1,http://www.wikidata.org/entity/Q3002150,2018 UY Aviation King Air C90 crash,aircraft crash,D,blue
1352,http://www.wikidata.org/entity/Q55607195,,https://en.wikipedia.org/wiki/Cheeta_Camp,Point(72.94 19.03),5.635,19.03,72.94,1,http://www.wikidata.org/entity/Q188509,Cheeta Camp,suburb,D,blue
1356,http://www.wikidata.org/entity/Q63346703,,https://en.wikipedia.org/wiki/Lower_Parel_monorail_station,Point(72.831495 18.992994),13.323,18.992994,72.831495,1,http://www.wikidata.org/entity/Q63125083,Lower Parel monorail station,monorail station,D,blue
1357,http://www.wikidata.org/entity/Q63346706,,https://en.wikipedia.org/wiki/Wadala_Bridge_monorail_station,Point(72.859315 19.017431),9.335,19.017431,72.859315,1,http://www.wikidata.org/entity/Q63125083,Wadala Bridge monorail station,monorail station,D,blue
1358,http://www.wikidata.org/entity/Q63346707,,https://en.wikipedia.org/wiki/Acharya_Atre_Nagar_monorail_station,Point(72.86381 19.02378),8.501,19.02378,72.86381,1,http://www.wikidata.org/entity/Q63125083,Acharya Atre Nagar monorail station,monorail station,D,blue
1359,http://www.wikidata.org/entity/Q63346704,,https://en.wikipedia.org/wiki/Naigaon_monorail_station,Point(72.847878 19.009529),10.806,19.009529,72.847878,1,http://www.wikidata.org/entity/Q63125083,Naigaon monorail station,monorail station,D,blue
