,item,articleDE,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,articleEN,tier,color
0,http://www.wikidata.org/entity/Q3936,https://de.wikipedia.org/wiki/Bamberg,Point(10.891666666 49.891666666),0.345,49.891666666667,10.891666666667,99,http://www.wikidata.org/entity/Q134626,Bamberg,district capital,https://en.wikipedia.org/wiki/Bamberg,S,orange
3,http://www.wikidata.org/entity/Q150907,https://de.wikipedia.org/wiki/Franken_(Region),Point(10.865 49.816),8.551,49.816,10.865,64,http://www.wikidata.org/entity/Q82794,Franconia,region,https://en.wikipedia.org/wiki/Franconia,S,orange
4,http://www.wikidata.org/entity/Q10444,https://de.wikipedia.org/wiki/Landkreis_Bamberg,Point(10.83 49.83),7.97,49.83,10.83,45,http://www.wikidata.org/entity/Q85482556,Bamberg Rural District,rural district of Bavaria,https://en.wikipedia.org/wiki/Bamberg_(district),S,orange
6,http://www.wikidata.org/entity/Q513956,https://de.wikipedia.org/wiki/Burgebrach,Point(10.743333333 49.828333333),12.463,49.828333333333,10.743333333333,41,http://www.wikidata.org/entity/Q15303838,Burgebrach,municipality seat,https://en.wikipedia.org/wiki/Burgebrach,S,orange
14,http://www.wikidata.org/entity/Q545388,https://de.wikipedia.org/wiki/Buttenheim,Point(11.031666666 49.803611111),14.267,49.803611111111,11.031666666667,41,http://www.wikidata.org/entity/Q562061,Q545388,market municipality,https://en.wikipedia.org/wiki/Buttenheim,S,orange
16,http://www.wikidata.org/entity/Q534442,https://de.wikipedia.org/wiki/Memmelsdorf,Point(10.953333333 49.932777777),6.605,49.932777777778,10.953333333333,41,http://www.wikidata.org/entity/Q15303838,Memmelsdorf,municipality seat,https://en.wikipedia.org/wiki/Memmelsdorf,S,orange
18,http://www.wikidata.org/entity/Q538066,https://de.wikipedia.org/wiki/Hirschaid,Point(10.98789696 49.819885951),10.773,49.819885951875,10.987896960911,41,http://www.wikidata.org/entity/Q562061,Hirschaid,market municipality,https://en.wikipedia.org/wiki/Hirschaid,S,orange
19,http://www.wikidata.org/entity/Q147332,https://de.wikipedia.org/wiki/Zapfendorf,Point(10.930833333 50.0175),14.348,50.0175,10.930833333333,40,http://www.wikidata.org/entity/Q15303838,Zapfendorf,municipality seat,https://en.wikipedia.org/wiki/Zapfendorf,S,orange
21,http://www.wikidata.org/entity/Q530525,https://de.wikipedia.org/wiki/Bischberg,Point(10.827650367 49.912298034),4.824,49.912298034325,10.827650367955,40,http://www.wikidata.org/entity/Q116457956,Bischberg,municipality without town privileges in Germany,https://en.wikipedia.org/wiki/Bischberg,S,orange
22,http://www.wikidata.org/entity/Q627521,https://de.wikipedia.org/wiki/Pommersfelden,Point(10.816666666 49.766666666),14.776,49.766666666667,10.816666666667,40,http://www.wikidata.org/entity/Q116457956,Pommersfelden,municipality without town privileges in Germany,https://en.wikipedia.org/wiki/Pommersfelden,S,orange
