,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,thing,articleEN,to_drop_key
371,https://www.atlasobscura.com/places/bird-hall-of-bamberg-natural-history-museum,49.894484,10.887971,"
Bird Hall of Bamberg Natural History Museum
","
A beautiful collection of taxidermy birds and rare pomological wax models.
",atlas_obscura,gold,,,,,,,,,,,,,"(49.894484, 10.887971)"
713,,49.892222222222,10.793333333333,Weipelsdorfer Wald,,D,blue,,,forest,,Point(10.793333333 49.892222222),6.699,http://www.wikidata.org/entity/Q33414078,1.0,,,http://www.wikidata.org/entity/Q4421,,"('49.892222222222', '10.793333333333')"
714,,49.89242,10.98687,Weiden-Graben,,D,blue,,,river,,Point(10.98687 49.89242),7.165,http://www.wikidata.org/entity/Q34851856,1.0,,,http://www.wikidata.org/entity/Q4022,,"('49.89242', '10.98687')"
715,,49.979722222222,11.038055555556,Würgauer Bach,,D,blue,,,river,,Point(11.038055555 49.979722222),14.598,http://www.wikidata.org/entity/Q34941430,1.0,,,http://www.wikidata.org/entity/Q4022,,"('49.979722222222', '11.038055555556')"
716,,49.86,10.955833333333,Stein-Bach,,D,blue,,,stream,,Point(10.955833333 49.86),6.065,http://www.wikidata.org/entity/Q35377696,1.0,,,http://www.wikidata.org/entity/Q47521,,"('49.86', '10.955833333333')"
717,,49.84195,10.94044,Strullendorfer Bach,,D,blue,,,stream,,Point(10.94044 49.84195),6.726,http://www.wikidata.org/entity/Q35426095,1.0,,,http://www.wikidata.org/entity/Q47521,,"('49.84195', '10.94044')"
718,,49.9301,10.89471,Stöckigt-Bach,,D,blue,,,stream,,Point(10.89471 49.9301),4.317,http://www.wikidata.org/entity/Q35434130,1.0,,,http://www.wikidata.org/entity/Q47521,,"('49.9301', '10.89471')"
719,,49.884444444444,11.0325,Gänsbrunnen,,D,blue,,,spring,,Point(11.0325 49.884444444),10.465,http://www.wikidata.org/entity/Q35459974,1.0,,,http://www.wikidata.org/entity/Q124714,,"('49.884444444444', '11.0325')"
720,,49.894468957108,10.903268176545,Tropfhaus,,D,blue,,,house,,Point(10.903268176 49.894468957),1.219,http://www.wikidata.org/entity/Q41174184,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.894468957108', '10.903268176545')"
721,,49.904981575635,10.713830864789,Bildstock,,D,blue,,,cultural heritage ensemble,,Point(10.713830864 49.904981575),12.481,http://www.wikidata.org/entity/Q41237304,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.904981575635', '10.713830864789')"
722,,49.90591,10.71374,Bauernhaus,,D,blue,,,house,,Point(10.71374 49.90591),12.5,http://www.wikidata.org/entity/Q41237311,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.90591', '10.71374')"
723,,49.90662,10.71111,Baudenkmal,,D,blue,,,clergy house,,Point(10.71111 49.90662),12.697,http://www.wikidata.org/entity/Q41237308,1.0,,,http://www.wikidata.org/entity/Q607241,,"('49.90662', '10.71111')"
724,,49.90682,10.71111,Kirche,,D,blue,,,church building,,Point(10.71111 49.90682),12.7,http://www.wikidata.org/entity/Q41237314,1.0,,,http://www.wikidata.org/entity/Q16970,,"('49.90682', '10.71111')"
725,,49.9575,10.71373,Filialkirche,,D,blue,,,church building,,Point(10.71373 49.9575),14.396,http://www.wikidata.org/entity/Q41322673,1.0,,,http://www.wikidata.org/entity/Q16970,,"('49.9575', '10.71373')"
726,,49.92802,10.68948,Jagdgrenzsteine,,D,blue,,,boundary marker,,Point(10.68948 49.92802),14.701,http://www.wikidata.org/entity/Q41322786,1.0,,,http://www.wikidata.org/entity/Q921099,,"('49.92802', '10.68948')"
727,,49.92799,10.68961,Wegkapelle,,D,blue,,,chapel,,Point(10.68961 49.92799),14.691,http://www.wikidata.org/entity/Q41322787,1.0,,,http://www.wikidata.org/entity/Q108325,,"('49.92799', '10.68961')"
728,,49.88427,10.68263,Gedenkstein,,D,blue,,,monument,,Point(10.68263 49.88427),14.652,http://www.wikidata.org/entity/Q41324485,1.0,,,http://www.wikidata.org/entity/Q4989906,,"('49.88427', '10.68263')"
729,,49.89556,10.67941,Spring Friedleinsbrunnen,,D,blue,,,spring,,Point(10.67941 49.89556),14.865,http://www.wikidata.org/entity/Q41324493,1.0,,,http://www.wikidata.org/entity/Q124714,,"('49.89556', '10.67941')"
731,,49.97071,10.72173,Wohnhaus,,D,blue,,,house,,Point(10.72173 49.97071),14.732,http://www.wikidata.org/entity/Q41324588,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.97071', '10.72173')"
732,,49.971,10.72196,Standbild,,D,blue,,,sculpture of a saint,,Point(10.72196 49.971),14.738,http://www.wikidata.org/entity/Q41324599,1.0,,,http://www.wikidata.org/entity/Q1595171,,"('49.971', '10.72196')"
733,,49.97092,10.72186,Rathaus,,D,blue,,,house,,Point(10.72186 49.97092),14.738,http://www.wikidata.org/entity/Q41324596,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.97092', '10.72186')"
734,,49.971125970196,10.721913650488,Pfarrhaus,,D,blue,,,clergy house,,Point(10.72191365 49.97112597),14.749,http://www.wikidata.org/entity/Q41324600,1.0,,,http://www.wikidata.org/entity/Q607241,,"('49.971125970196', '10.721913650488')"
735,,49.97125,10.72302,Torbogen,,D,blue,,,archway,,Point(10.72302 49.97125),14.694,http://www.wikidata.org/entity/Q41324601,1.0,,,http://www.wikidata.org/entity/Q58153479,,"('49.97125', '10.72302')"
736,,49.968557212539,10.735896932767,Kapelle,,D,blue,,,chapel,,Point(10.735896932 49.968557212),13.782,http://www.wikidata.org/entity/Q41324606,1.0,,,http://www.wikidata.org/entity/Q108325,,"('49.968557212539', '10.735896932767')"
737,,49.96957,10.73165,Wegkreuz,,D,blue,,,cultural heritage ensemble,,Point(10.73165 49.96957),14.091,http://www.wikidata.org/entity/Q41324607,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.96957', '10.73165')"
738,,49.97176,10.72421,Gaststätte,,D,blue,,,eating and lodging,,Point(10.72421 49.97176),14.661,http://www.wikidata.org/entity/Q41324604,1.0,,,http://www.wikidata.org/entity/Q62602544,,"('49.97176', '10.72421')"
739,,49.97076,10.72379,Mühle,,D,blue,,,mill,,Point(10.72379 49.97076),14.617,http://www.wikidata.org/entity/Q41324611,1.0,,,http://www.wikidata.org/entity/Q44494,,"('49.97076', '10.72379')"
740,,49.97146369929,10.72121539345,Friedhofskreuz,,D,blue,,,cemetery cross,,Point(10.721215393 49.971463699),14.812,http://www.wikidata.org/entity/Q41324612,1.0,,,http://www.wikidata.org/entity/Q98141330,,"('49.97146369929', '10.72121539345')"
741,,49.76771,10.81693,Q41370648,,D,blue,,,house,,Point(10.81693 49.76771),14.66,http://www.wikidata.org/entity/Q41370648,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.76771', '10.81693')"
742,,49.76791,10.81774,Q41370655,,D,blue,,,house,,Point(10.81774 49.76791),14.619,http://www.wikidata.org/entity/Q41370655,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.76791', '10.81774')"
743,,49.76789,10.81724,Pfarrhaus,,D,blue,,,clergy house,,Point(10.81724 49.76789),14.634,http://www.wikidata.org/entity/Q41370653,1.0,,,http://www.wikidata.org/entity/Q607241,,"('49.76789', '10.81724')"
744,,49.76731,10.8186,Rathaus,,D,blue,,,house,,Point(10.8186 49.76731),14.662,http://www.wikidata.org/entity/Q41370658,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.76731', '10.8186')"
745,,49.76688,10.81946,Gasthaus,,D,blue,,,cultural heritage ensemble,,Point(10.81946 49.76688),14.686,http://www.wikidata.org/entity/Q41370666,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.76688', '10.81946')"
746,,49.76713,10.81973,Gasthaus,,D,blue,,,house,,Point(10.81973 49.76713),14.654,http://www.wikidata.org/entity/Q41370668,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.76713', '10.81973')"
747,,49.766947803649,10.817119525851,Baudenkmal,,D,blue,,,cultural heritage ensemble,,Point(10.817119525 49.766947803),14.735,http://www.wikidata.org/entity/Q41370679,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.766947803649', '10.817119525851')"
748,,49.76726,10.81759,Wasserburg,,D,blue,,,cultural heritage ensemble,,Point(10.81759 49.76726),14.691,http://www.wikidata.org/entity/Q41370682,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.76726', '10.81759')"
749,,49.779830954053,10.840985244131,Wohnhaus,,D,blue,,,house,,Point(10.840985244 49.779830954),12.856,http://www.wikidata.org/entity/Q41370736,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.779830954053', '10.840985244131')"
750,,49.780310816041,10.841198079943,Schloss,,D,blue,,,Schloss,,Point(10.841198079 49.780310816),12.8,http://www.wikidata.org/entity/Q41370740,1.0,,,http://www.wikidata.org/entity/Q16823155,,"('49.780310816041', '10.841198079943')"
751,,49.78111,10.84293,Schulgebäude,,D,blue,,,house,,Point(10.84293 49.78111),12.683,http://www.wikidata.org/entity/Q41370748,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.78111', '10.84293')"
752,,49.77198,10.80354,Gasthaus,,D,blue,,,cultural heritage ensemble,,Point(10.80354 49.77198),14.581,http://www.wikidata.org/entity/Q41370771,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.77198', '10.80354')"
753,,49.77304,10.80269,Försterhaus,,D,blue,,,house,,Point(10.80269 49.77304),14.499,http://www.wikidata.org/entity/Q41370768,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.77304', '10.80269')"
