,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,link,name,description,address,url
1251,http://www.wikidata.org/entity/Q30605232,,,Point(18.65125 54.34886),2.677,54.34886,18.65125,1.0,http://www.wikidata.org/entity/Q1723032,30 Długa Street in Gdańsk,kamienica,D,blue,,,,,
1259,http://www.wikidata.org/entity/Q30605275,,,Point(18.651472 54.348806),2.684,54.348806,18.651472,1.0,http://www.wikidata.org/entity/Q3947,32 Długa Street in Gdańsk,house,D,blue,,,,,
1260,http://www.wikidata.org/entity/Q30605319,,,Point(18.651583 54.348778),2.688,54.348778,18.651583,1.0,http://www.wikidata.org/entity/Q3947,33 Długa Street in Gdańsk,house,D,blue,,,,,
1261,http://www.wikidata.org/entity/Q30605369,,,Point(18.651703 54.348778),2.688,54.348778,18.651703,1.0,http://www.wikidata.org/entity/Q3947,34 Długa Street in Gdańsk,house,D,blue,,,,,
1262,http://www.wikidata.org/entity/Q30605409,,,Point(18.651911 54.348722),2.695,54.348722,18.651911,1.0,http://www.wikidata.org/entity/Q3947,36 Długa Street in Gdańsk,house,D,blue,,,,,
1263,http://www.wikidata.org/entity/Q30605461,,,Point(18.652 54.348694),2.698,54.348694,18.652,1.0,http://www.wikidata.org/entity/Q3947,37 Długa Street in Gdańsk,house,D,blue,,,,,
1264,http://www.wikidata.org/entity/Q30605519,,,Point(18.652389 54.348583),2.712,54.348583,18.652389,1.0,http://www.wikidata.org/entity/Q3947,40 Długa Street in Gdańsk,house,D,blue,,,,,
1265,http://www.wikidata.org/entity/Q30605574,,,Point(18.652444 54.348556),2.716,54.348556,18.652444,1.0,http://www.wikidata.org/entity/Q3947,42 Długa Street in Gdańsk,house,D,blue,,,,,
1266,http://www.wikidata.org/entity/Q30605634,,,Point(18.652519 54.348528),2.719,54.348528,18.652519,1.0,http://www.wikidata.org/entity/Q3947,43 Długa Street in Gdańsk,house,D,blue,,,,,
1267,http://www.wikidata.org/entity/Q30605686,,,Point(18.652581 54.348528),2.719,54.348528,18.652581,1.0,http://www.wikidata.org/entity/Q3947,44 Długa Street in Gdańsk,house,D,blue,,,,,
1268,http://www.wikidata.org/entity/Q30605786,,,Point(18.652375 54.348942),2.672,54.348942,18.652375,1.0,http://www.wikidata.org/entity/Q3947,47 Długa Street in Gdańsk,house,D,blue,,,,,
1269,http://www.wikidata.org/entity/Q30605830,,,Point(18.651706 54.349056),2.657,54.349056,18.651706,1.0,http://www.wikidata.org/entity/Q3947,55 Długa Street in Gdańsk,house,D,blue,,,,,
1270,http://www.wikidata.org/entity/Q30605881,,,Point(18.651183 54.349233),2.636,54.349233,18.651183,1.0,http://www.wikidata.org/entity/Q3947,60 Długa Street in Gdańsk,house,D,blue,,,,,
1271,http://www.wikidata.org/entity/Q30605932,,,Point(18.649889 54.349417),2.613,54.349417,18.649889,1.0,http://www.wikidata.org/entity/Q3947,71 Długa Street in Gdańsk,house,D,blue,,,,,
1272,http://www.wikidata.org/entity/Q30605964,,,Point(18.649553565 54.349534347),2.6,54.349534347451,18.649553565487,1.0,http://www.wikidata.org/entity/Q3947,74 Długa Street in Gdańsk,house,D,blue,,,,,
1274,http://www.wikidata.org/entity/Q30606062,,,Point(18.653018076 54.348258862),2.751,54.348258862425,18.653018076658,1.0,http://www.wikidata.org/entity/Q1723032,4 Długi Targ Square in Gdańsk,kamienica,D,blue,,,,,
1276,http://www.wikidata.org/entity/Q30606110,,,Point(18.653083 54.348222),2.756,54.348222,18.653083,1.0,http://www.wikidata.org/entity/Q3947,5 Długi Targ Square in Gdańsk,house,D,blue,,,,,
1277,http://www.wikidata.org/entity/Q30606162,,,Point(18.653160783 54.348216942),2.757,54.348216942265,18.653160783211,1.0,http://www.wikidata.org/entity/Q1723032,6 Długi Targ Square in Gdańsk,kamienica,D,blue,,,,,
1278,http://www.wikidata.org/entity/Q30606196,,,Point(18.653254093 54.34822267),2.757,54.348222670925,18.653254093089,1.0,http://www.wikidata.org/entity/Q1723032,7 Długi Targ Square in Gdańsk,kamienica,D,blue,,,,,
1279,http://www.wikidata.org/entity/Q30606225,,,Point(18.653333 54.348194),2.76,54.348194,18.653333,1.0,http://www.wikidata.org/entity/Q3947,8 Długi Targ Square in Gdańsk,house,D,blue,,,,,
1280,http://www.wikidata.org/entity/Q30606287,,,Point(18.653417 54.348167),2.764,54.348167,18.653417,1.0,http://www.wikidata.org/entity/Q1723032,9 Długi Targ Square in Gdańsk,kamienica,D,blue,,,,,
1281,http://www.wikidata.org/entity/Q30606354,,,Point(18.653528 54.348139),2.768,54.348139,18.653528,1.0,http://www.wikidata.org/entity/Q3947,10 Długi Targ Square in Gdańsk,house,D,blue,,,,,
1282,http://www.wikidata.org/entity/Q30606419,,,Point(18.654111 54.348),2.787,54.348,18.654111,1.0,http://www.wikidata.org/entity/Q3947,15 Długi Targ Square in Gdańsk,house,D,blue,,,,,
1283,http://www.wikidata.org/entity/Q30606471,,,Point(18.654333 54.347972),2.792,54.347972,18.654333,1.0,http://www.wikidata.org/entity/Q3947,17 Długi Targ Square in Gdańsk,house,D,blue,,,,,
1284,http://www.wikidata.org/entity/Q30606533,,,Point(18.654611 54.347861),2.806,54.347861,18.654611,1.0,http://www.wikidata.org/entity/Q3947,19 Długi Targ Square in Gdańsk,house,D,blue,,,,,
1285,http://www.wikidata.org/entity/Q30606645,,,Point(18.655361 54.348222),2.773,54.348222,18.655361,1.0,http://www.wikidata.org/entity/Q3947,29 Długi Targ Square in Gdańsk,house,D,blue,,,,,
1286,http://www.wikidata.org/entity/Q30606862,,,Point(18.653917 54.348611),2.718,54.348611,18.653917,1.0,http://www.wikidata.org/entity/Q3947,40 Długi Targ Square in Gdańsk,house,D,blue,,,,,
1287,http://www.wikidata.org/entity/Q30607096,,,Point(18.653194 54.348806),2.692,54.348806,18.653194,1.0,http://www.wikidata.org/entity/Q3947,46 Długi Targ Square in Gdańsk,house,D,blue,,,,,
1288,http://www.wikidata.org/entity/Q30607200,,,Point(18.656354 54.349166),2.679,54.349166,18.656354,1.0,http://www.wikidata.org/entity/Q3947,11 Dziana Street in Gdańsk,house,D,blue,,,,,
1289,http://www.wikidata.org/entity/Q30607257,,,Point(18.64825 54.349278),2.629,54.349278,18.64825,1.0,http://www.wikidata.org/entity/Q3947,1 Garbary Street in Gdańsk,house,D,blue,,,,,
1290,http://www.wikidata.org/entity/Q30607317,,,Point(18.654472 54.352),2.349,54.352,18.654472,1.0,http://www.wikidata.org/entity/Q3947,9-11 Grobla III Street in Gdańsk,house,D,blue,,,,,
1291,http://www.wikidata.org/entity/Q30607371,,,Point(18.659972 54.353917),2.22,54.353917,18.659972,1.0,http://www.wikidata.org/entity/Q3947,9 Grodzka Street in Gdańsk,house,D,blue,,,,,
1292,http://www.wikidata.org/entity/Q30607428,,,Point(18.660319 54.354292),2.188,54.354292,18.660319,1.0,http://www.wikidata.org/entity/Q3947,12 Grodzka Street in Gdańsk,house,D,blue,,,,,
1293,http://www.wikidata.org/entity/Q30607465,,,Point(18.660194 54.35425),2.19,54.35425,18.660194,1.0,http://www.wikidata.org/entity/Q3947,13 Grodzka Street in Gdańsk,house,D,blue,,,,,
1294,http://www.wikidata.org/entity/Q30607492,,,Point(18.658833 54.354056),2.184,54.354056,18.658833,1.0,http://www.wikidata.org/entity/Q3947,18 Grodzka Street in Gdańsk,house,D,blue,,,,,
1295,http://www.wikidata.org/entity/Q30607668,,,Point(18.651833 54.349278),2.633,54.349278,18.651833,1.0,http://www.wikidata.org/entity/Q3947,3 Kaletnicza Street in Gdańsk,house,D,blue,,,,,
1296,http://www.wikidata.org/entity/Q30607729,,,Point(18.659755 54.340276),3.69,54.340276,18.659755,1.0,http://www.wikidata.org/entity/Q16974307,1 Kieturakisa Street in Gdańsk,dwór,D,blue,,,,,
1297,http://www.wikidata.org/entity/Q30607791,,,Point(18.652486 54.345823),3.019,54.345823,18.652486,1.0,http://www.wikidata.org/entity/Q1307276,2 Lastadia Street in Gdańsk,single-family detached home,D,blue,,,,,
1298,http://www.wikidata.org/entity/Q30608031,,,Point(18.658528 54.341194),3.576,54.341194,18.658528,1.0,http://www.wikidata.org/entity/Q1723032,34 Łąkowa Street in Gdańsk,kamienica,D,blue,,,,,
1299,http://www.wikidata.org/entity/Q30608081,,,Point(18.65397 54.34971),2.597,54.34971,18.65397,1.0,http://www.wikidata.org/entity/Q3947,1 Mariacka Street in Gdańsk,house,D,blue,,,,,
